accession_id	title	description	abstract	pubmed_ids	is_released	is_deprecated	original_cohort_matches	reviewer_notes	verified_cohort_matches	verification_status
EGAS00001001689	Flemish_Gut_Flora_Project	"""Here, we studied well-phenotyped individuals from the Flemish Gut Flora Project (FGFP, N=1,106, Belgium) and the effect of environments on microbiome."""	"""Here, we studied well-phenotyped individuals from the Flemish Gut Flora Project (FGFP, N=1,106, Belgium) and the effect of environments on microbiome."""		TRUE	FALSE	Flemish Gut Flora Project	Correct	Flemish Gut Flora Project	Confirmed correct (human-reviewed)
EGAS00001001750	'Population-level analysis of gut microbiome variation'	"""Here, we studied 1,106 well-phenotyped individuals from the Flemish Gut Flora Project (FGFP, Belgium; discovery)"""	"""Here, we studied 1,106 well-phenotyped individuals from the Flemish Gut Flora Project (FGFP, Belgium; discovery)"""		FALSE	TRUE	Flemish Gut Flora Project	Correct	Flemish Gut Flora Project	Confirmed correct (human-reviewed)
EGAS00001002648	Population-level analysis of Blastocystis subtype prevalence and variation in the human gut microbiota	Here, we studied well-phenotyped individuals from the Flemish Gut Flora Project (FGFP, N=616, Belgium) to characterize the profile of their gut microbiome and test associations between these profiles, presence of Blastocystis and Blastocystis subtypes.	Here, we studied well-phenotyped individuals from the Flemish Gut Flora Project (FGFP, N=616, Belgium) to characterize the profile of their gut microbiome and test associations between these profiles, presence of Blastocystis and Blastocystis subtypes.		FALSE	FALSE	Flemish Gut Flora Project	Correct	Flemish Gut Flora Project	Confirmed correct (human-reviewed)
EGAS00001003296	1054 Flemish Gut Flora Project (FGFP) samples (16S sequencing, dual index)	Study exploring the taxonomic component of the human gut microbiota in relation to quality of life and depression. This dataset includes 16S rRNA gene sequencing data from 1054 individuals from the Flanders region in Belgium. Microbiota covariates used in the study are provided.	Study exploring the taxonomic component of the human gut microbiota in relation to quality of life and depression. This dataset includes 16S rRNA gene sequencing data from 1054 individuals from the Flanders region in Belgium. Microbiota covariates used in the study are provided.		TRUE	FALSE	Flemish Gut Flora Project	Correct	Flemish Gut Flora Project	Confirmed correct (human-reviewed)
EGAS00001003298	FGFP and TR-MDD shotgun sequencing samples (N=157)	Study exploring the neuroactive potential of the human gut microbiota in relation to quality of life and depression. This dataset includes shotgun sequenced samples from the FGFP (Flemish Gut Flora Project: N=150) and TR-MDD (Treatment-Resistant Major Depression Disorder: N=7). Samples were provided by volunteers from the Flanders region in Belgium, and the dataset is balanced for age, gender, and stool consistency.	Study exploring the neuroactive potential of the human gut microbiota in relation to quality of life and depression. This dataset includes shotgun sequenced samples from the FGFP (Flemish Gut Flora Project: N=150) and TR-MDD (Treatment-Resistant Major Depression Disorder: N=7). Samples were provided by volunteers from the Flanders region in Belgium, and the dataset is balanced for age, gender, and stool consistency.		TRUE	FALSE	Flemish Gut Flora Project	Correct	Flemish Gut Flora Project	Confirmed correct (human-reviewed)
EGAS00001004420	Genome-wide associations of human gut microbiota variation and implications for causal inference analyses	Here we use appropriate taxon-specific models along with support from independent cohorts to show association between human host genotype and gut microbiome variation. Using fecal derived 16S rRNA gene sequences and host genotype data from the Flemish Gut Flora Project (FGFP) we identify genetic associations involving multiple microbial traits. Mendelian randomization analysis was able to estimate associations between microbial traits and disease, however in the absence of clear microbiome driven effects, caution is needed in interpretation. This work marks a growing catalog of genetic associations which will provide insight into the contribution of host genotype to gut microbiome. Despite this, the uncertain origin of association signals will likely complicate future work looking to dissect function or use associations for causal inference analysis.	Here we use appropriate taxon-specific models along with support from independent cohorts to show association between human host genotype and gut microbiome variation. Using fecal derived 16S rRNA gene sequences and host genotype data from the Flemish Gut Flora Project (FGFP) we identify genetic associations involving multiple microbial traits. Mendelian randomization analysis was able to estimate associations between microbial traits and disease, however in the absence of clear microbiome driven effects, caution is needed in interpretation. This work marks a growing catalog of genetic associations which will provide insight into the contribution of host genotype to gut microbiome. Despite this, the uncertain origin of association signals will likely complicate future work looking to dissect function or use associations for causal inference analysis.		TRUE	FALSE	Flemish Gut Flora Project	Correct	Flemish Gut Flora Project	Confirmed correct (human-reviewed)
EGAS00001002695	Papillary thyroid cancer in Saudi Arabian population	"Although papillary thyroid cancer constitutes a significant health burden in Saudi Arabia, it is a poorly understood tumor and this tumor type is largely under- researched. Thyroid cancer is the most common endocrine malignancy and differentiated thyroid cancer (DTC), which includes papillary (PTC) and follicular (FTC) subtypes, accounts for 90% of all thyroid malignancies  In Saudi Arabia, thyroid cancer ranked second only to breast cancer among females, eleventh among males and this increased incidence is prevalent in other Gulf Council Countries (GCC) also. Most patients with DTC do well with traditional therapy which includes total thyroidectomy, radioiodine ablation (RAI) and thyroid hormone suppression. However, some will go on to develop progressive disease that is not amenable to further surgery and/or not responsive to RAI. Currently, there are no clinical or molecular diagnostic tools to predict recurrence and aggressiveness of a subset of PTC. We aim to analyze the genomic DNA sequences of 500 thyroid cancers and the corresponding DNA from blood. With the goal of a better understanding the pathobiology of thyroid carcinogenesis we will use state of the art ""deep sequencing"" technology to decipher the molecular and genetic signature of Saudi PTC. The development of next-generation (NextGen) sequencing technologies has spurred high hopes for the identification of novel biomarkers for disease diagnosis, prognosis, and prediction, including thyroid cancer.  Our objectives will be achieved through the following aims: the studies of specific aim 1 will be the generation of comprehensive catalogues of genomic abnormalities (somatic mutations) in thyroid cancer of the papillary thyroid carcinoma histology subtype which is of clinical and social importance in Saudi Arabia. Specific aim 2 will catalogue for each papillary thyroid carcinoma to include the full range of somatic mutations including single-nucleotide variants, insertions, deletions, copy number changes, translocations and other chromosomal rearrangements. Specific aim 3 will generate complementary catalogues of transcriptomic and epigenomic datasets from selected tumor cases that demonstrate abnormalities from aim 1 and 2.  The outcome of this study will provide a better understanding of PTC and should have important clinical implications, as it could result in the development of new and better strategies for targeted therapeutic intervention for the treatment of Saudi Arabian PTC tumors."	"Although papillary thyroid cancer constitutes a significant health burden in Saudi Arabia, it is a poorly understood tumor and this tumor type is largely under- researched. Thyroid cancer is the most common endocrine malignancy and differentiated thyroid cancer (DTC), which includes papillary (PTC) and follicular (FTC) subtypes, accounts for 90% of all thyroid malignancies  In Saudi Arabia, thyroid cancer ranked second only to breast cancer among females, eleventh among males and this increased incidence is prevalent in other Gulf Council Countries (GCC) also. Most patients with DTC do well with traditional therapy which includes total thyroidectomy, radioiodine ablation (RAI) and thyroid hormone suppression. However, some will go on to develop progressive disease that is not amenable to further surgery and/or not responsive to RAI. Currently, there are no clinical or molecular diagnostic tools to predict recurrence and aggressiveness of a subset of PTC. We aim to analyze the genomic DNA sequences of 500 thyroid cancers and the corresponding DNA from blood. With the goal of a better understanding the pathobiology of thyroid carcinogenesis we will use state of the art ""deep sequencing"" technology to decipher the molecular and genetic signature of Saudi PTC. The development of next-generation (NextGen) sequencing technologies has spurred high hopes for the identification of novel biomarkers for disease diagnosis, prognosis, and prediction, including thyroid cancer.  Our objectives will be achieved through the following aims: the studies of specific aim 1 will be the generation of comprehensive catalogues of genomic abnormalities (somatic mutations) in thyroid cancer of the papillary thyroid carcinoma histology subtype which is of clinical and social importance in Saudi Arabia. Specific aim 2 will catalogue for each papillary thyroid carcinoma to include the full range of somatic mutations including single-nucleotide variants, insertions, deletions, copy number changes, translocations and other chromosomal rearrangements. Specific aim 3 will generate complementary catalogues of transcriptomic and epigenomic datasets from selected tumor cases that demonstrate abnormalities from aim 1 and 2.  The outcome of this study will provide a better understanding of PTC and should have important clinical implications, as it could result in the development of new and better strategies for targeted therapeutic intervention for the treatment of Saudi Arabian PTC tumors."		FALSE	FALSE	FTC | RAI	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001002678	Genome-wide analysis of genetic risk factors for rheumatic heart disease in Aboriginal Australians provides support for pathogenic molecular mimicry	Background. Rheumatic heart disease (RHD) following Group A Streptococcus (GAS) infections is heritable and prevalent in Indigenous populations. Molecular mimicry between human and GAS proteins triggers pro-inflammatory cardiac valve-reactive T-cells. Methods. Genome-wide genetic analysis was undertaken in 1263 Aboriginal Australians (398 RHD cases; 865 controls). Single nucleotide polymorphisms (SNPs) were genotyped using Illumina HumanCoreExome BeadChips.  Direct typing and imputation was used to fine-map the human leukocyte antigen (HLA) region. Epitope binding affinities were mapped for human cross-reactive GAS proteins, including M5 and M6.   Results. The strongest genetic association was intronic to HLA-DQA1 (rs9272622; P=1.86x10-7). Conditional analyses showed rs9272622 and/or DQA1*AA16 account for the HLA signal. HLA-DQA1*0101_DQB1*0503 (OR 1.44, 95%CI 1.09-1.90, P=9.56x10-3) and HLA-DQA1*0103_DQB1*0601 (OR 1.27, 95%CI 1.07-1.52, P=7.15x10-3) were risk haplotypes; HLA_DQA1*0301-DQB1*0402 (OR 0.30, 95%CI 0.14-0.65, P=2.36x10-3) was protective.  Human myosin cross-reactive N-terminal and B repeat epitopes of GAS M5/M6 bind with higher affinity to DQA1/DQB1 alpha/beta dimers for the two risk haplotypes than the protective haplotype.  Conclusions. Variation at HLA_DQA1-DQB1 is the major genetic risk factor for RHD in Aboriginal Australians studied here. Cross-reactive epitopes bind with higher affinity to alpha/beta dimers formed by risk haplotypes, supporting molecular mimicry as the key mechanism of RHD pathogenesis.	Background. Rheumatic heart disease (RHD) following Group A Streptococcus (GAS) infections is heritable and prevalent in Indigenous populations. Molecular mimicry between human and GAS proteins triggers pro-inflammatory cardiac valve-reactive T-cells. Methods. Genome-wide genetic analysis was undertaken in 1263 Aboriginal Australians (398 RHD cases; 865 controls). Single nucleotide polymorphisms (SNPs) were genotyped using Illumina HumanCoreExome BeadChips.  Direct typing and imputation was used to fine-map the human leukocyte antigen (HLA) region. Epitope binding affinities were mapped for human cross-reactive GAS proteins, including M5 and M6.   Results. The strongest genetic association was intronic to HLA-DQA1 (rs9272622; P=1.86x10-7). Conditional analyses showed rs9272622 and/or DQA1*AA16 account for the HLA signal. HLA-DQA1*0101_DQB1*0503 (OR 1.44, 95%CI 1.09-1.90, P=9.56x10-3) and HLA-DQA1*0103_DQB1*0601 (OR 1.27, 95%CI 1.07-1.52, P=7.15x10-3) were risk haplotypes; HLA_DQA1*0301-DQB1*0402 (OR 0.30, 95%CI 0.14-0.65, P=2.36x10-3) was protective.  Human myosin cross-reactive N-terminal and B repeat epitopes of GAS M5/M6 bind with higher affinity to DQA1/DQB1 alpha/beta dimers for the two risk haplotypes than the protective haplotype.  Conclusions. Variation at HLA_DQA1-DQB1 is the major genetic risk factor for RHD in Aboriginal Australians studied here. Cross-reactive epitopes bind with higher affinity to alpha/beta dimers formed by risk haplotypes, supporting molecular mimicry as the key mechanism of RHD pathogenesis.		TRUE	FALSE	GAS	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001003421	STREP GENE: Genetics and Severe Streptococcal Infections	This study investigated host genetic susceptibility to invasive group A streptococcal disease in the UK. Cases were either survivors recruited retrospectively through a patient group or identified from the a tissue bank at Imperial College London. Those recruited through the patient group had survived an episode of invasive GAS disease at a UK hospital since 1980 with microbiological confirmation obtained either through Public Health England or from the treating hospital.  Those identified from the tissue bank had been diagnosed with invasive GAS disease at the Hammersmith Hospital, London, UK, since 2006. All cases aged less than 65 years without long-term medical conditions genome-wide genotyped using either the Illumina HumanCore or the Global Screening Array platform.	This study investigated host genetic susceptibility to invasive group A streptococcal disease in the UK. Cases were either survivors recruited retrospectively through a patient group or identified from the a tissue bank at Imperial College London. Those recruited through the patient group had survived an episode of invasive GAS disease at a UK hospital since 1980 with microbiological confirmation obtained either through Public Health England or from the treating hospital.  Those identified from the tissue bank had been diagnosed with invasive GAS disease at the Hammersmith Hospital, London, UK, since 2006. All cases aged less than 65 years without long-term medical conditions genome-wide genotyped using either the Illumina HumanCore or the Global Screening Array platform.		TRUE	FALSE	GAS	Incorrect, needs STREP GENE: Genetics and Severe Streptococcal Infections	STREP GENE: Genetics and Severe Streptococcal Infections	Corrected by reviewer
EGAS00001003018	GCAT | Genomes for life:  cohort study of the genomes of Catalonia	The GCAT Study have recruited 20 000 participants aged 40–65 years. Participants who agreed to take part in the study completed a self-administered computer-driven questionnaire, and underwent blood pressure, cardiac frequency and anthropometry measurements. For each participant, blood plasma, blood serum and white blood cells are collected at baseline.   A total of 5459  genomic profiles have been characterised by comprehensive genotyping. Genome-wide genotypes have been generated using Illumina Infinium SNP-bead array technology. We chose the Multi-Ethnic Global (MEGAEX, V.2) consortium array, a multipurpose, multiethnic  genotyping array with two million selected markers (including previously described germline mutations, insertions-deletions (InDels) and SNPs).We have strictly followed the standard manufacturer recommended automated protocol for the Infinium HTS Assay scanned with a HiScan confocal scanner (Illumina, San Diego, California, USA). Genome Studio V.2011.1 has been used for raw data analysis. Genotyping was performed at the Genomics and Bioinformatics Unit of the PMPPC Institute for Health Science Research Germans Trias i Pujol, in Badalona, Spain.  Future plans The first follow-up study started in December 2017 and will end by March 2018. Residences of all subjects will be geocoded during the following year. Several genomic analyses are ongoing, and metabolomic and genomic integrations will be performed to identify underlying genetic variants, as well as environmental factors that influence metabolites.  http://dx.doi.org/10.1136/bmjopen-2017-018324	The GCAT Study have recruited 20 000 participants aged 40–65 years. Participants who agreed to take part in the study completed a self-administered computer-driven questionnaire, and underwent blood pressure, cardiac frequency and anthropometry measurements. For each participant, blood plasma, blood serum and white blood cells are collected at baseline.   A total of 5459  genomic profiles have been characterised by comprehensive genotyping. Genome-wide genotypes have been generated using Illumina Infinium SNP-bead array technology. We chose the Multi-Ethnic Global (MEGAEX, V.2) consortium array, a multipurpose, multiethnic  genotyping array with two million selected markers (including previously described germline mutations, insertions-deletions (InDels) and SNPs).We have strictly followed the standard manufacturer recommended automated protocol for the Infinium HTS Assay scanned with a HiScan confocal scanner (Illumina, San Diego, California, USA). Genome Studio V.2011.1 has been used for raw data analysis. Genotyping was performed at the Genomics and Bioinformatics Unit of the PMPPC Institute for Health Science Research Germans Trias i Pujol, in Badalona, Spain.  Future plans The first follow-up study started in December 2017 and will end by March 2018. Residences of all subjects will be geocoded during the following year. Several genomic analyses are ongoing, and metabolomic and genomic integrations will be performed to identify underlying genetic variants, as well as environmental factors that influence metabolites.  http://dx.doi.org/10.1136/bmjopen-2017-018324	[29593016]	TRUE	FALSE	GCAT	Correct	GCAT	Confirmed correct (human-reviewed)
EGAS00001003057	SNP array genome charaterization of GCATcore, a subset of the GCAT cohort.	The GCAT Study is a long-term genomic, environmental and lifestyle cohort project that aims to evaluate and track multiple pathologies as well as biologically related traits. Therefore, the GCAT Study offers a unique opportunity to integrate diverse data to allow the identification of novel relations among different biomarkers and conditions. Results may lead to the development of new genetic, genomic, epigenomic and proteomic diagnoses and screening tests, as well as new public health recommendations. GCAT is the only currently available population-based prospective cohort study in Spain with more than 5500 genotyped participants and 800 whole genome sequences.	The GCAT Study is a long-term genomic, environmental and lifestyle cohort project that aims to evaluate and track multiple pathologies as well as biologically related traits. Therefore, the GCAT Study offers a unique opportunity to integrate diverse data to allow the identification of novel relations among different biomarkers and conditions. Results may lead to the development of new genetic, genomic, epigenomic and proteomic diagnoses and screening tests, as well as new public health recommendations. GCAT is the only currently available population-based prospective cohort study in Spain with more than 5500 genotyped participants and 800 whole genome sequences.		FALSE	FALSE	GCAT	Correct	GCAT	Confirmed correct (human-reviewed)
EGAS00001001165	Genesis of Two Most Prevalent Variants Causing Combined Pituitary Hormone Deficiency in 21 Populations	Two variants (c.[301_302delAG];[301_302delAG] and c.[150delA];[150delA]) in the PROP1 gene are the most common genetic causes of recessively inherited combined pituitary hormones deficiency (CPHD). Our objective was to analyze in detail the origin of the two most prevalent variants. In the multicentric study were included 237 patients with CPHD and their 15 relatives carrying c.[301_302delAG];[301_302delAG] or c.[150delA];[150delA] or c.[301_302delAG];[ 150delA]. They originated from 21 different countries worldwide. We genotyped 21 single nucleotide variant markers flanking the 9.6Mb region around the PROP1 gene that are not in mutual linkage disequilibrium in the general populations - a finding of a common haplotype would be indicative of ancestral origin of the variant. Haplotypes were reconstructed by Phase and Haploview software, and the variant age was estimated using an allelic association method. We demonstrated ancestral origin of both variants: c.[301_302delAG] was carried on 0.2Mb-long haplotype in a majority of European patients arising approximately 101 generations ago (confidence interval 90.1-116.4). Patients from the Iberian Peninsula displayed a different haplotype which was estimated to have emerged 23.3 (20.1-29.1) generations ago. Subsequently, the data indicated that both haplotypes were transmitted to Latin American patients approximately 13.8 (12.2-17.0) and 16.4 (14.4-20.1) generations ago, respectively. The c.[150delA] variant that was carried on a haplotype spanning about 0.3Mb was estimated to appear 43.7 (38.4-52.7) generations ago. We present strong evidence that the most frequent variants in the PROP1 gene are not a consequence of variant hot-spots as previously assumed, but are founder variants.	Two variants (c.[301_302delAG];[301_302delAG] and c.[150delA];[150delA]) in the PROP1 gene are the most common genetic causes of recessively inherited combined pituitary hormones deficiency (CPHD). Our objective was to analyze in detail the origin of the two most prevalent variants. In the multicentric study were included 237 patients with CPHD and their 15 relatives carrying c.[301_302delAG];[301_302delAG] or c.[150delA];[150delA] or c.[301_302delAG];[ 150delA]. They originated from 21 different countries worldwide. We genotyped 21 single nucleotide variant markers flanking the 9.6Mb region around the PROP1 gene that are not in mutual linkage disequilibrium in the general populations - a finding of a common haplotype would be indicative of ancestral origin of the variant. Haplotypes were reconstructed by Phase and Haploview software, and the variant age was estimated using an allelic association method. We demonstrated ancestral origin of both variants: c.[301_302delAG] was carried on 0.2Mb-long haplotype in a majority of European patients arising approximately 101 generations ago (confidence interval 90.1-116.4). Patients from the Iberian Peninsula displayed a different haplotype which was estimated to have emerged 23.3 (20.1-29.1) generations ago. Subsequently, the data indicated that both haplotypes were transmitted to Latin American patients approximately 13.8 (12.2-17.0) and 16.4 (14.4-20.1) generations ago, respectively. The c.[150delA] variant that was carried on a haplotype spanning about 0.3Mb was estimated to appear 43.7 (38.4-52.7) generations ago. We present strong evidence that the most frequent variants in the PROP1 gene are not a consequence of variant hot-spots as previously assumed, but are founder variants.		TRUE	FALSE		Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001001310	Barcoding reveals complex clonal dynamics of de novo transformed human mammary cells	Most human breast cancers have already diversified genomically when they first become clinically evident, by which time extensive heterogeneous histopathologies, transcriptomes and growth patterns are also apparent. Accordingly, important initial events and the cellular context in which they occur have been difficult to characterize. Using DNA barcoding, we now demonstrate the high efficiency with which both purified basal and luminal cells isolated directly from normal adult human mammary tissue can be rapidly transformed by a single oncogene (KRASG12D) resulting in the production within 8 weeks in vivo of serially transplantable, polyclonal, invasive ductal carcinomas that are phenotypically heterogeneous and transcriptionally distinct from the initial cells transduced. Barcoding also revealed a consistent dramatic change in the clonal content of passaged tumours. This system thus provides a powerful new platform for examining early events in the genesis, evolution and treatment response of malignant human mammary cells generated using defined mutations.	Most human breast cancers have already diversified genomically when they first become clinically evident, by which time extensive heterogeneous histopathologies, transcriptomes and growth patterns are also apparent. Accordingly, important initial events and the cellular context in which they occur have been difficult to characterize. Using DNA barcoding, we now demonstrate the high efficiency with which both purified basal and luminal cells isolated directly from normal adult human mammary tissue can be rapidly transformed by a single oncogene (KRASG12D) resulting in the production within 8 weeks in vivo of serially transplantable, polyclonal, invasive ductal carcinomas that are phenotypically heterogeneous and transcriptionally distinct from the initial cells transduced. Barcoding also revealed a consistent dramatic change in the clonal content of passaged tumours. This system thus provides a powerful new platform for examining early events in the genesis, evolution and treatment response of malignant human mammary cells generated using defined mutations.	[26633636]	TRUE	FALSE		Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001002252	Mechanisms_of_rearrangement_signatures	The aims of the study is to:  1. To map double strand breaks introduced genome-wide and to monitor their repair, leading to mechanistic insights into the repair process and the genetic control of discrete steps.  2. To understand how cell coordinates the activities of multiple DNA repair pathways that respond to DNA DSBs and how the relative importance of these different systems is modulated during cell cycle transition/ and in different cells (i.e. BRCA mutants vs. BRCA normal; cancer vs. normal).  3. To understand the cellular and molecular requirements that govern the genesis of genomic rearrangements.	Recent studies from the group have revealed that a single gene defect does not simply produce a single mutational signature. For example, we now know that BRCA1 nullness consistently presents not one, but at least six distinctive mutational signatures including two base substitution signatures, one indel pattern, three rearrangement signatures and distinct copy number profiles (Morganella et al., 2016; Nik-Zainal et al., 2016). This plethora of mutational signatures are likely representative of the multitude of compensatory recombination repair and translesion repair pathways that are called into action in the face of defective BRCA1, which is involved in homologous recombination (HR) pathway. Furthermore, these six signatures exhibit distinctive behaviours across replication time domains.  The aim of the project is to dissect the mechanisms that contribute towards double strand break repair (DSBR), and to understand how these rearrangement signatures arise.		FALSE	FALSE	GENESIS	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001002576	Comparative genomics research for Chinese colorectal cancer	In order to clarify the mechanisms of genesis and development of colorectal carcinoma, in this study, we performed comparative genomics research in Chinese colorectal cancer at various clinical stage via whole exon sequencing or whole genome sequencing. Comparative bioinformatical analysis was perform to find the difference on somatic single-nucleotide variants, short insert/deletion variants, genomic structural variants, and copy number variants between cancer tissue and normal tissue, or among cancer tissues at various clinical stages.	In order to clarify the mechanisms of genesis and development of colorectal carcinoma, in this study, we performed comparative genomics research in Chinese colorectal cancer at various clinical stage via whole exon sequencing or whole genome sequencing. Comparative bioinformatical analysis was perform to find the difference on somatic single-nucleotide variants, short insert/deletion variants, genomic structural variants, and copy number variants between cancer tissue and normal tissue, or among cancer tissues at various clinical stages.		TRUE	FALSE		Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001002607	Comparative genomics research for Chinese colorectal cancer	In order to clarify the mechanisms of genesis and development of colorectal carcinoma, in this study, we performed comparative genomics research in Chinese colorectal cancer at various clinical stage via whole exon sequencing or whole genome sequencing. Comparative bioinformatical analysis was perform to find the difference on somatic single-nucleotide variants, short insert/deletion variants, genomic structural variants, and copy number variants between cancer tissue and normal tissue, or among cancer tissues at various clinical stages.	In order to clarify the mechanisms of genesis and development of colorectal carcinoma, in this study, we performed comparative genomics research in Chinese colorectal cancer at various clinical stage via whole exon sequencing or whole genome sequencing. Comparative bioinformatical analysis was perform to find the difference on somatic single-nucleotide variants, short insert/deletion variants, genomic structural variants, and copy number variants between cancer tissue and normal tissue, or among cancer tissues at various clinical stages.		TRUE	FALSE		Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001008371	Neuroimmune_iPS_WGS	Innate and adaptive immune responses play an important role in the genesis or progression of many neurodegenerative diseases including Alzheimer’s disease (AD), Parkinson’s disease (PD) and Amyotrophic Lateral Sclerosis (ALS). Single cell and spatial transcriptomics of human brain samples have identified the presence of many different disease-specific microglial states and T cell infiltration; however, it is still unclear what the underlying cellular mechanisms are, at what stages in disease progression immune cells are protective or detrimental, whether there are shared mechanisms across diseases and how genetic predispositions affect these processes. The NeuroImmune Project aims to understand the signals or pathological features driving disease-associated microglial states, the underlying cellular mechanisms that define these states, and their downstream effects on other cell types including T cells, astrocytes and neurons. The project will employ large-scale spatial and single cell analysis of hiPSC models that have been matched to patient samples with similar polygenic risk scores (PRS) or causal mutations. The analysis will aim to identify cell signalling pathways, cell-cell interactions and downstream pathways that are involved within and across neurodegenerative disease which would be good targets for therapeutic intervention.   We are performing long read whole genome sequencing of the hiPSC lines to be used in this study (mainly from the IPMAR collection) to look for common, rare and structural variants that are associated with cellular phenotypes and to select genetically matched patient and hiPSC samples for comparison.  This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute please see http://www.sanger.ac.uk/datasharing/	Innate and adaptive immune responses play an important role in the genesis or progression of many neurodegenerative diseases including Alzheimer’s disease (AD), Parkinson’s disease (PD) and Amyotrophic Lateral Sclerosis (ALS). Single cell and spatial transcriptomics of human brain samples have identified the presence of many different disease-specific microglial states and T cell infiltration; however, it is still unclear what the underlying cellular mechanisms are, at what stages in disease progression immune cells are protective or detrimental, whether there are shared mechanisms across diseases and how genetic predispositions affect these processes. The NeuroImmune Project aims to understand the signals or pathological features driving disease-associated microglial states, the underlying cellular mechanisms that define these states, and their downstream effects on other cell types including T cells, astrocytes and neurons. The project will employ large-scale spatial and single cell analysis of hiPSC models that have been matched to patient samples with similar polygenic risk scores (PRS) or causal mutations. The analysis will aim to identify cell signalling pathways, cell-cell interactions and downstream pathways that are involved within and across neurodegenerative disease which would be good targets for therapeutic intervention.		FALSE	FALSE	NeuroImmune Project	Correct	NeuroImmune Project	Confirmed correct (human-reviewed)
EGAS50000000984	Tumor gene project	The study focuses on human tumor susceptibility as well as somatic cancer genomics. We use high-throughput sequencing approaches to achieve a comprehensive molecular characterization of tumors. Our goal is to better understand their genesis and management opportunities.		[]	TRUE	FALSE	Tumour Gene Project	Correct	Tumour Gene Project	Confirmed correct (human-reviewed)
EGAS50000001220	Spatial Biology of Cancer of Unknown Primary Reveals Origin, Vulnerabilities, Divergent Oncogene-Driven Stemness and Inflammatory-Immune Related Pathways	Cancer of unknown primary (CUP) represents not only a biological conundrum, but also a major cause of neoplasm-associated death in Western countries. The singularity of these metastases, where the source tumor remains hidden, prevent cancer-type efficient cancer treatments. Additionally, our limited understanding of the molecular and cellular pathways involved in their genesis are linked to the poor clinical outcome of patients with CUPs. To address this, we have integrated distinct spatial transcriptomic technologies with genetic and clinicopathological parameters in CUP cases to unveil their biological roots, improve diagnosis, and provide specific therapies. Our findings reveal that the resolution of transcriptional signatures in the space of paraffin-embedded slides constitutes an excellent tool to provide the tumor-of-origin (TOO) of these samples, with non-small cell lung cancer being the main culprit. In addition, the spatial expression of thousands of genes confers a unique opportunity to pinpoint targets for tailored treatments such as those associated with HER2 and MET overexpression. Most important, our study indicates the existence of two trajectories yielding CUPs: one enriched in oncogene-derived hyperproliferation markers and stemness features (ONC-CUP) that drives an extremely short survival; and another (IMI-CUP) that is characterized by chronic inflammation and immune related phenotypes linked to relatively better outcome and potentially responsive to immunotherapy.		[]	FALSE	FALSE		Incorrect		Confirmed no valid match (human-reviewed)
EGAS00000000101	The Genetic Analysis of multiple sclerosis	We created these data in order to identify genetic variants associated with increased susceptibility to multiple sclerosis. Cases from many parts of the world were genotyped with the Illumina 660 chip along with Swedish controls. In our analysis we also used control data from the WTCCC2 common UK controls and from other published studies.			TRUE	FALSE	WTCCC | Genetic Analysis of Multiple Sclerosis	Corect	WTCCC | Genetic Analysis of Multiple Sclerosis	Confirmed correct (human-reviewed)
