ID,label,type,disease cohort,disease role,diseases,quote,source,confidence,note,classified by,checked by
COHO:0000558,Genetic Investigation of ANthropometric Traits consortium,cohort aggregation,no,,,"The Genetic Investigation of ANthropometric Traits (GIANT) consortium is an international collaboration that seeks to identify genetic loci that modulate human body size and shape, including height and measures of obesity.",https://portals.broadinstitute.org/collaboration/giant/index.php/Main_Page,medium,"GIANT meta-analyses GWAS of anthropometric traits (height, BMI, waist measures) across population cohorts; its subject is body size and shape as quantitative traits, not a disease or an exposure, so it is no on both counts.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000559,Hong Kong Degenerative Disc Disease Population Cohort,cohort,yes,population study of disease,lumbar disc degeneration,"This study examined the intercorrelations, risk factor associations, and single nucleotide polymorphism (SNP) heritabilities of lumbar disc MRI features in a large-scale sample to classify the different intervertebral disc phenotypes associated with LDD.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A27157501+AND+SRC%3AMED&format=json&resultType=core,medium,"A population-based cohort of Southern Chinese volunteers recruited regardless of back symptoms and given lumbar MRI and genotyping so that intervertebral disc degeneration can be studied, hence a population study of one disease; environmental factors are only covariates.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000560,International Lung Cancer Consortium,cohort aggregation,yes,patients,lung cancer,"We have therefore conducted a pooled analysis of tobacco smoking and risk of BAC within the framework of the International Lung Cancer Consortium (ILCCO), which includes completed and ongoing studies of molecular and genetic epidemiology of lung cancer [15], with the aim of providing a precise measurement of the association between tobacco smoking and BAC.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3002160/fullTextXML,high,"ILCCO pools lung cancer case-control and cohort studies (its members are lung cancer studies), so it is a disease aggregation of patients; tobacco is a risk factor it analyses, not the basis on which its studies were assembled.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000561,Alzheimer's Disease Sequencing Project,cohort aggregation,yes,patients,Alzheimer's disease | related dementias,"The Alzheimer's Disease Sequencing Project (ADSP) is a national initiative to understand the genetic architecture of Alzheimer's disease and related dementias (ADRD) by integrating whole genome sequencing (WGS) with other genetic, phenotypic, and harmonized datasets from diverse populations.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A40407102+AND+SRC%3AMED&format=json&resultType=core,high,"ADSP sequences Alzheimer disease cases and controls drawn from many AD and population cohorts (its DSS page lists WES of 5,096 AD cases and 4,965 controls); an aggregation collected for one disease, with no exposure component.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000562,Cebu Longitudinal Health and Nutrition Survey,cohort,no,,,The CLHNS is a community-based study that recruited 3327 women from 33 randomly selected barangays (administrative units) from the 252 barangays that comprised Metro Cebu in 1982.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8222184/fullTextXML,low,"A community-based birth cohort of Cebu mothers and their 1983-84 infants followed on growth, schooling and health; the sources read describe recruitment and collection of environmental data but not the design purpose, so the exposure verdict (early nutrition as the cohort's subject) rests on the definition only; no disease focus.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000563,HerediGene Population Study,cohort,no,,,Participants in the HerediGene: Population study are voluntary US residents over the age of 18 years.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8497462/fullTextXML,high,A population genomics study enrolling any adult Intermountain Healthcare patient for whole-genome sequencing linked to health records; unselected for disease or exposure.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000564,Heart and Vascular Health Study,cohort,yes,patients,cardiovascular disease | venous thromboembolism | myocardial infarction | stroke | atrial fibrillation,"The HVH study is a population-based case-control study that includes individuals who experienced cardiovascular events, including a first VTE, and also included genetic analyses and performed a follow-up of the VTE cases for VTE recurrence.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11617231/fullTextXML,high,"A case-control study within Group Health of incident myocardial infarction, stroke, venous thromboembolism and atrial fibrillation with a shared control group; the cases are patients with cardiovascular events, and there is no exposure basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000565,Intermountain Heart Collaborative Study,cohort,yes,patients,coronary artery disease | cardiovascular disease,"IHCS enrolls patients admitted to Intermountain catheterization labs (Intermountain Medical Center: Salt Lake City, UT; LDS Hospital: Salt Lake City, UT; and McKay Dee Hospital, Ogden, UT) [24].",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4302371/fullTextXML,medium,"A registry and biorepository of patients undergoing coronary angiography at Intermountain hospitals, followed for cardiovascular outcomes and used as an angiographic CAD case series (later widened as the INSPIRE registry); a clinical patient cohort, not an exposure cohort.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000566,Johnston County Osteoarthritis Project,cohort,yes,population study of disease,osteoarthritis,JoCo OA began in 1990 as a community-based prospective cohort of European-ancestry and African American men and women with and without osteoarthritis (OA).,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-08771-z/MediaObjects/41586_2025_8771_MOESM1_ESM.pdf,high,"A population-based cohort of Johnston County adults sampled regardless of osteoarthritis status and followed for the incidence and progression of knee, hip and other osteoarthritis; one disease is its stated purpose, with no exposure basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000567,London Life Sciences Prospective Population Study,cohort,no,,,"The London Life Sciences Prospective Population Study (LOLIPOP) is a prospective cohort study of ~ 28000 Indian Asian and European men and women, recruited from the lists of 58 General Practitioners in West London, UK, between 2003 and 2008.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7789600/fullTextXML,medium,"A population-based cohort recruited from general practice lists to study the cardiometabolic risk of South Asians; a broad cardiometabolic purpose in a general population, so neither a disease nor an exposure cohort.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000568,Asian Skin Traits and Genetics Research,cohort,no,,,"In this study, we established the ASTAGR (Asian Skin Traits and Genetics Research) cohort, comprising 2762 female participants from 4 Asian countries (Korea, Vietnam, Thailand, and Indonesia).",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A40010489+AND+SRC%3AMED&format=json&resultType=core,high,"A cohort of women from four Asian countries measured for 26 skin traits with genotyping and skin-related surveys; it studies normal trait variation, not a disease, and non-genetic factors are covariates rather than a design purpose.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000569,"Diet, Activity and Lifestyle Study",cohort,yes,patients,colon cancer | rectal cancer,"We genotyped candidate polymorphisms and tagSNPs in PTGS1 (COX-1) and PTGS2 (COX-2) in a population-based case-control study (Diet, Activity and Lifestyle Study, DALS) of colon cancer (n=1470 cases/1837 controls) and rectal cancer (n=583/775), and independently among cases and controls from the Colon Cancer Family Registry (CCFR; colon n= 959/1535, rectal n= 505/839).",https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3913564/unicode,medium,"A population-based case-control study of colon and rectal cancer whose name and questionnaire centre on diet, physical activity and lifestyle as the risk factors under study; the cases make it a patient cohort and the design makes it a diet-and-cancer exposure study, though the sources read describe the data collected rather than stating the aim.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000570,Invecchiare in Chianti,cohort,no,,,"1,453 persons (age-range 20-102 years; 91.6% of the eligible) selected from city registry of Greve in Chianti and Bagno a Ripoli (Tuscany, Italy), using a multistage sampling method.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A11129752+AND+SRC%3AMED&format=json&resultType=core,high,"A population-based study of ageing sampled from municipal registries to study the loss of walking ability and other age-related decline; ageing and function are not diseases, and diet is measured only as a covariate.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000571,Japan Multi-Institutional Collaborative Cohort Study,cohort,yes,population study of disease,cancer,"Although the main purpose is to confirm and detect gene-environment interactions of lifestyle-related diseases, mainly of cancer, through the cohort analyses, it includes cross-sectional analyses on lifestyle factors, biomarkers, and genotypes, as well as confirmation/ screening of new biomarkers usable for early diagnosis of cancer. The endpoints are cancer diagnosis and death.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A17696755+AND+SRC%3AMED&format=json&resultType=core,medium,"A Japanese population genome cohort whose stated purpose is gene-environment (lifestyle) interaction, with detailed alcohol, smoking, diet and exercise data, so lifestyle exposure is its design subject; its endpoints are cancer diagnosis and death, making it a population study of cancer, although the source frames this as lifestyle-related diseases mainly cancer.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000572,Nijmegen Bladder Cancer Study,cohort,yes,patients,urinary bladder cancer,"In this study, we analysed data of the Nijmegen Bladder Cancer Study (NBCS), one of the largest case–control studies for UBC worldwide, as to gain better insights into the role of recurrent infections of the (lower) urinary tract as a risk factor for UBC.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4453642/fullTextXML,high,"A case-control study of urinary bladder cancer patients identified through the Netherlands Cancer Registry, with population controls from the Nijmegen Biomedical Study; a patient cohort with no exposure basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000573,Norwegian Breast Cancer Study,cohort,yes,patients,breast cancer,"To identify potential target gene(s), we examined the associations of the three lead SNPs with expression levels of genes located within 1 Mb in three different studies: (1) 116 normal breast samples and 241 breast tumors from the Norwegian Breast Cancer Study (NBCS)",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5065698/fullTextXML,high,"A Norwegian breast cancer case-control study within BCAC whose cases are incident breast cancers from three hospitals and whose tumour and normal breast tissue is used in expression studies; a patient cohort, no exposure basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000574,QSkin Sun and Health Study,cohort,yes,population study of disease,skin cancer | melanoma,The cohort was established to study the development of skin cancer and melanoma in the population with the highest reported incidence of these diseases in the world.,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A22933644+AND+SRC%3AMED&format=json&resultType=core,medium,"A random population sample of Queensland adults established to study skin cancer and melanoma, with a baseline built around sun exposure, sunburn and tanning-bed history; a population study of one disease family whose design centres on ultraviolet exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000575,RIKEN Study,cohort,yes,patients,knee osteoarthritis,"RIKEN Study The Japanese cohort of knee osteoarthritis GWAS (disease cohort) consists of 900 cases and 3,400 controls.",https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-08771-z/MediaObjects/41586_2025_8771_MOESM1_ESM.pdf,high,"A Japanese knee osteoarthritis case-control collection of about 900 symptomatic cases diagnosed by orthopaedic surgeons and 3,400 controls, assembled for GWAS; a patient cohort with no exposure basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000576,RIKEN cohort,cohort,yes,patients,metastatic renal cell carcinoma,"For the RIKEN cohort, a total of 219 mRCC patients treated with sunitinib were recruited from 15 Japanese medical institutes.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9220885/fullTextXML,high,"A pharmacogenetic series of metastatic renal cell carcinoma patients treated with sunitinib; a patient cohort, and treatment with a drug is not an environmental exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000577,Swedish Mammography Cohort,cohort,no,,,"The Swedish Mammography Cohort (SMC) [17] was established in 1987–1990 when 90,303 women born between 1914–48 and living in central Sweden (Uppsala or Västmanland counties) were invited to participate in a mammography screening program and to complete a food frequency questionnaire (FFQ) (74% response rate).",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13282369/fullTextXML,medium,"A population-based cohort of central Swedish women established around a food frequency questionnaire at mammography screening and followed through registers for diet, lifestyle and chronic disease; diet is its core design instrument, but its disease purpose is broad (chronic disease, notably cancer), so it is not a disease cohort.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000578,Shanghai Men's Health Study,cohort,no,,,"The Shanghai Men's Health Study (SMHS) is a population-based cohort study of 61,480 men aged 40-74 years, launched in 2002 in urban Shanghai to investigate the contribution of lifestyle/environmental factors and genetic susceptibility to cancer and other non-communicable diseases (NCDs).",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A25733578+AND+SRC%3AMED&format=json&resultType=core,medium,"A population-based cohort of Shanghai men launched to investigate lifestyle/environmental factors (detailed diet, smoking, alcohol, occupation, physical activity) and genetic susceptibility, so exposure is its stated design purpose; its disease purpose (cancer and other non-communicable diseases) is broad, so not a disease cohort.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000579,VITamins And Lifestyle Study,cohort,yes,population study of disease,cancer,"In brief, the participants in the VITAL study cohort were recruited from men and women aged above 50 years and living in the 13-county area in Western Washington State covered by the Surveillance, Epidemiology, and End Results (SEER) program cancer registry.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4705892/fullTextXML,medium,"A prospective cohort of western Washington adults recruited within a SEER cancer-registry area with a baseline questionnaire on diet, supplement use and lifestyle, to study supplements and lifestyle in relation to cancer risk; the sources read show the design (supplement and diet content, cancer-registry catchment) but the cancer aim itself is stated only in the definition.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000580,Western Australian Sleep Health Study,cohort,yes,patients,obstructive sleep apnoea,This study describes the development of such a cohort (The Western Australian Sleep Health Study) in OSA patients of Caucasian-European origin attending the only public sleep clinic in Western Australia (WA).,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A21318257+AND+SRC%3AMED&format=json&resultType=core,high,"A clinic-based cohort of patients referred for sleep-disordered breathing to the sole public sleep clinic in Western Australia, phenotyped with polysomnography to study the genetics of obstructive sleep apnoea; a patient cohort with no exposure basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000581,European Medical Information Framework for Alzheimer's Disease Multimodal Biomarker Discovery study,cohort aggregation,yes,patients,Alzheimer's disease | mild cognitive impairment,"Inclusion criteria were having normal cognition (NC) or a diagnosis of mild cognitive impairment (MCI) or AD-type dementia at baseline, age above 50 years, known amyloid-beta (Aβ) status, availability of cognitive test results and at least two of the following materials: plasma, DNA, magnetic resonance imaging (MRI) or cerebrospinal fluid (CSF).",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A29980228+AND+SRC%3AMED&format=json&resultType=core,high,"An aggregation of 11 European memory-clinic cohorts combined for Alzheimer disease biomarker discovery, spanning normal cognition, MCI and AD-type dementia with known amyloid status; assembled for one disease, no exposure basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000582,NHLBI Family Heart Study,cohort,yes,population study of disease,coronary heart disease | atherosclerosis,"The NHLBI Family Heart Study is a multicenter, population-based study of genetic and nongenetic determinants of coronary heart disease (CHD), atherosclerosis, and cardiovascular risk factors. In phase I, 2,000 randomly selected participants and 2,000 with family histories of CHD were identified among 14,592 middle-aged participants in epidemiologic studies.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A8651220+AND+SRC%3AMED&format=json&resultType=core,high,"NHLBI family study of the determinants of coronary heart disease: half the families were randomly sampled and half selected for high familial CHD risk from existing population studies, so it is a population study of one disease family (with an at-risk half) rather than a patient series; environments are mentioned only as generic determinants, not as a design focus.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000583,Hyperglycemia and Adverse Pregnancy Outcome Study,cohort,no,,,"The HAPO Study was an observational study designed to investigate the association between maternal glycemia during pregnancy, less severe than overt diabetes, and adverse pregnancy outcomes [34].",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11755808/fullTextXML,medium,"Multinational cohort of unselected pregnant women given a standard OGTT to relate maternal glycaemia below the diabetes threshold to pregnancy and newborn outcomes; participants were not selected for a disease and the stated subject is a glycaemia continuum and pregnancy outcomes rather than one disease (gestational diabetes was defined retrospectively in analyses), and no environmental exposure is studied.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000584,Catheterization Genetics,cohort,yes,patients,ischemic heart disease | coronary artery disease,"Individuals were selected from the CATHGEN biorepository of patients referred for evaluation of ischemic heart disease recruited sequentially through the cardiac catheterization laboratories at Duke University (Durham, NC) [30].",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4634848/fullTextXML,high,"Clinical biorepository of patients recruited sequentially at cardiac catheterisation while being evaluated for ischaemic heart disease, followed for cardiovascular events; a patient series (the source also calls them patients at risk of heart disease, since not all prove to have CAD). No exposure defines it.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000585,Colorectal Cancer Genetics & Genomics,cohort,yes,patients,colorectal cancer,CRCGEN combines data of two Spanish case-control studies.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8574048/fullTextXML,high,"Spanish colorectal cancer case-control collection (incident CRC cases with hospital and population controls), used for colorectal cancer genetics; the cases are the cohort, controls included. No exposure focus.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000586,Italian Network of Genetic Isolates - Carlantino,cohort,no,,,"INGI-CAR - INGI-CARLANTINO INGI-CAR consisted of about 1000 subjects who were drawn from Carlantino, an isolated village of southern Italy.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9436946/supplementaryFiles,high,"Population-based genetic isolate cohort of an Apulian village, studied for complex traits in general (coffee consumption, sweet liking, ECG traits); neither an exposure nor a disease defines it.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000587,EPIC-InterAct Study,cohort,yes,patients,type 2 diabetes,"A total of 12,403 verified incident cases of type 2 diabetes occurred during 3.99 million person-years of follow-up of 340,234 EPIC participants eligible for InterAct. We defined a centre-stratified subcohort of 16,154 individuals for comparative analyses.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A21717116+AND+SRC%3AMED&format=json&resultType=core,high,"Case-cohort study nested in EPIC: all verified incident type 2 diabetes cases plus a random subcohort, assembled to study how diet and physical activity interact with genes in diabetes risk; the cases make it a disease cohort and the stated gene-lifestyle purpose makes it an exposure study.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000588,Leipzig Adults,cohort,yes,patients,obesity,,,low,"Definition only: a Leipzig sample of about 900 adults with a mean BMI of 35 to 38 collected through the IFB AdiposityDiseases and the German Obesity Biomaterial Bank for obesity-trait consortia, i.e. an obesity patient sample; the cached papers give only funding acknowledgments (SFB-1052 Obesity mechanisms), no recruitment description. No exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000589,Swiss Study on Air Pollution and Lung Diseases in Adults,cohort,yes,population study of disease,bronchial asthma | chronic bronchitis | allergic conditions,"The aim of the SAPALDIA cross-sectional study carried out in 1991 was to determine the prevalence of bronchial asthma, chronic bronchitis and allergic conditions in the adult population of Switzerland and to identify and to determine the respective importance of potentially influencing factors.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A9151378+AND+SRC%3AMED&format=json&resultType=core,high,"Population-based Swiss cohort designed to measure the health effects of long-term air pollution, with monitored NO2, SO2, O3 and particulates and GIS exposure estimates: an air-pollution cohort; its stated aim is the prevalence and determinants of asthma, chronic bronchitis and allergic conditions in adults, one disease family, so also a population study of lung disease.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000590,Bunkyo Health Study,cohort,no,,,"Bunkyo Health Study is a prospective cohort study of over 10 years21, which recruited older subjects aged 65–84 years living in Bunkyo-Ku, an urban area in Tokyo, Japan.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11106293/fullTextXML,high,"Probability sample of community-dwelling older residents of a Tokyo ward followed for muscle function, metabolic health and need for long-term care: a general ageing cohort, not selected for or aimed at one disease and without an exposure focus.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000591,Shimane CoHRE Study,cohort,no,,,The Shimane CoHRE study conducted by Shimane University in Japan worked in collaboration with Okinoshima town in the Shimane prefecture to identify potential factors of healthy aging among rural residents.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8744710/fullTextXML,high,Community health-examination cohort of rural older adults in Shimane Prefecture run for healthy ageing and chronic disease in general; no exposure or single disease defines it.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000592,Fangchenggang Area Male Health and Examination Survey,cohort,no,,,"Briefly, the FAMHES was a population-based study conducted among non-institutionalized Chinese men aging from 17 to 88 years old in Guangxi, China.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3380865/fullTextXML,medium,"Population-based survey of men attending routine physical examinations in Fangchenggang, designed for environmental and genetic factors in age-related chronic diseases in general; environment is a generic aim (serum metal levels were later used as GWAS phenotypes) rather than a defining exposure, and the disease aim is broad.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000593,Italian Network of Genetic Isolates - Friuli Venezia Giulia,cohort,no,,,INGI-FVG - INGI-Friuli Venezia Giulia The INGI-FVG cohort consisted of about 1700 subjects drawn from the project “Genetic Park of Friuli Venezia Giulia”.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9436946/supplementaryFiles,high,"Population-based genetic isolate cohort of six villages in Friuli Venezia Giulia, studied for complex traits in general; neither an exposure nor a disease defines it.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000594,Osteoarthritis Initiative,cohort,yes,at risk,knee osteoarthritis,The Osteoarthritis Initiative (OAI) is a prospective longitudinal study designed to identify risk factors for the incidence and progression of symptomatic tibiofemoral knee osteoarthritis.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-08771-z/MediaObjects/41586_2025_8771_MOESM1_ESM.pdf,high,"Multicentre observational study of knee osteoarthritis enrolling an incidence subcohort selected for increased risk (the majority), a progression subcohort with symptomatic knee OA and a small reference group, so an at-risk cohort that also holds patients; no exposure defines it.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000595,SWOG Cancer Research Network,cohort aggregation,yes,patients,cancer,"SELECT was coordinated by SWOG, a national consortium of institutions and investigators that conducts multidisciplinary clinical trials to improve the practice of medicine in preventing, detecting, and treating cancer, and to enhance the quality of life for cancer survivors.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4983010/fullTextXML,high,"NCI cancer clinical trials network (aggregation) whose trial cohorts are cancer treatment trials of cancer patients (e.g. CALGB/SWOG 80405 in metastatic colorectal cancer) and cancer prevention trials of men at risk (SELECT, PCPT); classified by what it collects as a cancer patient aggregation. No exposure focus.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000596,Leeds Colorectal Cancer Study,cohort,yes,patients,colorectal cancer,"A study of 500 incident colorectal cancer cases and population controls, matched for age, sex and general practitioner, was conducted in the UK to investigate this hypothesis.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A12584178+AND+SRC%3AMED&format=json&resultType=core,medium,"Population-based colorectal cancer case-control study (Leeds, Dundee, York) whose founding paper says it was conducted to test the meat- and smoking-derived heterocyclic amine / NAT2 hypothesis, with detailed diet (an EPIC-modelled food frequency questionnaire) and smoking interviews and Food Standards Agency funding: cases make it a disease cohort and diet and tobacco are its stated design subject; medium because later uses treat it as a general CRC case-control set.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000597,North Carolina Colon Cancer Study,cohort,yes,patients,colorectal cancer,The North Carolina Colon Cancer Studies I and II (NCCCS I and NCCCS II) were population-based case-control studies conducted in 33 counties of North Carolina.,https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2709952/unicode,high,"Population-based case-control studies of colon (phase I) and distal colorectal (phase II) cancer in North Carolina with oversampled African Americans; the cases make it a disease cohort. Diet and medication were collected as risk factors among others, with no stated exposure design purpose.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000598,"Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study",cohort,yes,at risk,lung cancer | cancer,"Briefly, ATBC was a randomized placebo‐controlled trial (NCT00342992 clinicaltrials.gov) examining α‐tocopherol and/or β‐carotene for primary prevention of lung and other cancers in 29,133 male Finnish smokers, aged 50–69 years at recruitment between 1985 and 1988.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12329778/fullTextXML,high,"Finnish prevention trial that enrolled 29,133 male smokers, later followed as a cohort: recruited as smokers, so an exposure-defined cohort, and selected for their smoking-related risk of lung and other cancers, so at risk. The supplements are an intervention, not an exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000599,Growth and Obesity Chilean Cohort Study,cohort,yes,population study of disease,obesity,,,low,"Definition and name only: a longitudinal cohort of Santiago children recruited at age 3.5 from childcare centres and followed into adolescence to study growth, puberty and obesity; the cached paper describes only the recruitment, not the purpose, so the obesity aim rests on the cohort's name and definition. No exposure focus.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000600,Health Examinees Study,cohort,no,,,"HEXA cohort was initiated in 2004 to identify environmental and genetic risk factors for major chronic diseases in Koreans, targeting men and women over 40 years of age who visited medical examination centers in urban areas.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11266026/fullTextXML,high,"Large population-based KoGES cohort of health examinees recruited for environmental and genetic risk factors of major chronic diseases in general: a broad-purpose population cohort, with environment only as a generic aim.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000601,Newfoundland Colorectal Cancer Registry,cohort,yes,patients,colorectal cancer,"In order to investigate the factors, especially genetic components, responsible for CRC we established the Newfoundland Colorectal Cancer Registry.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A17039269+AND+SRC%3AMED&format=json&resultType=core,high,"Population-based registry of colorectal cancer patients diagnosed under 75 in Newfoundland and Labrador, followed for survival, with population controls added for case-control analyses; a patient registry. Smoking was analysed as a risk factor but does not define the cohort.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000602,Toshiba cohort,cohort,no,,,"This study was conducted at Toshiba Corp, an electronics manufacturer in Japan.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12531883/fullTextXML,medium,"Corporate genome cohort of consenting Toshiba employees with health check-up and questionnaire data, used for vaccine side-effect GWAS and a salt-reduction trial; the workplace is a recruitment setting, not an occupational hazard, and no disease selects the participants.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000603,Women's Health Initiative Memory Study,cohort,yes,population study of disease,dementia | mild cognitive impairment,"WHIMS, an ancillary study of the WHI Hormone Trials, was designed to investigate the effects of hormone therapy (conjugated equine estrogens (CEE) alone vs. placebo or CEE plus medroxyprogesterone [E + P] acetate vs. placebo) on cognitive outcomes among 7479 women aged 65–80 years recruited from 39 clinical sites across the United States who were cognitively unimpaired at randomization (1996–1999)",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12928021/fullTextXML,medium,"Ancillary trial of the WHI hormone trials in cognitively unimpaired older women, designed to test hormone therapy against incident mild cognitive impairment and probable dementia, so a population study of dementia; medium because the COHO term is the WHIMS+ genotyping set, which adds other hormone-trial women to represent the whole trial population. Hormone therapy is a medication, not an environmental exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000604,WHI SNP Health Association Resource,cohort,no,,,"the WHI SNP Health Association Resource (WHI SHARe), a randomly selected sample of 8,515 African American and 3,642 Hispanic women from WHI.",https://static-content.springer.com/esm/art%3A10.1038%2Fs41398-025-03418-z/MediaObjects/41398_2025_3418_MOESM1_ESM.pdf,high,"Randomly selected African American and Hispanic women from the Women's Health Initiative genotyped under the NHLBI SHARe project: a general population sample, defined by neither exposure nor disease.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000605,Isle of Wight Whole Population Birth Cohort,cohort,yes,population study of disease,asthma | allergic diseases,Parental consent was obtained from 1456 of the 1536 children for inclusion into a longitudinal study of asthma and allergic disease (Figure 1).,https://pmc.ncbi.nlm.nih.gov/articles/PMC6124620/,high,"Whole-population birth cohort of the Isle of Wight established to measure the prevalence, natural history and risk factors of asthma and allergic diseases from infancy to adulthood: an unselected birth cohort with one disease family as its purpose. Environmental risk factors (smoking, pets) are one of several aims, not the design centre.","Claude Fable 5.1 (Anthropic), 2026-09",
