ID	label	verdict	example study	PMID	quote	URL	quote verified	confidence	remark
COHO:0000114	Mexican Biobank	confirmed, upheld on re-review	EGAS00001005797		we present the data from the Mexican Biobank Project	https://ega-archive.org/studies/EGAS00001005797	yes	high	
COHO:0000115	MIRAGE	replaced	GCST001342	PMID:22159054	Multi-Institutional Research on Alzheimer Genetic Epidemiology (MIRAGE) Study	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3356921	yes	high	Original mirAge is a microRNA aging score in Rotterdam participants.
COHO:0000116	Molecular Genetics of Schizophrenia Collaboration	found	GCST000434	PMID:19571811	We exchanged GWAS summary results with the Molecular Genetics of Schizophrenia (MGS)	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3912837/unicode	yes	high	
COHO:0000117	MOnica Risk, Genetics, Archiving and Monograph	found		PMID:22848412	MORGAM (MOnica Risk, Genetics, Archiving, Monograph) cohorts	https://europepmc.org/articles/PMC3405046	yes	high	Candidate is FINRISK/DILGOM exomes, linked to MORGAM; selected a paper explicitly analyzing MORGAM cohorts.
COHO:0000118	Monitoring of Trends and Determinants in Cardiovascular Disease	found		PMID:22162987	We conducted a case-cohort study within the population-based MONICA/KORA Augsburg studies.	https://europepmc.org/articles/PMC3232218	yes	high	Candidate describes FINRISK/DILGOM and expands MORGAM, not a direct MONICA cohort example.
COHO:0000119	Multi-Ethnic Study of Atherosclerosis	confirmed, upheld on re-review	GCST90095178	PMID:34732054	Multi-Ethnic Study of Atherosclerosis	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC8692416/unicode	yes	high	
COHO:0000120	Multicenter Family Study	found	GCST002149	PMID:23974872	the Multicenter Family Study	https://europepmc.org/articles/PMC3827979	yes	high	Candidate MFS means Maudsley Family Study, not Multicenter Family Study.
COHO:0000121	Multiethnic Cohort Study of Diet and Health	confirmed, upheld on re-review	GCST90027067	PMID:34329319	Multiethnic Cohort-Adiposity Phenotype Study	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A34329319+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000122	Multiple Environmental and Genetic Assessment of Risk Factors for Venous Thrombosis	confirmed, upheld on re-review	GCST90446466	PMID:39424413	MEGA [Multiple Environmental and Genetic Assessment]	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A39424413+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000123	National Health Service Blood and Transplant	found	GCST90243401	PMID:29875488	National Health Service Blood and Transplant (NHSBT)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=6697541	yes	high	
COHO:0000124	National Study of Colorectal Cancer Genetics	found	GCST000270	PMID:19011631	National Study of Colorectal Cancer Genetics (NSCCG)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2836775	yes	high	
COHO:0000125	Netherlands Twin Registry	confirmed, upheld on re-review	GCST90240004	PMID:26068415	The Netherlands Twin Register	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fncomms8208/MediaObjects/41467_2015_BFncomms8208_MOESM952_ESM.pdf	no	high	
COHO:0000126	New England-based Case-Control Study of Ovarian Cancer	found		PMID:33634849	Data from the New England Case-Control Study (NEC)	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC8720374/unicode	yes	high	
COHO:0000127	NIDDK	found	GCST90295922	PMID:37688361	The Gastroparesis Clinical Research Consortium (GpCRC) is a network of GI tertiary centers in the United States sponsored by the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) that aims to advance knowledge and treatments for GP.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10576603/fullTextXML	yes	high	GWAS Catalog cohort tag NIDDK on GCST90295922 (re-review 2026-09-22): the study's NIDDK sample is the NIDDK-sponsored Gastroparesis Clinical Research Consortium registry. The earlier EGA hit EGAS00001002937 names NIDDK only as a funder and was struck by the human EGA reviewer.
COHO:0000128	Nijmegen Biomedical Study	confirmed, upheld on re-review	GCST90244792	PMID:36551779	6468 participants who donated blood samples for the Nijmegen Biomedical Study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9775328/fullTextXML	yes	high	
COHO:0000129	Northern Ireland Cohort for Longitudinal Study of Ageing	confirmed, upheld on re-review	GCST010723	PMID:32843070	Northern Ireland Cohort for Longitudinal Study of Ageing	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7449002/fullTextXML	yes	high	
COHO:0000130	Northern Sweden Population Health Study	confirmed, upheld on re-review	EGAS50000000906	PMID:28832569	whole-genome sequencing data in CRAM-format for 58 individuals from the Northern Sweden Population Health Study	https://ega-archive.org/studies/EGAS50000000906	yes	high	
COHO:0000131	Norwegian Mother and Child Cohort study	confirmed, upheld on re-review	GCST90104629	PMID:35315439	Norwegian Mother, Father and Child Cohort Study	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A35315439+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000132	Orkney Complex Disease Study	confirmed, upheld on re-review	EGAS00001000068		400 subjects from the Orkney Complex Disease Study	https://ega-archive.org/studies/EGAS00001000068	yes	high	
COHO:0000133	Outcome Reduction With Initial Glargine Intervention Trial	confirmed, upheld on re-review	GCST90129631	PMID:35446786	Outcome Reduction with an Initial Glargine Intervention	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9220927/fullTextXML	yes	high	
COHO:0000134	Ovarian Cancer Association Consortium	confirmed, upheld on re-review	EGAS00001002305	PMID:27697780	genotype ovarian cancer cases and controls from multiple studies participating in the Ovarian Cancer Association Consortium	https://ega-archive.org/studies/EGAS00001002305	yes	high	
COHO:0000135	Ovarian Cancer Study	not_found			OCS/full-name searches did not resolve this generic label to a unique ovarian cancer cohort; no trustworthy example assigned.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22Ovarian%20Cancer%20Study%22%20AND%20%22OCS%22&format=json&resultType=core&pageSize=5	no	low	
COHO:0000136	Oxford Biobank	confirmed, upheld on re-review	EGAS00001002906		Exome genotype data and phenotype data for the Oxford BioBank dataset	https://ega-archive.org/studies/EGAS00001002906	yes	high	
COHO:0000137	PanCareLIFE	confirmed, upheld on re-review	GCST90838701	PMID:38729340	A discovery cohort of adult female childhood cancer survivors from the pan-European PanCareLIFE cohort	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A38729340+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000138	Parkinson Environment and Gene	found		PMID:40094665	The Parkinson Environment and Genes (PEG) study in California	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=11915066	yes	high	
COHO:0000139	People of the British Isles	confirmed, upheld on re-review	EGAS00001000672		approximately 2,900 individuals from the People of the British Isles	https://ega-archive.org/studies/EGAS00001000672	yes	high	
COHO:0000140	Physical Activity and Nutrition in Children Study	confirmed, upheld on re-review	GCST90275189	PMID:37798380	Physical Activity and Nutrition in Children study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10632150/supplementaryFiles#41588_2023_1520_MOESM1_ESM.pdf	yes	medium	Full-name match to Finnish PANIC; the supplement identifies Finland. COHO's Australia annotation conflicts.
COHO:0000141	Population-based Colonoscopy study	confirmed, upheld on re-review	GCST90002250	PMID:34957435	The Population-based Colonoscopy (PopCol) study is a cohort of Swedish-born individuals from Stockholm, Sweden	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8654685/fullTextXML	yes	medium	Full-name match to Swedish PopCol; COHO's Germany annotation conflicts.
COHO:0000142	Precocious Coronary Artery Disease Study	confirmed, upheld on re-review	GCST90271557	PMID:37679419	PROCARDIS	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10484788/supplementaryFiles#41588_2023_1462_MOESM6_ESM.xlsx	yes	medium	Full-name corroboration: “Precocious Coronary Artery Disease (PROCARDIS) study” https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000883.v1.p1 The cohort table places PROCARDIS in UK, Sweden, Germany and Italy; COHO's India annotation conflicts.
COHO:0000143	Pressioni Arteriose Monitorate E Loro Associazionie	found		PMID:15809377	Pressioni Arteriose Monitorate e Loro Associazioni (PAMELA) study	https://europepmc.org/article/MED/15809377	yes	high	Candidate EGA describes a HER2-positive breast cancer trial, a different PAMELA.
COHO:0000144	Prospective Investigation of the Vasculature in Uppsala Seniors	confirmed, upheld on re-review	GCST90096810	PMID:34523676	Prospective investigation of the Vasculature in Uppsala Seniors study	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A34523676+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000145	Psoriasis Association Genetics Extension	replaced	GCST005527	PMID:23143594	Psoriasis Association Genetics Extension (PAGE: 3,580 cases and 5,902 controls)	https://europepmc.org/articles/PMC3510312	yes	high	Original PAGE is Population Architecture using Genomics and Epidemiology.
COHO:0000146	Psychiatric GWAS Consortium	replaced	GCST001241	PMID:21926972	Psychiatric Genome-wide Association Study Consortium (PGC)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3637176	yes	high	Original accession describes GCAN/WTCCC3; selected a study explicitly using PGC data.
COHO:0000147	Research on Adolescent Development and Relationships	found		PMID:26997371	Research on Adolescent Development and Relationships Young cohort	https://europepmc.org/articles/PMC4802173	yes	high	Candidate Radar cohort studies radiation-exposed technicians and their children, not adolescent relationships.
COHO:0000148	Rotterdam Study	confirmed, upheld on re-review	EGAS00001008117		2,684 participants from the population-based Rotterdam Study cohort	https://ega-archive.org/studies/EGAS00001008117	yes	high	
COHO:0000149	Saguenay-Lac-Saint-Jean asthma study	replaced		PMID:23066387	a familial collection from a founder and remote population (Saguenay–Lac-Saint-Jean; SLSJ)	https://europepmc.org/articles/PMC3447577	yes	low	Replacement directly analyzes SLSJ asthma families; original 2020 letter full text could not be accessed.
COHO:0000150	Sahlgrenska Academy Study on Ischemic Stroke	confirmed, upheld on re-review	EGAS00001000936		Sahlgrenska Academy Study on Ischemic Stroke	https://ega-archive.org/studies/EGAS00001000936	yes	high	
COHO:0000151	SardiNIA Study of Aging	confirmed, upheld on re-review	GCST90001391	PMID:32929287	The SardiNIA project is a longitudinal study comprising 6,602 general population individuals	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC8517961/unicode	yes	high	
COHO:0000152	Scania Diabetes Registry	confirmed, upheld on re-review	GCST90061374	PMID:34601942	Patients in Scannia Diabetes Registry	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8542067/supplementaryFiles#hcg-14-e002862-s001.pdf	no	high	
COHO:0000153	Shanghai Study	not_found			Whole exome sequencing for gallbladder cancer in Xinhua Hospital Affiliated to Shanghai Jiao Tong University	https://ega-archive.org/studies/EGAS00001000853	no	low	Candidate names a hospital/location, not a Shanghai Study cohort. Full-name searches found multiple unrelated cohorts; ontology lacks distinguishing disease/parent context.
COHO:0000154	Short Course Oncology Treatment trial	found		PMID:29611518	The SCOT study was an international, randomised, phase 3, non-inferiority trial	https://europepmc.org/articles/PMC5883334	yes	high	Candidate TransSCOT_WES names the correct trial but is pending release; selected the published trial analysis.
COHO:0000155	Simons Simplex Collection	confirmed, upheld on re-review	EGAS00001005753		442 ASD probands that had accompanying morphology data in the Simons Simplex Collection	https://ega-archive.org/studies/EGAS00001005753	yes	high	
COHO:0000156	Singapore Chinese Study	found	GCST002340	PMID:24448986	Singapore Chinese Study (SCH, n = 2,000)	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4051826/unicode	yes	high	
COHO:0000157	SORCE	confirmed, upheld on re-review	EGAS00001002336	PMID:23184150	856 cases from SORCE, a MRC collection of surgically treated RCC cases	https://ega-archive.org/studies/EGAS00001002336	yes	high	
COHO:0000158	Spit for Science	replaced	GCST009886	PMID:30482948	Funding support for Spit for Science (dbGAP in progress) has been provided by Virginia Commonwealth University	https://europepmc.org/articles/PMC6430207	yes	high	Original EGA concerns Canadian children; this paper identifies the US VCU cohort.
COHO:0000159	Sweden Bipolar Disorder Cohort	confirmed, upheld on re-review	GCST90274758	PMID:37563310	The SWEBIC cohort comprises participants meeting the diagnostic criteria for Bipolar disorder	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10457199/supplementaryFiles#41590_2023_1588_MOESM1_ESM.pdf	no	high	
COHO:0000160	Swedish Twin Registry	confirmed, upheld on re-review	GCST90102256	PMID:34982741	a cohort of 1,130 twins from the Swedish Twin Registry	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A34982741+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000161	Taiwan Type 2 Diabetes Study	found	GCST002167	PMID:24001895	Taiwan Type 2 Diabetes Study	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3972802/unicode	yes	high	
COHO:0000162	TEENs of Attica: Genes and Environment	confirmed, upheld on re-review	EGAS00001000996	PMID:23347264	TEENAGE (TEENs of Attica: Genes and Environment) study	https://ega-archive.org/studies/EGAS00001000996	yes	high	
COHO:0000163	The English Longitudinal Study of Ageing	confirmed, upheld on re-review	EGAS00001001036		Genome Wide Association Study (GWAS) in the English Longitudinal Study of Ageing	https://ega-archive.org/studies/EGAS00001001036	yes	high	
COHO:0000164	The Fenland Study	confirmed, upheld on re-review	GCST90129632	PMID:35446786	the Fenland study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9220927/fullTextXML	yes	high	
COHO:0000165	The Helmholtz-Gemeinschaft Deutscher Forschungszentren	confirmed, upheld on re-review	GCST90134661	PMID:35915169	Helmholtz-Gemeinschaft Deutscher Forschungszentren Lung Cancer GWAS	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-022-01115-x/MediaObjects/41588_2022_1115_MOESM1_ESM.pdf#text	yes	high	
COHO:0000166	The MANOLIS cohort	confirmed, upheld on re-review	GCST90010102	PMID:33303764	in a population-based cohort (MANOLIS)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7729872/fullTextXML	yes	high	
COHO:0000167	The Netherlands AAA GWAS dataset	found	GCST003877	PMID:27899403	The Netherlands AAA GWAS dataset	https://eprints.whiterose.ac.uk/id/eprint/110164/7/341.full.pdf#text	no	high	
COHO:0000168	The Norwegian Biobank for Myeloma	found	GCST004483	PMID:27363682	the Norwegian Biobank for Myeloma (Trondheim, Norway)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4932178	yes	high	
COHO:0000169	The Pakistan Risk Of Myocardial Infarction Study	confirmed, upheld on re-review	GCST90060568	PMID:34503513	5662 hospital controls from the Pakistan Risk of Myocardial Infarction Study	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A34503513+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000170	The Secondary Manifestations of ARTerial disease study	found	GCST003276	PMID:26390057	Secondary Manifestations of Arterial Disease	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4719169	yes	high	
COHO:0000171	The Hellenic study of Interactions between Single nucleotide polymorphisms and Eating in Atherosclerosis Susceptibility	found		PMID:38929788	THISEAS (The Hellenic Study of Interactions between Single Nucleotide Polymorphisms and Eating in Atherosclerosis Susceptibility)	https://europepmc.org/articles/PMC11204902	yes	high	Candidate names THISEAS but is pending release and describes a planned analysis; selected a published THISEAS analysis.
COHO:0000172	Treating to New Targets	found	GCST000635	PMID:20339536	The Treating to New Targets (TNT) study followed 10,001 patients	https://europepmc.org/articles/PMC2842298	yes	high	Candidate EGA TNT is a breast cancer trial, not the statin trial.
COHO:0000173	Twins Early Development Study	confirmed, upheld on re-review	EGAS00001000116		Twins Early Development Study	https://ega-archive.org/studies/EGAS00001000116	yes	high	
COHO:0000174	Type 1 Diabetes Genetics Consortium	confirmed, upheld on re-review	GCST90432064	PMID:38453145	The Type 1 Diabetes Genetics Consortium	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11102596/fullTextXML	yes	high	
COHO:0000175	UK Adult Twin Register	confirmed, upheld on re-review	GCST002442	PMID:24816252	5,002 TwinsUK individuals newly profiled in this study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4064254/fullTextXML	yes	high	
COHO:0000176	UK Biobank	confirmed, upheld on re-review	EGAS50000000292		Included are meta-analyses with and without the UK Biobank dataset	https://ega-archive.org/studies/EGAS50000000292	yes	high	
COHO:0000177	UK Brain Expression Consortium	found	EGAS00001003065	PMID:32098967	which were part of the UK Brain Expression Consortium data set	https://europepmc.org/articles/PMC7042265	yes	high	
COHO:0000178	UK Childhood Cancer Study	found	GCST003798	PMID:27694927	459 white BCP-ALL cases from the UK Childhood Cancer Study	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=5336191	yes	high	Candidate correctly names UKCCS but is pending release; selected a published public GWAS.
COHO:0000179	UK Household Longitudinal Study	confirmed, upheld on re-review	EGAS00001001232		The UK Household Longitudinal Study	https://ega-archive.org/studies/EGAS00001001232	yes	high	
COHO:0000180	UK Inflammatory Bowel Disease Genetics Consortium	found	EGAS00001000924		the UKIBDGC has GWAS data for around 1800 CD samples	https://ega-archive.org/studies/EGAS00001000924	yes	high	
COHO:0000181	Viking Health Study	confirmed, upheld on re-review	EGAS00001003872		The Viking Health Study – Shetland	https://ega-archive.org/studies/EGAS00001003872	yes	high	
COHO:0000182	Wellcome Trust Case Control Consortium	confirmed, upheld on re-review	EGAS00000000097		6015 control individuals (provided by the Wellcome Trust Case Control Consortium and KORA-gen)	https://ega-archive.org/studies/EGAS00000000097	yes	high	
COHO:0000183	Basquecolon cohort	found		PMID:37783704	Basque-colon cohort (BCC)	https://europepmc.org/articles/PMC10545678	yes	high	
COHO:0000184	INTERVAL study	confirmed, upheld on re-review	EGAS00001002461		15,000 individuals from the INTERVAL study cohort	https://ega-archive.org/studies/EGAS00001002461	yes	high	
COHO:0000185	CONVERGE	replaced		PMID:26176920	CONVERGE Consortium	https://europepmc.org/articles/PMC4522619	yes	high	Original EGA uses converge as a verb in a brain-tumour title. Replacement analyses 11,670 Han Chinese women recruited by the China/Oxford/VCU CONVERGE consortium.
COHO:0000186	Gene-Environmental Interaction and phenotype study	confirmed, upheld on re-review	GCST90104115	PMID:35121771	we used data from the Gene-Environment of Interaction and phenotype (GENIE) cohort	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8817039/fullTextXML	yes	high	
COHO:0000187	China Atherosclerosis Study	confirmed, upheld on re-review	GCST90239651	PMID:34887591	the China Atherosclerosis Study	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-021-04064-3/MediaObjects/41586_2021_4064_MOESM4_ESM.xlsx	yes	high	
COHO:0000188	Diabetes Prediction and Prevention	found		PMID:19075291	Type 1 Diabetes prediction and prevention study [DIPP]	https://europepmc.org/articles/PMC2605239	yes	high	
COHO:0000189	Functional genomic diagnostic tools for coronary artery disease	found	GCST011566	PMID:33766035	as part of a multi-center cross-sectional study for the FGENTCARD Consortium	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=7993530	yes	high	
COHO:0000190	German Chronic Kidney Disease Study	confirmed, upheld on re-review	GCST90264176	PMID:37277652	5,023 participants of the German Chronic Kidney Disease study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10260405/fullTextXML	yes	high	
COHO:0000191	German Longevity Study	found		PMID:40232348	German longevity study reveals novel rare pro-longevity alleles clustering in mTOR signaling pathway	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=12181166	yes	high	
COHO:0000192	Global Registry of Acute Coronary Events	found		PMID:20231156	patients with ACS enrolled in the Global Registry of Acute Coronary Events (GRACE)	https://europepmc.org/article/MED/20231156	yes	high	
COHO:0000193	TwinGene Study	confirmed, upheld on re-review	GCST90020053	PMID:34431594	The TwinGene study was approved by the Regional Ethics Review Board, Stockholm	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8441299/fullTextXML	yes	high	
COHO:0000194	Uppsala Longitudinal Study of Adult Men	confirmed, upheld on re-review	GCST90728697	PMID:40038546	Uppsala Longitudinal Study of Adult Men	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11985341/supplementaryFiles#41588_2024_2064_MOESM6_ESM.xlsx	no	high	
COHO:0000195	Baltimore Longitudinal Study of Ageing	confirmed, upheld on re-review	GCST90624144	PMID:40111762	the Baltimore Longitudinal Study of Aging	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC12295682/unicode	yes	high	
COHO:0000196	Motor Neuron Disease Biobank study	found	GCST000820	PMID:20801717	UK National DNA Bank for Motor Neuron Disease Research ( MND DNA bank )	https://europepmc.org/articles/PMC3257853	yes	high	
COHO:0000197	Diabetic Cohort	confirmed, upheld on re-review	GCST90482719	PMID:39621102	the Diabetic Cohort (DC, n =6543)	https://link.springer.com/article/10.1007/s00125-024-06324-z	no	high	The methods explicitly include DC (6,543 recruited participants); its name also appears in the retrieved PubMed XML acknowledgements.
COHO:0000198	Ely Study	confirmed, upheld on re-review	GCST90267567	PMID:37291194	The Ely study was supported by the Medical Research Council	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7614755/supplementaryFiles#EMS178611-supplement-Supplementary_Note.pdf	no	high	The supplementary cohort table additionally includes Ely (1,248 participants).
COHO:0000199	Genetic Asthma Susceptibility to Indoor Pollution in Peru	found	GCST90091010	PMID:33713768	Genetic Asthma Susceptibility to Indoor Pollution in Peru (GASP study)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=8429514	yes	high	
COHO:0000200	Parkinson's Progression Markers Initiative	confirmed, upheld on re-review	GCST90270130	PMID:36370000	Parkinson’s Progression Markers Initiative	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10151180/fullTextXML	yes	high	
COHO:0000201	Psychosis Endophenotype Consortium	found	GCST002149	PMID:23974872	the Psychosis Endophenotype Consortium	https://europepmc.org/articles/PMC3827979	yes	high	
COHO:0000202	Study of Health in Pomerania	confirmed, upheld on re-review	GCST90096930	PMID:34782712	The Study of Health in Pomerania consists of two population-based independent cohorts	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7612684/fullTextXML	yes	high	
COHO:0000203	The Cooperative Health Research in South Tyrol	confirmed, upheld on re-review	GCST90095475	PMID:34827661	The Cooperative Health Research in South Tyrol (CHRIS) study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8615508/fullTextXML	yes	high	
COHO:0000204	The Health Effects of Arsenic Longitudinal Study	found	GCST001421	PMID:22383894	The Health Effects of Arsenic Longitudinal Study (HEALS)	https://europepmc.org/articles/PMC3285587	yes	high	
COHO:0000205	TwinGene Registry	found	GCST90020053	PMID:34431594	TwinGene study	https://europepmc.org/articles/PMC8441299	yes	high	
