PGS id	GWAS tags	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
GeneSTAR	GENESTAR; GeneSTAR; GeneStar	Genetic STudy of Aspirin Responsiveness	mint cohort	COHO:0000455	Genetic Study of Atherosclerosis Risk	GeneSTAR	Genetic Study of Aspirin Responsiveness|GeneSTAR family-based study	cohort			GCST90104704	PMID:35312098	Secondary analyses for genome-wide association studies using expression quantitative trait loci.	GeneSTAR is an ongoing prospective study begun in 1983 designed to determine environmental, phenotypic, and genetic causes of premature cardiovascular disease.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9086181/fullTextXML	A prospective family-based cohort, begun in 1983 at Johns Hopkins, of European American and African American families of probands with premature coronary disease identified in Baltimore-area hospitals, studied to determine the environmental, phenotypic and genetic causes of premature cardiovascular disease, including platelet response to a two-week aspirin trial.	PMID:35312098	Claude Opus 5.5 (Anthropic), 2026-09	United_States	Participants came from EA and AA families identified from 1983 to 2006 from probands with a premature coronary disease event before 60 years of age who were identified at the time of hospitalization in any of 10 Baltimore area hospitals.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9086181/fullTextXML					The acronym has two expansions in the literature: 'Genetic Study of Atherosclerosis Risk' (current usage, e.g. PMC9086181 and PMC7804602) and 'Genetic Study of Aspirin Responsiveness' (the PGS name; PMC4448541: 'Study Design of the Genetic Study of Aspirin Responsiveness (GeneSTAR) and Platelet Genetics and Physiology (PGAP).'); the label uses the current one. Location quote names Baltimore (Maryland, USA), and the study is at Johns Hopkins. Tags GENESTAR/GeneSTAR/GeneStar differ only in case, so one acronym. A TOPMed cohort; TOPMed participation is not a parent. 120 GWAS Catalog studies across 17 PMIDs; the example paper is not open access per Europe PMC but its PMC full text was fetched. No COHO match or clash (COHO:0000009 Aspirin for Asymptomatic Atherosclerosis Study is unrelated).
NHS	NHS	Nurses Health Study	mint cohort	COHO:0000456	Nurses' Health Study	NHS|NHS1|NHS I	Nurses Health Study|Nurses' Health Study I	cohort			GCST90301399	PMID:38664626	Germline genetic regulation of the colorectal tumor immune microenvironment.	The third replication dataset was derived from two prospective cohort studies in the US: the Nurses’ Health Study and the Health Professionals Follow-up Study [13, 55].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11046907/fullTextXML	A prospective cohort of 121,700 female registered nurses in the United States aged 30–55 when enrolled through a baseline questionnaire in 1976, followed by repeated questionnaires and biospecimen collection to study lifestyle and other risk factors for major chronic diseases in women.	PMID:27459450	Claude Opus 5.5 (Anthropic), 2026-09	United_States	The third replication dataset was derived from two prospective cohort studies in the US: the Nurses’ Health Study and the Health Professionals Follow-up Study [13, 55].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11046907/fullTextXML					The original 1976 Nurses' Health Study. Its successors NHS II (PGS id NHS2, tier C) and NHS3 (tier E), and its sister cohort HPFS (tier B), are separate rows of this review and should be separate cohorts; a curator may want an aggregation 'Nurses' Health Studies' (no parent given here). Tag misuse: 95 studies tagged NHS alone, 19 tagged NHS and NHS2; some papers tagged only NHS use NHS I and NHS II pooled (e.g. PMC8459317 describes both; PMC13269534 footnote '*NHS : pooled NHS1 and NHS2 cohorts.'). Definition also from PMC10173489 ('The NHS I began in 1976 when 121,700 female registered nurses, aged 30–55 years, were enrolled by completing a baseline questionnaire about their health and lifestyle [20].'); PMID:27459450 abstract read (not OA). Clash check: no COHO label or synonym equals NHS, NHS1 or NHS I; but 'NHS' is widely used for the UK National Health Service (COHO:0000123 National Health Service Blood and Transplant has synonym NHSBT, not an exact clash; COHO:0000206's definition mentions National Health Service patients). 114 GWAS Catalog studies across 25 PMIDs.
PMB	PMB	Penn Medicine Biobank	mint cohort	COHO:0000457	Penn Medicine BioBank	PMB|PMBB	Penn Medicine Biobank	cohort			GCST90267372	PMID:37255673	The genetic and phenotypic correlates of mtDNA copy number in a multi-ancestry cohort.	To understand the biology of mtCN, we carried out genome- and phenome-wide association studies of mtCN in 30,666 individuals from the Penn Medicine BioBank (PMBB)-a diverse cohort of largely African and European ancestry.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A37255673+AND+SRC%3AMED&format=json&resultType=core	An electronic health record-linked biobank cohort of more than 170,000 patients of the University of Pennsylvania Health System (Penn Medicine), about 30% of non-European ancestry, who consented to link their health records to genomic and biomarker data and to recontact, for genomic discovery and precision medicine research.	PMID:36556195	Claude Opus 5.5 (Anthropic), 2026-09	United_States	The Penn Medicine BioBank (PMBB) is an electronic health record (EHR)-linked biobank at the University of Pennsylvania (Penn Medicine).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A36556195+AND+SRC%3AMED&format=json&resultType=core					Label from the profile paper (PMID:36556195). PMB is the GWAS/PGS tag; the cohort's own acronym is PMBB. The location quote names the University of Pennsylvania (Philadelphia, USA) rather than the country; PMC10225932 adds 'All individuals were patients of the University of Pennsylvania Health System and were enrolled in the Penn Medicine BioBank.' 112 GWAS Catalog studies across 25 PMIDs. No COHO match or clash.
EIRA	EIRA	Epidemiological Investigation of Rheumatoid Arthritis	mint cohort	COHO:0000458	Epidemiological Investigation of Rheumatoid Arthritis	EIRA	Epidemiological Investigation of RA	cohort			GCST90281046	PMID:37326842	Genome-wide investigation of persistence with methotrexate treatment in early rheumatoid arthritis.	Our primary analysis cohort consisted of early-RA patients receiving MTX in DMARD monotherapy as their first RA treatment, identified in the Epidemiological Investigation of RA (EIRA) biobank or the Swedish Rheumatology Quality Register’s (SRQ) biobank (SRQb).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11065441/fullTextXML	A population-based case-control study established in Sweden in 1996, enrolling incident rheumatoid arthritis cases (now more than 5000) from the middle and southern regions of Sweden together with population controls, used to study genetic risk factors for rheumatoid arthritis and its ACPA-defined subsets and environmental factors such as cigarette smoking.	PMID:37326842	Claude Opus 5.5 (Anthropic), 2026-09	Sweden	EIRA, a case–control study established in 1996, currently contains >5000 incident RA cases from the middle and southern regions of Sweden [18].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11065441/fullTextXML					Definition from PMC11065441 (1996, >5000 incident cases, regions, RA-free controls) and PMC3015094 ('EIRA is a population-based case–control study enrolling incident (predominantly <1 year after clinical onset) cases of RA.'; GWAS of ACPA-positive and ACPA-negative RA); the smoking work is the EIRA study group's paper 'Quantification of the influence of cigarette smoking on rheumatoid arthritis: results from a population based case–control study, using incident cases' (cited in PMC2745780). In PMID:25891430 (CVID GWAS) EIRA supplied only Swedish controls. 106 GWAS Catalog studies across 6 PMIDs. No COHO match or clash.
LURIC	LURIC	Ludwigshafen Risk and Cardiovascular Health	mint cohort	COHO:0000459	Ludwigshafen Risk and Cardiovascular Health Study	LURIC	Ludwigshafen Risk and Cardiovascular Health|LURIC Health Study|LURIC study	cohort			GCST90012174	PMID:32915819	Investigation of gene-gene interactions in cardiac traits and serum fatty acid levels in the LURIC Health Study.	We performed interaction analyses using the two filtering methods, adjusting for age, sex, body mass index (BMI), waist-hip ratio, and the first three principal components from genetic data, among 2,824 samples from the Ludwigshafen Risk and Cardiovascular (LURIC) Health Study.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7485803/fullTextXML	A prospective cohort of 3,316 patients of German ancestry hospitalised for coronary angiography in Ludwigshafen, Germany, between 1997 and 2000, with and without cardiovascular disease, assembled to investigate genetic and environmental risk factors for cardiovascular diseases.	PMID:32915819	Claude Opus 5.5 (Anthropic), 2026-09	Germany	We thank the LURIC study team who were either temporarily or permanently involved in patient recruitment as well as sample and data handling, in addition to the laboratory staff at the Ludwigshafen General Hospital and the Universities of Freiburg and Ulm, Germany.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10964567/fullTextXML					Definition from PMC7485803 ('The LURIC health study is a prospective cohort study aimed at assessing the genetic and environmental risk factors in cardiovascular diseases for 3,316 Caucasians of German ancestry (2,309 male and 1,007 female) between 1997 and 2000 [9].'), PMC8895756 ('...a prospective cohort study of individuals with and without cardiovascular disease...') and PMC3895004 ('patients of Caucasian origin hospitalized for coronary angiography between June 1997 and May 2001', a different end date from PMC7485803). The location quote is from acknowledgements and does not say outright that recruitment was at Ludwigshafen; the study is named after the city, and ethics approval came from the Medical Association of Rheinland-Pfalz (PMC11935730). 106 GWAS Catalog studies across 14 PMIDs. No COHO match or clash.
DiabHS		The Diabetes Heart Study	mint cohort	COHO:0000460	Diabetes Heart Study	DiabHS|DHS	The Diabetes Heart Study	cohort		COHO:0000054	GCST90244653	PMID:36220816	Whole genome sequence analysis of blood lipid levels in >66,000 individuals.	Diabetes Heart Study (DHS) phs001412 and phs001012;	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9553944/fullTextXML	A family-based cohort of European American and African American siblings concordant for type 2 diabetes, and their unaffected relatives, recruited from internal medicine and endocrinology clinics in western North Carolina, United States, to study genetic and epidemiological contributions to diabetic heart disease and subclinical cardiovascular disease.	PMID:23230101|PMID:21409311	Claude Opus 5.5 (Anthropic), 2026-09	United_States	The Diabetes Heart Study (DHS) is a community-based study of the genetic and epidemiological contributions to diabetic heart disease in which siblings concordant for type 2 diabetes mellitus (T2DM), as well as unaffected family members, were recruited from internal medicine and endocrinology clinics in western North Carolina.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3609509/fullTextXML					"Different cohort from COHO:0000054 Dortmund Health Study: PGS DiabHS is the Wake Forest Diabetes Heart Study (PGS005096, PGP000689 PMID:39483246, CAC GWAS GCST90278455). The cohort's own acronym DHS clashes with COHO:0000054's synonym DHS. Although the input lists no GWAS tags, the tag DiabHS is used on GCST90278455/GCST90278456 (PMID:37770635, the CAC GWAS; not OA, and the BioC text gave no quotable match), so the example is GCST90244653 (PMID:36220816, tagged AA-DHS), whose text names the Diabetes Heart Study. GWAS tag DHS is overloaded: deCODE health study in GCST012442 (PMID:34108613), Diabetes Heart Study in GCST90502911/3/4 (PMID:40216759, DHS mean BMI 33.9). AA-DHS (African American-DHS, a parallel study per PMID:21409311) could be a sub-cohort; not minted here. Follow-up 2026-09-23: PMID:40216759 (PMC11992084, open access; GCST90502911/3/4 tagged DHS) was checked: its text names the cohort only as ""DHS"" (""The mean (SD) of BMI varied by study, ranging from 23.4 (3.1) in GenSALT to 33.9 (7.8) in DHS (Supplementary Data 2), ..."", https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11992084/fullTextXML) and never spells out the Diabetes Heart Study, so the AA-DHS-tagged example (PMID:36220816) is kept. The DHS acronym is shared three ways: COHO:0000054 Dortmund Health Study, this row, and the deCODE Health Study review row."
GPC		Genetics of Personality Consortium	mint aggregation	COHO:0000461	Genetics of Personality Consortium	GPC		cohort aggregation		COHO:0000345		PMID:27089181	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	For neuroticism (N = 170,910), we pooled summary statistics from a published study by the Genetics of Personality Consortium (GPC)4 with results from a new analysis of UKB data.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4884152/fullTextXML	A consortium of about 30 cohorts with genome-wide genotype and personality data, which harmonized personality measures across inventories in more than 63,000 participants for genome-wide association meta-analyses of personality traits such as neuroticism and their relation to major depressive disorder.	PMID:25993607	Claude Opus 5.5 (Anthropic), 2026-09								Different cohort from COHO:0000345 Uganda General Population Cohort, whose synonym GPC clashes with this PGS id. PGS GPC is used only by PGS000767 (PGP000174, PMID:31537779, no GPC mention in its text) through GWAS GCST003770 (UKB + GPC neuroticism, Okbay 2016 PMID:27089181); no GWAS Catalog study is tagged GPC and neither PMID:27089181 nor the GPC neuroticism meta-analysis PMID:25993607 has cohort tags, so no GCST is given. The quote is from PMID:27089181, the paper whose GWAS pooled GPC results. Left unlocated: a multinational consortium (29 discovery cohorts) whose abstract does not name the countries; results are hosted by the Netherlands Twin Register (tweelingenregister.org/GPC).
GRACE		Genetic Risk Assessment for Chinese Eaglet - T1D	mint cohort	COHO:0000462	Genetic Risk Assessment for Chinese Eaglet-T1D	GRACE		cohort		COHO:0000258		PMID:41795035	Development and validation of a trans-ancestry polygenic risk score for type 1 diabetes.	Ncontrols=427,069) and in a Chinese case–control cohort across multiple paediatric centres named Genetic Risk Assessment for Chinese Eaglet-T1D (GRACE, N=597;	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13109230/fullTextXML	A case–control collection of children with type 1 diabetes and controls from multiple paediatric centres in China, used to validate polygenic risk scores for type 1 diabetes in an East Asian population.	PMID:41795035	Claude Opus 5.5 (Anthropic), 2026-09	China	Ncontrols=427,069) and in a Chinese case–control cohort across multiple paediatric centres named Genetic Risk Assessment for Chinese Eaglet-T1D (GRACE, N=597;	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13109230/fullTextXML					"Different cohort from COHO:0000258 Genome Research at Fundació ACE (GR@ACE, Alzheimer disease, Barcelona). The clash is not exact: GRACE differs from GR@ACE, and COHO:0000192 Global Registry of Acute Coronary Events now carries GRACE_Genetics, not GRACE; so the acronym GRACE is not yet used in COHO but is easily confused with both. PGS use: evaluation sample PSS012243 of PGS012555 (PGP000798, PMID:41795035; 596 = 293 cases/303 controls, China). No GWAS Catalog studies; no profile paper found (Europe PMC search for ""Chinese Eaglet"" finds only this paper), so the definition rests on this paper alone; its funding section names the GRACE cohort and Zhejiang University Children's Hospital is among the affiliations, but the paper does not name the centres."
NBS_UK		National Blood Survey cohort	existing	COHO:0000347	UK Blood Service Control Group	NBS_UK|NBS	National Blood Survey cohort	cohort		COHO:0000128		PMID:34184781	Genome-Wide Association Study Identifies Risk Loci for Cluster Headache.	Control genotype data consisted of a cohort of UK individuals without headache (n = 463), the 1958 birth cohort (n = 2,699) from the Wellcome Trust Case Control Consortium (WTCCC), and the National Blood Survey cohort (NBS; n = 2,501).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7619354/fullTextXML											"The PGS Catalog lists NBS_UK with no scores or sample sets (REST cohort endpoint empty; absent from the PGS metadata CSVs), so its use could not be traced there. ""National Blood Survey cohort"" appears to be a misnomer for the WTCCC2 UK National Blood Service controls: the cluster headache GWAS (PMID:34184781; GCST012478, tagged WTCCC/Other/NR) uses it alongside the WTCCC 1958 birth cohort, genotyped on the custom 1.2M Illumina chip, and WTCCC2 papers describe the common controls as ""the 1958 British Birth Cohort (58C) and the National Blood Service collection (UKBS)"" (PMC3459818). Europe PMC finds ""National Blood Survey"" in only two genetics papers (PMID:34184781, PMID:34401672), both using it as UK control data with the 1958 cohort. Add NBS_UK; the ""National Blood Survey cohort"" synonym is optional (it is a misnomer). NBS (the PGS other name ""nbs"") is added as an acronym although it clashes with the synonym NBS of COHO:0000128 Nijmegen Biomedical Study; both terms get an editor note. Aside: PGS sample PSS012277 (PGS012585) tags NBS with country US, which looks wrong for Nijmegen."
LGDB		Latvia COVID-19 research platform	existing	COHO:0000256	Genome Database of Latvian Population		Latvia COVID-19 research platform	cohort				PMID:34668132	Replication of LZTFL1 Gene Region as a Susceptibility Locus for COVID-19 in Latvian Population.	The study included all 475 COVID-19 patients recruited to the Genome Database of Latvian Population (LGDB) (Rovite et al. 2018) from June 2020 to January 2021.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8526276/fullTextXML											"Same resource as COHO:0000256: the PGS record's own short name is LGDB. ""Latvia COVID-19 research platform"" is the name under which the COVID-19 Host Genetics Initiative lists the Latvian contribution (PMC8237048), and the Latvian COVID-19 study it came from recruited its patients into LGDB and drew its controls from LGDB (PMC8526276: ""all 475 COVID-19 patients recruited to the Genome Database of Latvian Population (LGDB)""; ""2217 controls were selected from LGDB""; funded as ""Establishment of COVID-19 related biobank and integrated platform for research data in Latvia""); the long-COVID GWAS (PMC12165857) calls it ""COVID-19 cohort at LGDB (LatviaGDB)"". So it is the COVID-19 arm of LGDB, not a separate collection. A curator could instead mint it as a sub-cohort (isSubCohortOf COHO:0000256); I chose existing because the PGS id is LGDB and it has no PGS scores or sample sets (REST empty; absent from PGS metadata CSVs). Possibly also relevant: GWAS tag LATVIANBIOBANK (19 studies, PMID:41644669, thyroid GBMI-style meta-analysis) may be LGDB too; not checked here."
AMC-PAS		Osteoporosis Clinic of Asan Medical Center	mint cohort	COHO:0000463	Academic Medical Center Amsterdam Premature Atherosclerosis Study	AMC-PAS	Premature Atherosclerosis Study	cohort		COHO:0000322		PMID:28245255	Extending the use of GWAS data by combining data from different genetic platforms.	We included a total of 979 unique patients from the previously described prospective cohort AMC-PAS[6], with symptomatic Coronary Artery Disease (CAD) before the age of 51 years, defined as Myocardial Infarction (MI), coronary revascularization, or evidence of at least 70% stenosis in a major epicardial artery.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5330464/fullTextXML	A prospective cohort of patients of the Academic Medical Center, Amsterdam, with symptomatic coronary artery disease (myocardial infarction, coronary revascularization or at least 70% stenosis of a major epicardial artery) before the age of 51, used in genetic studies of premature atherosclerosis and coronary artery disease.	PMID:28245255	Claude Opus 5.5 (Anthropic), 2026-09	Netherlands	PAS, Premature Atherosclerosis Study—Academic Medical Center—Amsterdam;	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4889017/unicode			Over the last two years pedigree histories have been compiled from the AMC-PAS cohort and so far ten families have been identified with evidence of autosomal inheritance of CVD without any known monogenic causes of CVD.	https://metadata.ega-archive.org/studies/EGAS00001000052	"The evidence supports the Amsterdam reading, not the PGS name: the PGS full name ""Osteoporosis Clinic of Asan Medical Center"" is wrong. All 8 PGS uses (PGS000011/12/18/20/58/349/818/877) are CAD, T2D or insulin-resistance scores built on CARDIoGRAMplusC4D/DIAGRAM-type meta-analyses, and those consortia expand AMC-PAS as ""Academic Medical Center Amsterdam Premature Atherosclerosis Study"" (PMC5525436). COHO:0000322 ""Premature Atherosclerosis Study pedigrees"" is a different, smaller collection: its EGA study (EGAS00001000052) says pedigree histories ""have been compiled from the AMC-PAS cohort"" (ten families). So COHO's synonym AMC-PAS on COHO:0000322 looks wrong: it names the parent cohort. Suggest moving AMC-PAS to this new term and making COHO:0000322 isSubCohortOf it. The alternative is to relabel COHO:0000322 as the whole AMC-PAS cohort. Location comes from the cohort's name (Academic Medical Center, Amsterdam), not from a recruitment statement. No GWAS Catalog tag found (no AMC/PAS tags); the example is a non-PGS paper using the cohort, since the PGS publications' texts gave no quotable AMC-PAS sentence. Follow-up 2026-09-23: the parent quote and URL are for the CHILD link, not a parent of this row: COHO:0000322 (Premature Atherosclerosis Study pedigrees, EGA study EGAS00001000052) is to become isSubCohortOf this new term, and keeps AMC-PAS as its own synonym (the EGA tag); both terms then carry AMC-PAS and each gets an editor note. This supersedes the suggestion above to move the synonym."
BHS_b	BHS	Bogalusa Heart Study	mint cohort	COHO:0000464	Bogalusa Heart Study	BHS_b|BHS		cohort			GCST90014287	PMID:34187551	Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging.	The BHS is a long-term epidemiology study of the natural history of cardiovascular disease from childhood to adulthood in the community of Bogalusa (65% white, 35% African American), Louisiana, the United States	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8243879/supplementaryFiles	A long-term community-based cohort of Black and white children and adolescents in the rural biracial community of Bogalusa, Louisiana, United States, begun in 1972 by an NHLBI-funded research centre to study cardiovascular risk factors from early life and followed into adulthood.	PMID:11876192	Claude Opus 5.5 (Anthropic), 2026-09	United_States	Bogalusa, LA, is a biracial (black/white) rural community 70 miles north of New Orleans, comparable to many other communities in southeastern United States.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A11876192+AND+SRC%3AMED&format=json&resultType=core					"GWAS tag BHS is shared: the 18 GWAS Catalog studies (24 cohort-table lines) of PMID:34187551 are Bogalusa (Additional file 1 of that paper, 13059_2021_2398_MOESM1_ESM.docx in the Europe PMC supplementaryFiles bundle, describes ""Bogalusa Heart Study (BHS)""; the example quote is from that file, the article text does not name the cohort); the 1868 studies of PMID:35668104 and 9 of PMID:36914875 are Busselton. Acronym BHS clashes with review row BHS (Busselton Health Study, not yet in COHO); curator to add editor notes to both. PGS Catalog also lists BHS as another name of Baependi (Baependi Heart Study). No COHO term matches BHS, BHS_b or Bogalusa (coho.sh). PGS BHS_b: 12 evaluation PGS."
	CFS	Cleveland Family Speech and Reading Study	mint cohort	COHO:0000465	Cleveland Family Speech and Reading Study	CFS|CFSRS		cohort			GCST90027030	PMID:34315907	Association between genes regulating neural pathways for quantitative traits of speech and language disorders.	We conducted a GWAS in the Cleveland Family Speech and Reading Study (CFSRS), a cohort ascertained through a proband with SSD, and replicated findings in a population-based cohort.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8316336/fullTextXML	A family-based longitudinal cohort of children with speech sound disorder of unknown cause and their siblings, ascertained through probands referred by speech-language pathologists in the Cleveland area of Ohio, United States, and followed for about 25 years to study long-term speech, language and literacy outcomes and their genetic basis.	PMID:41118674	Claude Opus 5.5 (Anthropic), 2026-09	United_States	Children with a diagnosis of SSD were referred to the study from the clinical caseloads of SLPs in Ohio.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12614917/fullTextXML					The literature (PMID:34315907, the 2025 review PMID:41118674) uses the acronym CFSRS, never CFS; CFS kept only because it is the GWAS tag. GWAS tag CFS misused: only the 16 studies of PMID:34315907 are this cohort; all other CFS-tagged studies (22 other PMIDs) are the Cleveland Family Study (sleep apnoea). Acronym CFS clashes with review row CFS (Cleveland Family Study, not yet in COHO); curator to add editor notes to both. No COHO term matches CFS, CFSRS or Cleveland (coho.sh). Location quote names Ohio (a US state), not the country.
	GENOA	Genetics of Opioid Addiction Consortium	mint aggregation	COHO:0000466	Genetics of Opioid Addiction Consortium	GENOA		cohort aggregation			GCST90244554	PMID:36207451	Multi-trait genome-wide association study of opioid addiction: OPRM1 and beyond.	We applied genomic structural equation modeling to conduct a GWAS of the new Genetics of Opioid Addiction Consortium (GENOA) data together with published studies (Psychiatric Genomics Consortium, Million Veteran Program, and Partners Health), comprising 23,367 cases and effective sample size of 88,114 individuals of European ancestry.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A36207451+AND+SRC%3AMED&format=json&resultType=core	A consortium of investigators attending the National Institute on Drug Abuse Genetics and Epigenetics Cross-cutting Research Team meetings, pooling genome-wide association data on opioid addiction from ten independent cohorts, including Yale-Penn, the Vancouver Injection Drug Users Study, the Urban Health Study, COGA, deCODE and the Comorbidity and Trauma Study, to study the genetics of opioid addiction.	PMID:36207451	Claude Opus 5.5 (Anthropic), 2026-09								"Consortium, not a cohort: ""GENOA is a new consortium comprised of investigators who attend the National Institute on Drug Abuse Genetics and Epigenetics Cross-cutting Research Team Meetings and who have GWAS data on OA (Supplementary Table 1)."" (PMC9546890 full text). Members (Supplementary Table 1 and Supplementary Fig. 9 legend): Yale-Penn-CIDR, Yale-Penn-GO, VIDUS, UHS, Op Dep Bulgaria, Kreek, deCODE, COGA, CaTS2-MOLE, CATS-PERTHUNT, ALIVE, ADAA; the Ontario GENOA study (row 117) is NOT among them. Unlocated: members span the United States, Canada, Iceland, Bulgaria and Australia but no source sentence lists the countries. 4 GWAS Catalog studies (PMID:36207451) tagged GENOA are this consortium. Acronym GENOA clashes with review row GENOA (Genetic Epidemiology Network of Arteriopathy, not yet in COHO) and with row 117 (Ontario Genetics of Opioid Addiction study); curator to add editor notes. No COHO term matches GENOA or opioid (coho.sh)."
	GENOA	GENetics of Opioid Addiction study (Ontario)	mint cohort	COHO:0000467	Genetics of Opioid Addiction Study	GENOA	GENetics of Opioid Addiction|Genetics of Opioid Addiction research collaborative	cohort			GCST90454192	PMID:38102185	A genome-wide association, polygenic risk score and sex study on opioid use disorder treatment outcomes.	Data were collected as part of the GENetics of Opioid Addiction (GENOA) and Pharmacogenetics of Opioid Substitution Treatment Response (POST) programs.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10724251/fullTextXML	A prospective cohort of adults with opioid use disorder receiving treatment at Canadian Addiction Treatment Centre clinics across Ontario, Canada, recruited in 2013–2016 in collaboration with McMaster University to identify factors, including genetic risk factors, associated with opioid use and treatment outcomes.	PMID:38102185	Claude Opus 5.5 (Anthropic), 2026-09	Canada	Briefly, participants (nGENOA = 1536, nPOST = 3319) were recruited from 76 CATC sites across Ontario, Canada (GENOA, 2013–2016, POST, 2018–present).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10724251/fullTextXML					"McMaster/CATC study in Ontario, distinct from the NIDA Genetics of Opioid Addiction Consortium (row 116): it is not in the consortium member list (PMC9546890 Supplementary Table 1), so no parent. POST (PGS cohort POST, Pharmacogenetics of Opioid Substitution Treatment Response) is a separate sister cohort from the same group and clinics, recruited 2018-present with similar methods (""The GENOA and POST studies are prospective cohort studies conducted in collaboration with the Canadian Addiction Treatment Centre (CATC) and McMaster University.""); neither is part of the other. The 4 GWAS Catalog studies of PMID:38102185 are tagged both GENOA and POST and pool 924 GENOA and 1327 POST participants. PMID:28347350 calls it the ""Genetics of Opioid Addiction research collaborative"" (data 2011–2016, so recruitment dates vary by source). Label may need disambiguation from row 116 (e.g. adding ""(Ontario)""). Acronym GENOA clashes with review row GENOA (Genetic Epidemiology Network of Arteriopathy, not yet in COHO) and with row 116; curator to add editor notes. No COHO match (coho.sh)."
	DHS	deCODE Health Study	mint cohort	COHO:0000468	deCODE Health Study	DHS	deCODE health study	cohort		COHO:0000054	GCST012442	PMID:34108613	The genetic architecture of age-related hearing impairment revealed by genome-wide association analysis.	We conducted a GWAS of ARHI in three datasets obtained from the deCODE health study (DHS)24, the National Institute of Hearing and Speech in Iceland (NIHSI) and the UKB (Fig. 1, Supplementary Table 2).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8190123/fullTextXML	A general-population sample of Icelanders, enriched for carriers of rare and potentially high-impact mutations, comprehensively phenotyped by deCODE genetics in Iceland (e.g. audiometry, speech recordings, DXA body composition, plasma proteomics) and combined with the Icelandic genotype and sequence data for genetic association studies.	PMID:34108613|PMID:37294764	Claude Opus 5.5 (Anthropic), 2026-09	Iceland	Speech samples were obtained from 14,144 Icelandic participants as a part of the deCODE Health Study in Iceland, which involves comprehensive phenotyping of a general population sample.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10256171/fullTextXML	deCODE	isSubCohortOf	These phenotypes were collected through the deCODE Health Study and other research projects at deCODE genetics.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10256171/fullTextXML	"GWAS tag DHS: 4 studies over 2 PMIDs, overloaded - deCODE Health Study only in GCST012442 (PMID:34108613; the paper expands DHS as ""deCODE health study""); GCST90502911/3/4 (PMID:40216759) use DHS for the Diabetes Heart Study (review row DiabHS). Acronym DHS kept per the follow-up rule; it clashes with COHO:0000054 Dortmund Health Study (synonym DHS; the PGS Catalog id DHS also means Dortmund) and with review row DiabHS (Diabetes Heart Study, acronym DHS, not yet in COHO) - curator to add editor notes to all three. Parent: review row deCODE (deCODE genetics Icelandic cohort), whose definition already names the deCODE Health Study; the parent quote says DHS is one of the research projects at deCODE genetics through which that Icelandic sample was phenotyped. Definition also draws on PMC10256171 (DXA and speech) and PMC12982484 (""The deCODE Health study conducted proteomic profiling on blood plasma samples from 35,559 Icelanders using the SomaScan platform...""). No dedicated profile paper found (PMID:34108613 cites refs 24/25 for it); recruitment dates not found."
