catalogue id	name	COHO ID	decision	xref	website	note
Personalized Genes and Environment Study/NIEHS	Personalized Genes and Environment Study/NIEHS	COHO:0002686	mint cohort		https://www.niehs.nih.gov/research/clinical/studies/pegs/index.cfm	"IHCC Cohort Atlas entry ""Personalized Genes and Environment Study/NIEHS"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The NIEHS Personalized Environment and Genes Study (PEGS), which began in 2002 as the Environmental Polymorphisms Registry (EPR) and was renamed in 2022 (""The EPR was renamed the Personalized Environment and Genes Study in 2022."", PMC13216552); participants are recruited at NIEHS's Clinical Research Unit and community sites in North Carolina. The atlas swaps the words (""Personalized Genes and Environment Study""); the study's own name is ""Personalized Environment and Genes Study"". Not in COHO under PEGS, EPR or either name; the resembling COHO names are unrelated. The country quote names North Carolina, a US state. The atlas's enrolment period ""2013:2013"" does not match the papers (registry from 2002, enrolment ongoing); the definition follows the paper. EPR as an acronym is a former name; no COHO term uses EPR or PEGS."
Sequence Bio	Sequence Bio	COHO:0002687	mint cohort		https://www.sequencebio.com/	"IHCC Cohort Atlas entry ""Sequence Bio"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry names the company, Sequence Bio (Sequence Bioinformatics Inc., St. John's), not a cohort; its general population cohort, recruiting since 2019 (atlas), is the Newfoundland and Labrador Genome Project, which PMID:37117635 calls 'a general population cohort focused on the characterization of Newfoundland and Labrador's population (Sequence Bio Inc., 2021)'. Not in COHO (no NLGP, NL Genome or Newfoundland genome term; COHO:0000601 Newfoundland Colorectal Cancer Registry is unrelated). The company also runs later disease-specific family studies (inherited disease, familial ovarian cancer, MS, IPF) listed on its website; those are not this entry. 'Sequence Bio' is the company's name, so I did not add it as a synonym; add it only if the curator wants the atlas's tag kept. The recruitment start 2019 is from the atlas only; the definition's quote for recruitment: 'The NL Genome Project was based on the random recruitment of participants from General Practice clinics from across the province that were 18 years of age and over, possessed a valid NL health card, and provided written consent.'."
All of Us / NIH	All of Us / NIH	COHO:0000423	existing		https://allofus.nih.gov/	"IHCC Cohort Atlas entry ""All of Us / NIH"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The NIH All of Us Research Program, already COHO:0000423 (label All of Us Research Program, synonyms All of Us and NIH All of Us Research Program). The atlas's id 'All of Us / NIH' is the only name the term lacks; it is the catalogue's tag, given as an acronym per the catalogue-id convention (drop it if the curator treats it as a mere variant). The atlas's lead investigator and website confirm the identity."
UKCTOCS Longitudinal Women's Cohort (UKLWC)	UKCTOCS Longitudinal Women's Cohort (UKLWC)	COHO:0002688	mint cohort		https://directory.biobankinguk.org/Profile/Biobank/GBR-1-123	"IHCC Cohort Atlas entry ""UKCTOCS Longitudinal Women's Cohort (UKLWC)"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The UKLWC is the bioresource of the women of the UKCTOCS ovarian cancer screening trial: the UCL ICTU page says 'UKLWC is the bioresource created during the course of the United Kingdom Collaborative Trial of Ovarian Cancer Screening (UKCTOCS) as a result of participants (202,280 postmenopausal women from the general population in England, Wales and Northern Ireland) donating their samples and data for use in secondary studies.' The trial randomised 202,638 women; the UKLWC is the 202,280 who donated, so the trial and the UKLWC are the same people bar withdrawals, and neither is in COHO (no UKCTOCS, UKLWC or ovarian screening trial term). I propose one term, labelled with the entry's own name, carrying the trial's name and acronym as synonyms, since papers name it as UKCTOCS; a curator who prefers two terms would mint UKCTOCS and make the UKLWC isSubCohortOf it. The atlas's separate entry 'UCL, UK' (same lead investigator, enrolment 2001–2005, 202,638) is this same cohort."
South(east) Asian Cohorts	South(east) Asian Cohorts		unresolved		https://www.phpc.cam.ac.uk/ceu	"IHCC Cohort Atlas entry ""South(east) Asian Cohorts"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is a collective label ('South(east) Asian Cohorts', plural; region 'Southeastern Asia'; website the Cambridge Cardiovascular Epidemiology Unit (CEU); enrolment from 2010, 80,000 of a target 120,000), not the name of a cohort, and no source I found defines it. The CEU's South Asian studies are the Bangladesh Risk of Acute Vascular Events Study (BRAVE, established 2011; COHO:0001546), the Pakistan Risk Of Myocardial Infarction Study (PROMIS; COHO:0000169) and the BangladEsh Longitudinal Investigation of Emerging Vascular Events (BELIEVE, launched 2016, about 74,000 participants per the CEU Global Health page; not in COHO). The numbers fit BRAVE plus BELIEVE, which would make this an umbrella of CEU cohorts, but nothing says so, and the start year 2010 and 'Southeastern Asia' fit neither exactly. Not minted as an aggregation for want of a source naming it and its members; BELIEVE (https://www.phpc.cam.ac.uk/research/departmental-research-units/ceu/global-health, cohort profile PMC11784369) is a candidate new cohort in its own right. The automatic 'exact' match to COHO:0001477 (Early Treatment of Atrial Fibrillation for Stroke Prevention Trial) is spurious (it matched the '(east)' in the name to that trial's acronym EAST)."
International Laboratory for Human Genome Research	International Laboratory for Human Genome Research		not a cohort			"IHCC Cohort Atlas entry ""International Laboratory for Human Genome Research"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The entry names an institute, the International Laboratory for Human Genome Research (Laboratorio Internacional de Investigación sobre el Genoma Humano, LIIGH) of UNAM in Mexico, not a cohort, and the atlas gives no description; only a small collection (200 enrolled since 2022, target 2,000). The lead investigator's lab studies rare and undiagnosed genetic disease in Mexican patients and families and set up the Mexican Rare Diseases Network (ReMexER), 'A collaborative of clinicians and researchers tending to patients with rare diseases in Mexico' (https://liigh.unam.mx/cgonzagaj/index.php/projects/); the collection is probably the lab's rare-disease patient series through that network, but no source I found names it or describes its participants, so there is nothing to mint. If the curator can get the cohort's name from IHCC, re-check it. No COHO term matches (the resembling names are unrelated)."
NHSII (Nurses' Health Study II, NCI)	NHSII (Nurses' Health Study II, NCI)	COHO:0000619	existing		https://www.nurseshealthstudy.org	"IHCC Cohort Atlas entry ""NHSII (Nurses' Health Study II, NCI)"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
KEMRI-Wellcome	KEMRI-Wellcome	COHO:0002689	mint cohort		https://www.kemri-wellcome.org/	"IHCC Cohort Atlas entry ""KEMRI-Wellcome"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The entry names the institution, the KEMRI-Wellcome Trust Research Programme in Kilifi, Kenya, not a cohort; the atlas gives no description, but its population of 300,000 under the programme's director fits the programme's population cohort, the Kilifi Health and Demographic Surveillance System ('The KHDSS has 260 000 residents' in 2012, PMID:22544844), which the profile says 'is nested in the KEMRI-Wellcome Trust Research Programme in Kilifi'. The atlas's start year 2003 does not match (census September 2000 to October 2001; pregnancy surveillance from March 2003), so the identification rests on the population size and host, not on an explicit statement; the curator may want IHCC to confirm. An HDSS population is modelled as a cohort in COHO (compare COHO:0000912, Agincourt HDSS). Not in COHO: no Kilifi, KHDSS or KEMRI term. 'KEMRI-Wellcome' is an institution's name and is not proposed as a synonym."
Johns Hopkins University	Johns Hopkins University		unresolved			"IHCC Cohort Atlas entry ""Johns Hopkins University"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The entry names an institution, Johns Hopkins University, with the country South Korea, enrolment from 2002 and 800,000 participants; the atlas gives no description. The Korean cohort that Johns Hopkins investigators, including this lead investigator, analyse is the Kangbuk Samsung Health Study (15 open-access KSHS papers co-authored by the lead investigator), and its start (health examinations from 2002) fits; I did not verify its size against the atlas's 800,000. This identification rests on those facts, not on a statement naming the atlas entry; the Korean Cancer Prevention Study-II Biobank (COHO:0000486), recruited in 2004–2013 per its COHO definition, fits the start year less well. KSHS is not in COHO (no Kangbuk or KSHS term). 'Johns Hopkins University' is an institution's name and is not proposed as a synonym. Not minted on 2026-09-25: the identification as the Kangbuk Samsung Health Study rests on the lead investigator, the country and the year; no source names the entry; the record above is kept."
Cancer Prevention Study II Nutrition Cohort	Cancer Prevention Study II Nutrition Cohort	COHO:0002690	mint cohort		https://www.cancer.org/research/population-science/cancer-prevention-and-survivorship-research-team/acs-cancer-prevention-studies/cancer-prevention-study-2.html	"IHCC Cohort Atlas entry ""Cancer Prevention Study II Nutrition Cohort"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Nutrition Cohort is the part of Cancer Prevention Study II (COHO:0000024, enrolled 1982) that the American Cancer Society re-enrolled for incident cancer follow-up in 1992–1993; the design paper's abstract: 'The Cancer Prevention Study II Nutrition Cohort was established in 1992 and was designed to investigate the relation between diet and other lifestyle factors and exposures and the risk of cancer, mortality, and survival.' It is a separately recruited phase of CPS-II, so a new cohort isSubCohortOf COHO:0000024. COHO:0000024 already carries the catalogue synonym 'Cancer Prevention Study II (including the Nutrition cohort)'; that stays on the parent, but the curator may want to review which of the parent's example studies used Nutrition Cohort samples only (not done here). No acronym of its own was found; the atlas's name is the label."
UCL, UK	UCL, UK	COHO:0002688	same as			"IHCC Cohort Atlas entry ""UCL, UK"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. A duplicate atlas entry for the UKCTOCS Longitudinal Women's Cohort, proposed as a new cohort in this batch: same lead investigator, enrolment 2001–2005 and 202,638 participants, which is the number of women randomised in UKCTOCS ('In this trial 202,638 postmenopausal women aged 50 and above were recruited through thirteen UK centres between 2001 and 2005.', PMID:40067807). It is the same people, not a separate cohort, so nothing new is minted; coho_id is empty because that term does not exist yet, and it becomes that term's id once minted. 'UCL, UK' names University College London, not the cohort, so it is not proposed as a synonym."
Taiwan Biobank	Taiwan Biobank	COHO:0000436	existing		https://www.twbiobank.org.tw/new_web/	"IHCC Cohort Atlas entry ""Taiwan Biobank"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
AWI-Gen, University of the Witwatersrand, Johannesburg	AWI-Gen, University of the Witwatersrand, Johannesburg	COHO:0000006	existing		https://www.wits.ac.za/research/sbimb/research/	"IHCC Cohort Atlas entry ""AWI-Gen, University of the Witwatersrand, Johannesburg"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Africa Wits-INDEPTH partnership for Genomics studies, already COHO:0000006 (acronym AWI-Gen; countries Burkina Faso, Ghana, Kenya, South Africa, as in the atlas; established 2012, as the atlas's enrolment period). The atlas's id, which names the cohort's acronym and its host, is given as a catalogue tag (drop it if the curator prefers not to keep institution-bearing tags). The term also lacks the name as its own example paper spells it: 'The Africa Wits-INDEPTH Partnership for Genomic Studies cohort (AWI-Gen) was developed to examine genetic and environmental contributions to cardiometabolic diseases in Africans.' (https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844072/fullTextXML)."
California Teachers Study (CTS)	California Teachers Study (CTS)	COHO:0001636	existing		https://www.calteachersstudy.org/	"IHCC Cohort Atlas entry ""California Teachers Study (CTS)"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is the California Teachers Study (website calteachersstudy.org, City of Hope), which COHO already has as COHO:0001636 ""California Teachers Study"" with acronym CTS. That term is still an uncurated placeholder (no definition, example or location), so the atlas cross-reference lands on a placeholder; the atlas adds only its parenthesised form of the name."
Environmental influences on Child Health Outcomes (ECHO) Cohort	Environmental influences on Child Health Outcomes (ECHO) Cohort	COHO:0002691	mint aggregation		http://www.echochildren.org/	"IHCC Cohort Atlas entry ""Environmental influences on Child Health Outcomes (ECHO) Cohort"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The ECHO Cohort (called the ECHO-Wide Cohort Study in its design paper, PMID:36963379) is not one recruited sample: the paper says it is ""a collaborative research design comprising 69 cohorts in 31 consortia"" that the NIH chose from existing studies and that now collect data under a common protocol, so it is a cohort aggregation. Member quotes are cells of Web Table 1 (""Summary of cohort sites participating in the Environmental influences on Child Health Outcomes-wide Cohort Study"") in the supplement zip; the four listed are the members COHO already has (Project Viva, New Hampshire Birth Cohort Study, ELGAN, Children's Health Study). Others in the table that COHO lacks include CANDLE, MADRES, VDAART, URECA, COAST, MARBLES, EARLI, IBIS, Healthy Start, PROTECT, Navajo Birth Cohort Study, CCCEH, PRISM and ACCESS; Kaiser Permanente Research Bank (COHO:0000541) and nuMoM2b (COHO:0000877) appear only as a prenatal subset and a Utah site, so they are not listed as members. The atlas's 1980 start year reflects the legacy cohorts' extant data. Puerto_Rico is a US territory named separately in the source."
Multiethnic Cohort Study	Multiethnic Cohort Study	COHO:0000121	existing		https://www.uhcancercenter.org/mec	"IHCC Cohort Atlas entry ""Multiethnic Cohort Study"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website uhcancercenter.org/mec, enrolment 1993-1996, about 215,000 people) is the Hawaiʻi-Los Angeles Multiethnic Cohort, COHO:0000121 ""Multiethnic Cohort Study of Diet and Health"" (acronym MEC), not the exact-name match COHO:0000612 Singapore Multi-Ethnic Cohort. COHO:0000612 carries the synonym ""Multi-Ethnic Cohort Study"", which is really this cohort's name (it differs from the atlas name only in the hyphen and capitals); the curator may want to check whether that synonym belongs on COHO:0000612 or needs an editor note on both terms like the one they already share for MEC."
Healthy Nevada	Healthy Nevada	COHO:0001869	existing		https://Healthynv.org	"IHCC Cohort Atlas entry ""Healthy Nevada"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website healthynv.org, Renown Health and the Desert Research Institute, population genomics study from 2018) is the Healthy Nevada Project, already in COHO as COHO:0001869 ""Healthy Nevada Project"" (acronym HNP). That term is still an uncurated placeholder. COHO:0000828 (Helix Exome+ and Healthy Nevada Project COVID-19 Phenotypes) is a sub-study of it, not the same people."
Nurses' Health Study	Nurses' Health Study	COHO:0000456	existing		https://www.nurseshealthstudy.org	"IHCC Cohort Atlas entry ""Nurses' Health Study"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Kaiser Permanente Research Bank (KPRB)	Kaiser Permanente Research Bank (KPRB)	COHO:0000541	existing		https://researchbank.kaiserpermanente.org/	"IHCC Cohort Atlas entry ""Kaiser Permanente Research Bank (KPRB)"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study	JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study	COHO:0002692	mint cohort		http://epi.ncc.go.jp/en/jphc/	"IHCC Cohort Atlas entry ""JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry names two cohorts run by the same group at the National Cancer Center Japan: the original JPHC Study (1990 and 1993 cohorts), which COHO already has as COHO:0000783, and JPHC-NEXT, a separately recruited population-based cohort ""launched in 2011"" with a baseline survey ""From 2011 through 2016"" (PMID:30713262), which COHO lacks. The atlas's figures (enrolment to 2016, 115,000 people; the design paper reports 115,385) and its lead investigator (first author of the JPHC-NEXT design paper) describe JPHC-NEXT, so the entry is treated as JPHC-NEXT and a new term is proposed for it. It is not a sub-cohort of JPHC (new recruitment in partly different areas), so no parent is given. Two things for the curator: the atlas cross-reference should also go on COHO:0000783, and the parenthesised fragment ""Japan Public Health Center-based Prospective"" that the review script extracts from the atlas name is JPHC's name and should not become a synonym of the new JPHC-NEXT term (the whole atlas name, a catalogue tag, may stay)."
JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study	JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study	COHO:0000783	existing		http://epi.ncc.go.jp/en/jphc/	"IHCC Cohort Atlas entry ""JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study"" (https://atlas.ihccglobal.org/) names two cohorts, so it has two rows: this one is the original JPHC Study, which COHO already had as COHO:0000783; the other is JPHC-NEXT (COHO:0002692), minted from the entry on 2026-09-25. Both are members of the consortium."
Qatar Biobank Cohort	Qatar Biobank Cohort	COHO:0000469	existing		https://www.qatarbiobank.org.qa	"IHCC Cohort Atlas entry ""Qatar Biobank Cohort"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website qatarbiobank.org.qa, enrolment from 2013) is the Qatar Biobank, COHO:0000469 (acronym QBB). The Qatar Genome Program (COHO:0000394) is already recorded as a sub-cohort of it; nothing else to add beyond the atlas's form of the name."
China PEACE (Patient-centered Evaluative Assessment of Cardiac Events) Million Persons Project	China PEACE (Patient-centered Evaluative Assessment of Cardiac Events) Million Persons Project	COHO:0002693	mint cohort			"IHCC Cohort Atlas entry ""China PEACE (Patient-centered Evaluative Assessment of Cardiac Events) Million Persons Project"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. A defined, consented population sample (the protocol calls it ""a voluntary national research cohort""), screened from 2014 with follow-up of high-risk participants, so a cohort. COHO has no term for it; COHO:0000319 (PEACE, a UK autopsy study) and COHO:0001355 (H-PEACE, Korea) are unrelated. The pilot protocol gives ages 40-75 in four provinces (Jilin, Liaoning, Zhejiang, Guangxi); the national project described in PMID:33038086 enrolled ages 35-75 in all 31 provinces, which the definition follows. The acronym MPP (""Million Persons Project (MPP)"" in the protocol) is also an acronym of the Malmö Preventive Project (COHO:0000787), so both terms need the shared-acronym editor note. The project is later reported under the name ChinaHEART, which I did not verify in a source I read, so it is not given as a synonym. The atlas's website field gives a paper (https://pubmed.ncbi.nlm.nih.gov/26729395/), not a site, so it is not recorded."
Million Veteran Program	Million Veteran Program	COHO:0000371	existing		https://www.mvp.va.gov/webapp/mvp-web-participant/#/public	"IHCC Cohort Atlas entry ""Million Veteran Program"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Norwegian Mother and Child Cohort Study (MoBa)	Norwegian Mother and Child Cohort Study (MoBa)	COHO:0000131	existing		https://www.fhi.no/en/studies/moba/	"IHCC Cohort Atlas entry ""Norwegian Mother and Child Cohort Study (MoBa)"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Geisinger Cohort - MyCode Community Health Initiative	Geisinger Cohort - MyCode Community Health Initiative	COHO:0000448	existing		https://www.geisinger.org/mycode	"IHCC Cohort Atlas entry ""Geisinger Cohort - MyCode Community Health Initiative"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website geisinger.org/mycode, enrolment from 2007) is Geisinger's MyCode Community Health Initiative, COHO:0000448 (acronym MyCode; synonyms Geisinger MyCode and others). The DiscovEHR study (COHO:0000776) is already recorded as its sub-cohort. Only the atlas's form of the name is new."
Pakistan Genomic Resource (PGR)	Pakistan Genomic Resource (PGR)	COHO:0000843	existing		https://www.cncdpk.com/	"IHCC Cohort Atlas entry ""Pakistan Genomic Resource (PGR)"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Canadian Partnership for Tomorrow's Health	Canadian Partnership for Tomorrow's Health	COHO:0000860	existing		https://canpath.ca/	"IHCC Cohort Atlas entry ""Canadian Partnership for Tomorrow's Health"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Korean Genome and Epidemiology Study (KoGES)	Korean Genome and Epidemiology Study (KoGES)	COHO:0000411	existing		http://www.cdc.go.kr/contents.es?mid=a50401010100	"IHCC Cohort Atlas entry ""Korean Genome and Epidemiology Study (KoGES)"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Africa Health Research Institute (AHRI) Population Cohort	Africa Health Research Institute (AHRI) Population Cohort	COHO:0002694	mint cohort		https://www.ahri.org	"IHCC Cohort Atlas entry ""Africa Health Research Institute (AHRI) Population Cohort"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is AHRI's population surveillance cohort in uMkhanyakude district, KwaZulu-Natal: begun in 2000 as the Africa Centre Demographic Information System (ACDIS) and, per the 2021 cohort profile update, ""In 2017, the cohort was expanded and renamed the Population Intervention Platform (PIP)."" The atlas's enrolment start (2000) matches. COHO has no term for it under any of these names. I used ACDIS as the label because both cohort profiles and most papers use it; the curator may prefer the current name, Population Intervention Platform. The same paper calls PIP both ""Platform"" and ""Programme"", so both are synonyms. AHRI is the institute's acronym, kept because the atlas tags the cohort with it. Nested studies such as Vukuzazi (PMID:34849923) are separate cohort profiles and not handled here. The original 2008 cohort profile (PMID:17998242) was not read; the definition rests on the 2021 update alone."
National Biobank of Korea	National Biobank of Korea	COHO:0000926	existing			"IHCC Cohort Atlas entry ""National Biobank of Korea"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
LifeGene	LifeGene	COHO:0002695	mint cohort		https://lifegene.se/For-scientists/About-LifeGene/	"IHCC Cohort Atlas entry ""LifeGene"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. LifeGene is a Swedish population-based cohort and biobank led from Karolinska Institutet (the atlas's website lifegene.se; enrolment 2009-2016). COHO has no term for it under any name. The design paper planned 500,000 participants across Sweden; the cohort as recruited (2009-2016) is mainly from Stockholm, which the definition follows. Its name has no acronym."
Shanghai Men and Women's Health Studies	Shanghai Men and Women's Health Studies	COHO:0001408	existing		https://swhs-smhs.app.vumc.org/	"IHCC Cohort Atlas entry ""Shanghai Men and Women's Health Studies"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website swhs-smhs.app.vumc.org, lead Wei Zheng, 136,000 enrolled from 1997) is the two Vanderbilt/Shanghai cohorts together, i.e. the existing aggregation COHO:0001408 'Shanghai Women's and Men's Health Studies' (members Shanghai Women's Health Study COHO:0000553 and Shanghai Men's Health Study COHO:0000578). Add the atlas name and the variant 'Shanghai Men and Women's Health Study' as synonyms, and the acronym SWMHS, which the IHCC BMI PRS paper (PMID:37337639, table 3 column header 'SWMHS (N = 3986)') uses for the pooled studies; no other COHO term carries SWMHS."
MAUCO	MAUCO	COHO:0002655	existing		https://www.mauco.org/	"IHCC Cohort Atlas entry ""MAUCO"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
BGI Research	BGI Research		not a cohort		https://en.genomics.cn/	"IHCC Cohort Atlas entry ""BGI Research"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is BGI Research, the research arm of the genomics company BGI (website en.genomics.cn, lead Xun Xu), with enrolment 2015 onwards, 10,000 enrolled and 500,000 targeted, and no description naming a cohort. As listed it is an institution with an unnamed sample, so not a cohort. The most likely underlying cohort is the BGI-run 4D-SZ multi-omics cohort of Shenzhen volunteers, already in COHO as COHO:0001140 ('some volunteers providing samples from as early as 2015', PMID:34873157), but no source I found ties the atlas entry to 4D-SZ, and BGI also runs other population projects (e.g. its million Chinese genomes work), so I have not asserted a match. If the IHCC 2020 supplement names the cohort, map it then. Could not read: PMID:33103095 supplementary cohort table (requested), in case it names the BGI cohort."
Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial	Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial	COHO:0000485	existing		https://biometry.nci.nih.gov/cdas/studies/plco/	"IHCC Cohort Atlas entry ""Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
China Kadoorie Biobank	China Kadoorie Biobank	COHO:0000422	existing		http://www.ckbiobank.org/site/	"IHCC Cohort Atlas entry ""China Kadoorie Biobank"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
CONSTANCES	CONSTANCES	COHO:0002624	existing		http://www.constances.fr/index_EN.php	"IHCC Cohort Atlas entry ""CONSTANCES"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Qatar Genome Project	Qatar Genome Project	COHO:0000394	existing			"IHCC Cohort Atlas entry ""Qatar Genome Project"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
SIMPLER	SIMPLER	COHO:0000390	existing		https://www.simpler4health.se/	"IHCC Cohort Atlas entry ""SIMPLER"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
SG100K	SG100K	COHO:0002696	mint aggregation		https://www.npm.sg/collaborate/partners/sg100k/	"IHCC Cohort Atlas entry ""SG100K"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas's SG100K (lead John Chambers, the HELIOS PI; 60,000 enrolled of 100,000 targeted; website npm.sg SG100K page, now a 404) is the SG100K cohort of Singapore's National Precision Medicine programme phase II. PRECISE describes it as 'Funded by an NMRC OF-LCG grant that brought together four longitudinal cohorts in Singapore, the SG100K cohort is an Investigator-Initiated Study focused on determinants and prediction of cardiovascular disease and diabetes in Asian populations.' Because it is made of four distinct, separately run cohorts, I have typed it a cohort aggregation. Members in COHO: HELIOS (COHO:0000426) and SEED (COHO:0000763); the other two, 'Singapore Population Health Studies (SPHS), NUS' and 'SingHeart, NHCS' (same page), have no COHO term. (SPHS includes the Singapore Multi-Ethnic Cohort, COHO:0000612, but the page does not say so, so I have not linked it.) SG100K is distinct from the phase I SG10K_Health / SG10K Pilot (COHO:0000332). No paper analysing the full SG100K dataset turned up in Europe PMC (its first release was due in 2026); the example is the HELIOS design paper, whose supplement analyses HELIOS data labelled SG100K. If the curator would rather treat SG100K as one cohort with the four as sub-cohorts, the same members apply with isSubCohortOf. Could not read: PMID:42527559, PMID:36658435."
23andMe	23andMe	COHO:0000449	existing		https://research.23andme.com/	"IHCC Cohort Atlas entry ""23andMe"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
National Autonomous University of Mexico	National Autonomous University of Mexico	COHO:0000520	existing		https://www.ctsu.ox.ac.uk/research/prospective-blood-based-study-of-150-000-individuals-in-mexico	"IHCC Cohort Atlas entry ""National Autonomous University of Mexico"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas lists the institution, the National Autonomous University of Mexico (UNAM), but every other field is the Mexico City Prospective Study: the website is the Oxford CTSU page 'prospective blood-based study of 150,000 individuals in Mexico', the lead is an Oxford MCPS investigator, enrolment 1998-2004 and 150,000 participants. PMID:37308787 says 'The MCPS is a large prospective cohort of 150,000 individuals recruited between 1998 and 2004' and 'The MCPS represents a long-standing collaboration between researchers at the UNAM and the University of Oxford.' So it is COHO:0000520 (Mexico City Prospective Study, MCPS). The atlas name is an institution, not a name of the cohort, so I propose no synonym; a cross-reference to the atlas entry is enough."
Generations Study	Generations Study	COHO:0000942	existing		http://www.breakthroughgenerations.org.uk/home	"IHCC Cohort Atlas entry ""Generations Study"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
SAPRIN (South African Population Research Infrastructure Network)	SAPRIN (South African Population Research Infrastructure Network)	COHO:0002697	mint aggregation		http://saprin.mrc.ac.za/	"IHCC Cohort Atlas entry ""SAPRIN (South African Population Research Infrastructure Network)"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. SAPRIN is a network of separately run health and demographic surveillance systems, which the cohort profile calls 'a harmonized network of population-based cohorts', so it is a cohort aggregation. The atlas enrolment start of 1992 is the Agincourt HDSS start. Member in COHO: Agincourt HDSS (COHO:0000912). The other founding nodes, the AHRI HDSS (formerly the Africa Centre Demographic Information System, KwaZulu-Natal) and the DIMAMO HDSS (formerly Dikgale HDSS, Limpopo), and the newer urban nodes (GRT-INSPIRED, C-SHARP, USINGA, and BAMMISHO) have no COHO terms; the founding nodes could be minted as members, both named in the cohort profile ('The three HDSS founding nodes are hosted by the Medical Research Council/Wits Rural Public Health and Health Transitions Research Unit (Agincourt) in Mpumalanga province, the University of Limpopo (DIMAMO) in Limpopo province and the Africa Health Research Institute (AHRI) in KwaZulu-Natal.'). The cohort profile was read from Europe PMC directly because it was not in the cache; I have requested it."
