catalogue id	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
WDC	Wearable data collection study	mint cohort	COHO:0002615	Wearable data collection study	WDC	Monitoring exposures during pregnancy with a wearable device|HEAP wearable sensor cohort|WDC	cohort				PMID:34909561		Some of the pregnant women in the HPV vaccination Cohort (~100 pregnant women) will be followed using an innovative wearable exposure sensors system for the monitoring of multiple exposures and health measurements, to investigate how the exposome influences the health of the mother and the baby.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8663864/fullTextXML	A longitudinal cohort of healthy pregnant and non-pregnant women in Finland, enrolled by the University of Oulu from 2022 within the EU Human Exposome Assessment Platform (HEAP) project and followed for at least four months with wearable personal exposome monitors and repeated biological sampling (blood, saliva, sweat, urine), to pilot personal profiling of chemical and biological exposures.	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/WDC|https://api.datacite.org/dois/10.5281/zenodo.10707225|PMID:34909561	Claude Opus 5.5 (Anthropic), 2026-09	Finland	This improved PEM will be used for longitudinal monitoring of pregnant women from the Finnish Maternity Cohort (FMC), which collects data and samples from all pregnant women in Finland.	https://api.datacite.org/dois/10.5281/zenodo.7499101					Global Exposome Cohort Catalogue entry WDC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/WDC), checked against its sources on 2026-09-25. The HEAP wearable-sensor pilot: D5.4 says 'The wearablesensor cohort in HEAP consists of healthy pregnant and non-pregnant women (N=100)followed up for at least four months' (DataCite text, spaces missing as fetched), under a University of Oulu protocol titled 'Monitoring exposures during pregnancy with a wearable device', with monitoring due to finish in February 2024 (the catalogue gives 2022–2022). The example is the design paper describing the planned study, not a results paper, and it does not use the name WDC; no results paper was found. Parent left empty because the sources disagree: the design paper plans to draw the women from the Finnish HPV vaccination trial cohort, D5.1 from the Finnish Maternity Cohort (MAT, this check), and D5.4 includes non-pregnant women. zenodo.org and heap-exposome.eu (now a hijacked domain) could not be read directly. Could not read: a paper reporting results from the wearable cohort (none found in Europe PMC).
GenR	The Generation R Study	existing	COHO:0000446		GenR	The Generation R Study																			Global Exposome Cohort Catalogue entry GenR (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/GenR), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
BAMSE	BAMSE	existing	COHO:0000037		BAMSE	BAMSE																			Global Exposome Cohort Catalogue entry BAMSE (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/BAMSE), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
ABCD	The Amsterdam Born Children and their Development Study	existing	COHO:0001451		ABCD	The Amsterdam Born Children and their Development Study																			Global Exposome Cohort Catalogue entry ABCD (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/ABCD), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
Airwave	Airwave	existing	COHO:0000521		Airwave|AIRWAVE	Airwave																			Global Exposome Cohort Catalogue entry Airwave (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/Airwave), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
KARDIOVIZE	KARDIOVIZE	mint cohort	COHO:0002616	Kardiovize Brno 2030	KARDIOVIZE	Kardiovize|Kardiovize Brno 2030 study|Kardiovize study|Kardiovize Brno 2030 Project|Kardiovize Brno cohort|KARDIOVIZE	cohort				PMID:30011827		To explore the complex association of biological, environmental and behavioral risk factors with cardiovascular diseases (CVD), we recently designed the Kardiovize Brno 2030 study, which recruited a randomly-selected sample of residents in an urban population of Brno, Czech Republic [17].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6073665/fullTextXML	A prospective population-based cohort of a random, sex- and age-stratified 1% sample of residents of Brno, Czech Republic, aged 25–64 years, drawn from health insurance registries in 2013 and examined at St Anne's University Hospital in Brno, to study how biological, psychosocial, environmental, behavioural and economic factors relate to cardiovascular disease and its outcomes in a Central European urban population.	PMID:28812915|PMID:34631132	Claude Opus 5.5 (Anthropic), 2026-09	Czech_Republic	In this cross-sectional study, we used data from the Kardiovize Brno 2030 cohort which included a random sample of residents from the city of Brno, Czech Republic [17].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6073665/fullTextXML					Global Exposome Cohort Catalogue entry KARDIOVIZE (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/KARDIOVIZE), checked against its sources on 2026-09-25. The catalogue gives only 'KARDIOVIZE'; it is the Kardiovize Brno 2030 cohort of St Anne's University Hospital, Brno, whose papers call it the Kardiovize Brno 2030 study/project or the Kardiovize study. Not in COHO. It copied the sampling design of the Czech post-MONICA study (COHO:0001642) ('Similar to the post‐Monica study, Kardiovize targeted 1% of the adult urban population between 25 and 64 years old.', PMC8488447) but is a separate sample, so no parent. The catalogue id is kept as an acronym alongside the case variant 'Kardiovize'. Could not read: PMID:28812915 full text (design paper; abstract suffices).
GCAT	GCAT	existing	COHO:0000074		GCAT	GCAT																			Global Exposome Cohort Catalogue entry GCAT (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/GCAT), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
SAPALDIA	SAPALDIA	existing	COHO:0000589		SAPALDIA	SAPALDIA																			Global Exposome Cohort Catalogue entry SAPALDIA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/SAPALDIA), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
BCS 1970	1970 British Cohort Study	mint cohort	COHO:0002617	1970 British Cohort Study	BCS70|BCS 1970	British Births Survey|1970 British birth cohort	cohort				PMID:42528938		This research was conducted using data from the 1970 British Cohort Study (BCS70).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13415302/fullTextXML	A longitudinal birth cohort of the people born in England, Scotland and Wales in a single week of 1970, which began as the British Births Survey and has followed its members' health, physical, educational and social development and economic circumstances through childhood and adult life; it is managed by the Centre for Longitudinal Studies at University College London and core funded by the Economic and Social Research Council.	PMID:35849349|https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/BCS%201970	Claude Opus 5.5 (Anthropic), 2026-09	United_Kingdom	The 1970 British Cohort Study (BCS70) is an ongoing, multidisciplinary, longitudinal study of a cohort of over 17 000 births in England, Scotland and Wales.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10244059/fullTextXML					Global Exposome Cohort Catalogue entry BCS 1970 (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/BCS%201970), checked against its sources on 2026-09-25. The 1970 British Cohort Study; surprisingly not yet in COHO (only the 1958 British Birth Cohort, COHO:0000207, and the 1946 NSHD, COHO:0001026, are). The catalogue id 'BCS 1970' is kept as an acronym with BCS70. 'British Births Survey' is the name of its 1970 birth sweep ('BCS70 began as the British Births Survey', PMC10244059); '1970 British birth cohort' appears in paper titles (e.g. PMID:41888672, title only). Northern Ireland births were in the birth survey but dropped afterwards, so the country is United Kingdom.
DCS	Doetinchem Cohort Studie	existing	COHO:0000906		DCS|Doetinchem Cohort Studie	Doetinchem Cohort Studie																			Global Exposome Cohort Catalogue entry DCS (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DCS), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
EPIC-EUROPE	EPIC-EUROPE	existing	COHO:0000065		EPIC-EUROPE	European Prospective Investigation into Cancer and Nutrition|EPIC-EUROPE																			Global Exposome Cohort Catalogue entry EPIC-EUROPE (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/EPIC-EUROPE), checked against its sources on 2026-09-25. The catalogue gives only 'EPIC-EUROPE' with type 'Cohort study': the pan-European EPIC cohort (as opposed to its national parts), i.e. COHO:0000065 'European Prospective Investigation into Cancer'. Add the catalogue id EPIC-EUROPE as an acronym. The term also lacks the cohort's usual full name, 'European Prospective Investigation into Cancer and Nutrition' ('Within the European Prospective Investigation into Cancer and Nutrition (EPIC) cohort, 92 immune proteins were measured in baseline blood samples of 406 incident pancreatic cancer cases and 406 sex‐ and age‐matched controls, using the Olink Immuno‐Oncology panel.', https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13547983/fullTextXML); adding it as a synonym is suggested (the curator may consider it for the label). Not EPIC-InterAct, EPIC-CVD or a national EPIC centre, since nothing in the entry narrows it.
NFBC1966	NFBC1966	existing	COHO:0001213		NFBC1966	NFBC1966																			Global Exposome Cohort Catalogue entry NFBC1966 (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/NFBC1966), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
SALIA	SALIA	mint cohort	COHO:0002618	Study on the influence of Air pollution on Lung function, Inflammation and Ageing	SALIA	Study on the influence of Air pollution on Lung function, Inflammation and Aging|Study on the influence of air pollution on lung function, inflammation and ageing|Study on the influence of Air pollution on lung function inflammation and ageing|Study on Air pollution, Lung function, Inflammation, and Aging|SALIA	cohort				PMID:36151579		We used data from 296 women (69–79 years) enrolled in the population-based SALIA cohort (Study on the influence of Air pollution on Lung function, Inflammation and Aging).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9508765/fullTextXML	A population-based longitudinal cohort of women aged 55 years at recruitment from the industrialised Ruhr Area and rural areas north of it (Borken, Dülmen) in North Rhine-Westphalia, Germany, examined at baseline between 1985 and 1994 and followed up from 2006 onwards; initiated by the State Government of North Rhine-Westphalia to study the health effects of air pollution in women, and run by the IUF – Leibniz Research Institute for Environmental Medicine, Düsseldorf.	PMID:24645673	Claude Opus 5.5 (Anthropic), 2026-09	Germany	The study population consists of women from the industrialized Ruhr Area in Germany (Dortmund, Duisburg, Herne, Gelsenkirchen, Essen) and two non-industrialized rural areas north of the Ruhr area (Borken, Dülmen).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4000047/fullTextXML					Global Exposome Cohort Catalogue entry SALIA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/SALIA), checked against its sources on 2026-09-25. The catalogue record has only the acronym. SALIA is the German women's air-pollution cohort from the Ruhr Area and Borken/Dülmen (IUF Düsseldorf); not in COHO under any name. The expansion is written with 'Aging' and 'Ageing' and with varying capitals across papers; the label takes the form in PMID:31137595 ('Study on the influence of Air pollution on Lung function, Inflammation and Ageing, an ongoing cohort study in the state of North Rhine-Westphalia'), the others are synonyms. SALIA also took part in ESCAPE, which is not a parent.
NOMA	Effect of fat quality on blood lipids and immune response	mint cohort	COHO:0002619	NoMa study	NOMA|NoMa	Fat quality on blood lipids and immune response|Effect of fat quality on blood lipids and immune response|NOMA study	cohort				PMID:40510537		This study is a part of the LongITools project and includes cross-sectional data from the Rotterdam Study, a population-based cohort study, and NoMa, a randomized controlled trial.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12159804/fullTextXML	The participants of an 8-week double-blind randomised controlled dietary intervention trial run from 2012 to 2014 by the University of Oslo and the Oslo and Akershus University College of Applied Sciences, Norway, in which adults with moderately elevated cholesterol ate commercial food items in which saturated fat had been replaced by polyunsaturated fat, or control items, to study effects on blood lipids, immune-cell gene expression and blood metabolites.	https://www.med.uio.no/imb/english/research/projects/noma/|PMID:31051508	Claude Opus 5.5 (Anthropic), 2026-09	Norway	We conducted an 8-wk, double-blind, randomized controlled dietary intervention study at the Oslo and Akershus University College of Applied Sciences and the University of Oslo, Norway, from July 2012 until April 2014.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6499508/fullTextXML					Global Exposome Cohort Catalogue entry NOMA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/NOMA), checked against its sources on 2026-09-25. A University of Oslo randomised dietary fat trial (2012-2014); a trial's participants, so a cohort. The catalogue's name is the project page's title; the study calls itself 'the NoMa study' (also 'The NOMA study' on the page), so NoMa study is the label. Not in COHO; the resembling blood-donor terms are unrelated. Used in LongITools with the Rotterdam Study, which is not a parent. Could not read: PMID:27737722 (design paper, Br J Nutr 2016, closed; requested, not read), PMID:32807640 (closed; requested, not read).
HYDRIA	HYDRIA	mint cohort	COHO:0002620	National Health and Nutrition Survey – HYDRIA	HYDRIA	HYDRIA survey|National Health and Nutrition Survey -HYDRIA|HYDRIA 2013–2014 National Health and Nutrition study|Greek HYDRIA survey|HYDRIA	cohort				PMID:41664457		As part of the HYDRIA 2013–2014 National Health and Nutrition study, a cross-sectional survey of a nationally representative sample of adults in Greece, serum ferritin levels (SFL) were measured in participants aged ≥ 55 years, and dietary intake was assessed using two non-consecutive 24-h dietary recalls per participant.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13423517/fullTextXML	A cross-sectional national health examination and nutrition survey of a representative sample of adults aged 18 years and over in Greece, drawn by two-stage stratified random sampling across all prefectures and examined between June 2013 and December 2014 by the Hellenic Health Foundation, following European Health Examination Survey and EFSA methodology, to describe the population's dietary intake, nutritional status and health.	PMID:35334847	Claude Opus 5.5 (Anthropic), 2026-09	Greece || Greece	The HYDRIA survey sampling frame covered all the 51 prefectures of the 13 regions of the country [3]. || As part of the HYDRIA 2013–2014 National Health and Nutrition study, a cross-sectional survey of a nationally representative sample of adults in Greece, serum ferritin levels (SFL) were measured in participants aged ≥ 55 years, and dietary intake was assessed using two non-consecutive 24-h dietary recalls per participant.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8949101/fullTextXML || https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13423517/fullTextXML					Global Exposome Cohort Catalogue entry HYDRIA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/HYDRIA), checked against its sources on 2026-09-25. The catalogue record has only the acronym. HYDRIA is Greece's 2013–2014 national health and nutrition survey run by the Hellenic Health Foundation: a defined, nationally representative cross-sectional sample, so a cohort. Not in COHO (COHO:0000088 Greece Hellenic Isolated Cohorts and COHO:0000171 THISEAS are different). The first Greece quote is from the paper's methods; the country is given as 'the country' there, so the second quote, which names Greece, may be preferred. The acronym is not expanded in any paper read; the design papers (refs 3–4 of PMID:35334847, a Hellenic Health Foundation report) were not read. A 'Pilot HYDRIA-children' study in children is a separate sample, not this cohort.
FEF	Fibrefects - Grain fibre modification for gut-mediated health effects	mint cohort	COHO:0002621	Grain Fibre Modification for Gut-mediated Health Effects	FEF|FIBREFECTS|Fibrefects|NCT03550365	Fibrefects - Grain fibre modification for gut-mediated health effects|Grain fibre modification for gut-mediated health effects|Grain Fibre Modification for Gut-Mediated Health Effects|Grain fiber modification for gut mediated health effects|Grain Fibre and Gut Health	cohort				PMID:25370913		This study was carried out as a part of the FIBREFECTS (Grain fiber modification for gut mediated health effects) funded mainly by TEKES – The Finnish Funding Agency for Technology and Innovation – and to a smaller extent by Oy Karl Fazer Ab, Vaasan Oy, and Ravintoraisio Oy.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4230797/fullTextXML	The participants of a randomised crossover dietary intervention trial started in 2011 by the University of Eastern Finland with VTT Technical Research Centre of Finland, within the FIBREFECTS project, in which adults with self-reported gastrointestinal symptoms after eating grain products ate white wheat bread during a run-in and then wholegrain rye bread and wheat bread enriched with bioprocessed rye bran, to study the effects of modified cereal fibre on glucose metabolism, gut fermentation and gut-mediated health.	PMID:25370913|https://clinicaltrials.gov/study/NCT03550365	Claude Opus 5.5 (Anthropic), 2026-09	Finland	The study was approved by the Ethics Committee of the Hospital District of Northern Savo.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4230797/fullTextXML					Global Exposome Cohort Catalogue entry FEF (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/FEF), checked against its sources on 2026-09-25. The catalogue's FEF is the FIBREFECTS rye-bread crossover trial of the University of Eastern Finland (registered as NCT03550365, whose official title is the label). FIBREFECTS is also the name of the funding project, but the catalogue entry, the trial record and LongITools all use it for this trial, whose participants are a cohort. Country: no read text says in so many words that participants were recruited in Finland; the quote gives the approving ethics committee (Hospital District of Northern Savo, a Finnish region), and the sponsor and all authors are in Finland (Kuopio); the curator may prefer the catalogue's country field or the closed PMID:31136658. The trial id NCT03550365 is offered as an identifier synonym; drop it if COHO does not keep registry ids. Not in COHO. Could not read: PMID:31136658 full text (closed; the Elsevier download came back empty), PMID:28391735 (closed; requested).
Piccolipiù	Piccolipiù	mint cohort	COHO:0002622	Piccolipiù birth cohort	Piccolipiù	Piccolipiù Italian birth cohort|Piccolipiù cohort|Piccolipiù study|Progetto Piccolipiù|Piccolipiù	cohort				PMID:36191030		Piccolipiù is the name of a birth cohort of 3,358 children enrolled in six maternity wards located in five Italian cities (Florence, Rome, Trieste, Turin, and Viareggio) between October 2011 and March 2015 [26].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9529104/fullTextXML	An Italian multicentre prospective birth cohort of newborns recruited from October 2011 to March 2015 in six maternity units in Florence, Rome, Trieste, Turin and Viareggio, with maternal blood, cord blood and other samples stored in a biobank at the Istituto Superiore di Sanità and follow-up by questionnaires through childhood, set up to study the effects of environmental exposures, parental conditions and social factors in pre- and early post-natal life on child health and development.	PMID:24506846|PMID:36191030	Claude Opus 5.5 (Anthropic), 2026-09	Italy	Piccolipiù is a prospective cohort of expected 3000 newborns, who will be recruiting in six maternity units of five Italian cities (Florence, Rome, Trieste, Turin and Viareggio) since October 2011.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3926689/fullTextXML					Global Exposome Cohort Catalogue entry Piccolipiù (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/Piccolipiù), checked against its sources on 2026-09-25. The catalogue record has only the name. Piccolipiù is the Italian multicentre birth cohort coordinated from Rome (the Local Health Unit Roma E is named as national coordinator); not in COHO. 'Piccolipiù' is a name, not an expansion of anything; since the catalogue id equals the name, the label adds 'birth cohort' so that the id can stand as the acronym synonym without duplicating the label; the curator may prefer the bare 'Piccolipiù' as label. 'Progetto Piccolipiù' is the name of the study's Facebook page given in the protocol. Piccolipiù is in the ATHLETE network in the catalogue, which is not a COHO term.
LISA	LISA	existing	COHO:0000831		LISA	LISA																			Global Exposome Cohort Catalogue entry LISA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/LISA), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
NWAC	NWAC	unresolved																							Global Exposome Cohort Catalogue entry NWAC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/NWAC), checked against its sources on 2026-09-25. The catalogue gives nothing but the id and that the entry comes from the EPHOR (occupational exposome) network, alongside DWDC, NBC1967-1976 and STREAM. The most likely reading is the Norwegian Working Age Cohort of the National Institute of Occupational Health (STAMI), Oslo: 'The Norwegian Working Age Cohort includes individuals born 1930–1992 and residing in Norway 2000-2010' (PMID:40607777, https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12414609/fullTextXML), a register-based cohort that seems to overlap with, or be the forerunner of, the Nor-Work cohort (also born 1930–1992, part of the EPHOR mega cohort); NBC1967-1976 would then be the related register cohort of Norwegians born 1967–1976. But no text read expands 'NWAC', so the identity, and whether it is distinct from Nor-Work, cannot be settled. Neither Nor-Work nor a Norwegian working-age cohort is in COHO. Could not read: the EPHOR partner's (STAMI) expansion of NWAC.
FinnGeDi	Finnish Gestational Diabetes Study	existing	COHO:0000891		FinnGeDi	Finnish Gestational Diabetes Study																			Global Exposome Cohort Catalogue entry FinnGeDi (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/FinnGeDi), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
ELIPA	Foods for weight management	mint cohort	COHO:0002623	Foods for weight management	ELIPA|ISRCTN67529475	Elintarvikkeita painonhallintaan|Elintarvikkeita Painonhallintaan|Foods for weight management (Elintarvikkeita painonhallintaan)|Foods for weight management: a randomized controlled trial|Foods for Weight Maintenance	cohort				PMID:38826077		The study was registered in isrctn.org with the identifier 67529475.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11473202/fullTextXML	The participants of a randomised controlled weight-management trial run from 2008 to 2010 by the Institute of Public Health and Clinical Nutrition, University of Kuopio (now University of Eastern Finland), Finland, in which adults aged 30–65 with obesity followed a very-low-energy diet and were then randomised to weight-maintenance diets containing foods of higher or lower predetermined satiety value, to study whether food satiety value affects self-regulation of food intake and weight management.	https://www.isrctn.com/ISRCTN67529475|PMID:22792447	Claude Opus 5.5 (Anthropic), 2026-09	Finland	They were recruited by an announcement in a local newspaper and among the eligible subjects who had participated previously in the studies performed at the University of Kuopio, Kuopio, Finland (currently University of Eastern Finland).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3389694/fullTextXML					Global Exposome Cohort Catalogue entry ELIPA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/ELIPA), checked against its sources on 2026-09-25. A University of Eastern Finland (Kuopio) satiety and weight-maintenance RCT; its participants are a cohort. The trial calls itself 'Foods for weight management (Elintarvikkeita painonhallintaan)' with acronym ELIPA in its registration; LongITools calls it 'Foods for Weight Maintenance'. None of the open papers that used it says 'ELIPA': they identify it by its registration number, so the example quote names it by ISRCTN 67529475 and that id is offered as a synonym (drop it, and use the closed PMID:37993047 if it names ELIPA, if registry ids are not wanted). Not in COHO. Could not read: PMID:37993047 full text (closed; the Elsevier download came back empty), PMID:37268538 (closed; requested).
CONSTANCES	Cohorte des Consultants des Centres d’Examens de Santé	mint cohort	COHO:0002624	Constances	CONSTANCES	Cohorte des Consultants des Centres d’Examens de Santé|CONSTANCES cohort|French CONSTANCES population-based cohort	cohort				PMID:42006753		A cross-sectional observational study was conducted using retrospective data from the CONSTANCES cohort, a large population-based cohort study in France, including adults aged 18 to 69 years at enrolment.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:42006753%20AND%20SRC:MED&format=json&resultType=core	A French general-purpose population-based cohort of adults aged 18–69 years at inclusion, randomly sampled from people covered by the national health insurance fund (CNAMTS) and included from the end of 2012 through health examinations at selected Health Screening Centres across France, with yearly questionnaires, periodic examinations, a biobank and linkage to national social and health databases; run by Inserm as a research infrastructure with a focus on occupational and social factors, chronic diseases and ageing.	PMID:26520638	Claude Opus 5.5 (Anthropic), 2026-09	France	Thanks to our partnership with CNAMTS, we are including the cohort participants in 22 selected HSCs located in 19 “départements” in different regions of France (Fig.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4690834/fullTextXML					Global Exposome Cohort Catalogue entry CONSTANCES (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CONSTANCES), checked against its sources on 2026-09-25. CONSTANCES, the large French Inserm/national health insurance adult cohort, is not in COHO under any name (checked CONSTANCES, Constances, Consultants). The cohort's own site writes 'Constances' and its papers 'CONSTANCES'; the label takes the site's form so that the upper-case acronym can be kept as a distinct synonym (the curator may prefer 'CONSTANCES cohort'). The French expansion is given by the catalogue and by LongITools, not by the design paper. The cohort belongs to the EPHOR and LongITools networks and to OMega-X, none of which is a COHO term.
GASPII	GASPII	mint cohort	COHO:0002625	Gene and Environment: Prospective Study on Infancy in Italy	GASPII|IT-GASPII	gene and environment prospective study on infancy in Italy|GASPII birth cohort|GASPII	cohort				PMID:34046850		We included six European population-based birth cohorts: Avon Longitudinal Study of Parents and Children (ALSPAC), DNBC, Gene and Environment: Prospective Study on Infancy in Italy (GASPII), the Generation R Study, INMA (including four subcohorts), and the Mother–Child Cohort in Crete (RHEA) (Methods S1).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8542535/fullTextXML	A prospective birth cohort of children born between June 2003 and October 2004 in two hospitals in Rome, Italy, to mothers resident in the district of the Local Health Unit RME, followed up through childhood as a pilot for a national Italian birth cohort, to study genetic and environmental influences on child health.	PMID:18326421|PMID:24149084	Claude Opus 5.5 (Anthropic), 2026-09	Italy	GASPII (Gene and Environment: Prospective Study on Infancy in Italy) is a prospective birth cohort of children born during 2003–2004 in Rome, Italy	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3888562/fullTextXML					Global Exposome Cohort Catalogue entry GASPII (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/GASPII), checked against its sources on 2026-09-25. The catalogue record has only the acronym. GASPII is the Rome birth cohort (2003–2004), used in ESCAPE and other European birth-cohort pools; not in COHO (COHO:0000199 'GASP' is a Peruvian asthma study, unrelated). The design abstract gives the setting ('two hospital ofRome in the district ofthe Local Health Unit RME', as printed). The Italian form of the name was not found in any text read. The label is the English expansion used in the papers; 'IT-GASPII' is a tag used for it in multi-cohort papers. It is in the EXPANSE network in the catalogue, which is not a COHO term. Could not read: PMID:18326421 full text (Epidemiol Prev, Italian; requested).
GINI	GINI	existing	COHO:0000708		GINI	GINI																			Global Exposome Cohort Catalogue entry GINI (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/GINI), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
KANC	Kaunas cohort	mint cohort	COHO:0002626	Kaunas cohort	KANC	KANC newborns cohort study|KANC cohort|HiWATE cohort study	cohort				PMID:27067890		In 2012–2013, we invited the KANC cohort of 3294 mothers and their 4−6-year-old children to participate in this study.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4838715/fullTextXML	A prospective birth cohort of pregnant women living in Kaunas municipality, Lithuania, recruited in the first trimester at four prenatal care clinics of the Kaunas University of Medicine hospitals from 2007, first as the Kaunas cohort of the EU HiWATE project on drinking-water contaminants and pregnancy outcomes, and their children, later followed up in childhood and within the HELIX exposome project.	PMID:19440446|PMID:30206078	Claude Opus 5.5 (Anthropic), 2026-09	Lithuania	Within a prospective cohort study in Kaunas (Lithuania), a nested case-control study on LBW and IUGR occurrence among 646 women with genotyping of GSTT1 and GSTM1 polymorphisms who delivered live singletons was conducted.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2672398/fullTextXML					Global Exposome Cohort Catalogue entry KANC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/KANC), checked against its sources on 2026-09-25. KANC is the Kaunas birth cohort (Lithuania), one of the six birth cohorts that make up HELIX. COHO has HELIX (COHO:0000827) as a cohort (the HELIX subcohort of mother-child pairs drawn from the six cohorts), but not KANC itself; KANC is not a sub-cohort of HELIX (the relation runs the other way), so no parent is given. If HELIX is ever retyped as an aggregation, KANC would be one of its members ('the Kaunas cohort (KANC) in Lithuania', PMC13504928). The design paper calls the cohort the 'HiWATE cohort study'; recruitment is given as 2007–2008 there and 2007–2009 in later papers. The HELIX profile spells it 'Kaunus cohort', a misprint not offered as a synonym.
EST-Biobank	EST-Biobank	existing	COHO:0000064		EST-Biobank	EST-Biobank																			Global Exposome Cohort Catalogue entry EST-Biobank (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/EST-Biobank), checked against its sources on 2026-09-25. The catalogue records nothing but the id and name EST-Biobank (type cohort study), which can only be the Estonian Biobank of the University of Tartu, COHO:0000064. The term already carries Estonia, EstBB, EGCUT, EBB and EB; it lacks the catalogue id EST-Biobank as an acronym.
