ID	TYPE	label	data collection location	evidence	source
COHO:0000411	owl:NamedIndividual	Korean Genome and Epidemiology Study	dbpedia:South_Korea|dbpedia:Japan|dbpedia:China	Figure 2. Geographical location of the survey sites in the Korean genome and epidemiology study. In Korea (A); Japan (B); China (C).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5837648/fullTextXML
COHO:0000412	owl:NamedIndividual	Netherlands Epidemiology of Obesity Study	dbpedia:Netherlands	Briefly, men and women aged between 45 and 65 years with a self-reported body mass index (BMI) of 27 kg/m2 or higher living in the greater area of Leiden (in the west of the Netherlands) were eligible to participate in NEO.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13352909/fullTextXML
COHO:0000413	owl:NamedIndividual	Wisconsin Registry for Alzheimer's Prevention	dbpedia:United_States	Wisconsin Alzheimer's Institute, University of Wisconsin School of Medicine and Public Health, Madison, WI, USA	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5755749/fullTextXML
COHO:0000414	owl:NamedIndividual	Wisconsin Alzheimer's Disease Research Center	dbpedia:United_States	Wisconsin Alzheimer’s Disease Research Center, University of Wisconsin-Madison, 600 Highland Avenue, J5/1 Mezzanine, Madison, WI 53792 USA	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7803963/fullTextXML
COHO:0000415	owl:NamedIndividual	Food Chain Plus	dbpedia:Germany	The cohort was set-up to represent a Northern German population of the Kiel region.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A36245062+AND+SRC%3AMED&format=json&resultType=core
COHO:0000416	owl:NamedIndividual	Amish Complex Disease Research Program	dbpedia:United_States	The Old Order Amish (OOA) population of Lancaster County, PA immigrated to the Colonies from Central Europe in the early 1700’s.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8989972/fullTextXML
COHO:0000417	owl:NamedIndividual	BioVU	dbpedia:United_States	The biobank at Vanderbilt (BioVU) is one of the largest practice-based biobanks in the U.S.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9512962/fullTextXML
COHO:0000418	owl:NamedIndividual	Southall and Brent Revisited	dbpedia:United_Kingdom	It recruited predominantly European (EA), South Asian (SA) and African Caribbean (AC) participants living in West and North London; details have been previously described [20].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10874717/fullTextXML
COHO:0000419	owl:NamedIndividual	Gut-and-Liver Axis in Alcoholic Liver Fibrosis	dbpedia:Denmark	For replication of the genetic effects on plasma protein levels, we included 1,000 additional children and adolescents from the HOLBAEK Study and 558 adults with alcohol-related liver disease aged 19–82 years, matched with healthy controls recruited from the Region of Southern Denmark5.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11906355/fullTextXML
COHO:0000420	owl:NamedIndividual	Cardiovascular Risk in Young Finns Study	dbpedia:Finland	The prospective YFS has followed a population-based cohort from childhood to adulthood that were sampled from five cities with university hospitals in Finland (Helsinki, Kuopio, Oulu, Tampere, and Turku) and their rural surrounds.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10726240/fullTextXML
COHO:0000421	owl:NamedIndividual	Study of Colorectal Cancer in Scotland	dbpedia:United_Kingdom	from a population‐based case–control study (Study of Colorectal Cancer in Scotland, SOCCS; 1999‐current)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6771941/fullTextXML
COHO:0000422	owl:NamedIndividual	China Kadoorie Biobank	dbpedia:China	The China Kadoorie Biobank (CKB) is a population-based prospective cohort of >512,000 adults recruited from 2004 to 2008 from 10 geographically diverse regions across China.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A37601966+AND+SRC%3AMED&format=json&resultType=core
COHO:0000423	owl:NamedIndividual	All of Us Research Program	dbpedia:United_States	The All of Us Research Program plans to enroll a diverse group of at least 1 million persons in the United States in order to accelerate biomedical research and improve health.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A31412182+AND+SRC%3AMED&format=json&resultType=core
COHO:0000424	owl:NamedIndividual	BioMe Biobank	dbpedia:United_States	We identified 16 groups with shared ancestry, based on genomic segments that are shared through identity by descent (IBD), in New York City using the genomic data of 25,366 residents from the All Of Us Research Program and the Mount Sinai BioMe biobank.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A40554605+AND+SRC%3AMED&format=json&resultType=core
COHO:0000425	owl:NamedIndividual	Coronary Artery Risk Development in Young Adults Study	dbpedia:United_States	The longitudinal CARDIA study was initiated in 1985 with the recruitment of young adult participants (aged 18-30 years) equally balanced by female and male sex and black and white race at 4 field centers located in Birmingham, AL, Chicago, IL, Minneapolis, MN, and Oakland, CA.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A32692748+AND+SRC%3AMED&format=json&resultType=core
COHO:0000426	owl:NamedIndividual	Health for Life in Singapore	dbpedia:Singapore	Participants were recruited from the Singapore general population11,13,14.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12764833/fullTextXML
COHO:0000427	owl:NamedIndividual	Cleveland Family Study	dbpedia:United_States	Overall, a total of 2284 individuals from 361 families were recruited from the Cleveland metropolitan area.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3498243/fullTextXML
COHO:0000428	owl:NamedIndividual	deCODE genetics Icelandic cohort	dbpedia:Iceland	This study is based on whole-genome sequence data from the whole blood of 15,220 Icelanders participating in various disease projects at deCODE genetics.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5465083/fullTextXML
COHO:0000429	owl:NamedIndividual	PainOMICS Retrospective Study	dbpedia:Italy|dbpedia:Belgium|dbpedia:United_Kingdom|dbpedia:Croatia	The sample of 3400 participants including the residents of Italy, Belgium, England, and Croatia was composed in the years from 2014 to 2016.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10244589/fullTextXML
COHO:0000430	owl:NamedIndividual	The Pomak cohort	dbpedia:Greece	For MANOLIS, biological samples were collected from the mountainous Mylopomatos villages in Crete, Greece; whereas, Pomak refers to a set of mountainous villages in the North of Greece.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8640022/fullTextXML
COHO:0000431	owl:NamedIndividual	Genetic Epidemiology Research on Adult Health and Aging	dbpedia:United_States	Cohort members reside primarily in a 22-county service area in northern and central California that encompasses over 28,000 square miles and includes urban, suburban, rural and agricultural land use (supplementary Figure 1; http://links.lww.com/EE/A39).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7939422/fullTextXML
COHO:0000432	owl:NamedIndividual	Correlated Expression and Disease Association Research	dbpedia:Belgium	We collected peripheral blood as well as intestinal biopsies (ileum, transverse colon, rectum) from 323 healthy Europeans visiting the Academic Hospital of the University of Liège as part of a national screening campaign for colon cancer.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6013502/fullTextXML
COHO:0000433	owl:NamedIndividual	Generation Scotland: Scottish Family Health Study	dbpedia:United_Kingdom	Generation Scotland is a collaboration between the University Medical School and NHS in Aberdeen, Dundee, Edinburgh and Glasgow, Scotland, UK	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6361928/fullTextXML
COHO:0000434	owl:NamedIndividual	Genetic Epidemiology Network of Arteriopathy	dbpedia:United_States	GENOA is a community-based study in Rochester, MN and Jackson, MS that was established to identify genes influencing blood pressure [33].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8764761/fullTextXML
COHO:0000435	owl:NamedIndividual	Northern Finland Birth Cohorts	dbpedia:Finland	The Northern Finland Birth Cohort 1986 (NFBC1986) [19] was initiated 20 years after the NFBC1966 in the same two northernmost provinces of Finland.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12095082/fullTextXML
COHO:0000436	owl:NamedIndividual	Taiwan Biobank	dbpedia:Taiwan	The Taiwan Biobank (TWB) is an ongoing prospective study of >150,000 individuals aged 20-70 in Taiwan.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A36776991+AND+SRC%3AMED&format=json&resultType=core
COHO:0000437	owl:NamedIndividual	GeneRISK study	dbpedia:Finland	The cohort includes 7292 participants (4642 women, 2624 men), who were recruited from Southern Finland during 2015–2017 at age of 45–66 years.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10618167/fullTextXML
COHO:0000438	owl:NamedIndividual	Healthy Aging in Neighborhoods of Diversity across the Life Span	dbpedia:United_States	We recruited 3722 participants from Baltimore, Md.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A20828101+AND+SRC%3AMED&format=json&resultType=core
COHO:0000439	owl:NamedIndividual	Mount Sinai Crohn's and Colitis Registry	dbpedia:United_States	Patients with UC (n=484) or CD (n=464) and HCs (ages 18+, n=365) were recruited as part of a cross-sectional study, the Mount Sinai Crohn’s and Colitis Registry (MSCCR), between December 2013 and September 2016 from the outpatient and endoscopy units of the Mount Sinai Hospital.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC9214725/unicode
COHO:0000440	owl:NamedIndividual	Netherlands Study of Depression and Anxiety	dbpedia:Netherlands		
COHO:0000441	owl:NamedIndividual	Health, Aging and Body Composition Study	dbpedia:United_States	SettingThe population-based study took place in two US communities in Memphis, Tennessee, and Pittsburgh, Pennsylvania.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A40044514+AND+SRC%3AMED&format=json&resultType=core
COHO:0000442	owl:NamedIndividual	Michigan Genomics Initiative	dbpedia:United_States	An alternative biobank design is localized recruitment within a single healthcare system.7,8,9 In this article, we describe the Michigan Genomics Initiative (MGI), a single-health-system biobank recruited from adult patients receiving care at Michigan Medicine, the University of Michigan’s health system.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9932985/fullTextXML
COHO:0000443	owl:NamedIndividual	Immune and Metabolic Markers during Pregnancy and Child Development Study	dbpedia:United_States	The study population for the IMPaCT (Immune and Metabolic Markers during Pregnancy and Child Development) Study was selected from children born at Kaiser Permanente Northern California (KPNC) from January 2011 to January 2016, who survived to age 2 years and whose mothers received health care during the 2 years prior to delivery.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10689278/fullTextXML
COHO:0000445	owl:NamedIndividual	Helsinki Birth Cohort Study	dbpedia:Finland	Our study sample is a part of the Helsinki Birth Cohort Study (HBCS), comprising all 13345 individuals (52.3% male) born singleton in one of the two maternity hospitals in Helsinki, Finland, between 1934 and 1944.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6416302/fullTextXML
COHO:0000446	owl:NamedIndividual	Generation R Study	dbpedia:Netherlands	The Generation R Study is conducted in Rotterdam, the second largest city in the Netherlands.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5233749/fullTextXML
COHO:0000447	owl:NamedIndividual	500 Functional Genomics	dbpedia:Netherlands	The inclusion of the volunteers took place between 8/2013 until 12/2014 in the Radboud University Medical Center, the Netherlands.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5787854/unicode
COHO:0000448	owl:NamedIndividual	MyCode Community Health Initiative	dbpedia:United_States	The GHS MyCode study is a health system-based cohort of patients from Central and Eastern Pennsylvania (USA) recruited in 2007–201941.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9529959/fullTextXML
COHO:0000450	owl:NamedIndividual	LIFE-Adult-Study	dbpedia:Germany	BackgroundThe LIFE-Adult-Study is a population-based cohort study, which has recently completed the baseline examination of 10,000 randomly selected participants from Leipzig, a major city with 550,000 inhabitants in the east of Germany.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A26197779+AND+SRC%3AMED&format=json&resultType=core
COHO:0000451	owl:NamedIndividual	Red Blood Cell-Omics Study	dbpedia:United_States	As part of this study, genomics approaches were used to characterize 12,353 volunteer donors enrolled at four different blood centers across the United States of America (29, 30).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9763692/fullTextXML
COHO:0000452	owl:NamedIndividual	Corogene Study	dbpedia:Finland	Corogene is a prospective, consecutive cohort study of Finnish patients referred for coronary angiography to the Helsinki University Central Hospital between 2006 and 2008.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4929378/fullTextXML
COHO:0000453	owl:NamedIndividual	Health 2000 GenMets Study	dbpedia:Finland	GenMets is a subset from the Health 2000 survey collected in 2000–2001 to obtain information on the most important public health problems in Finland [30].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3916240/fullTextXML
COHO:0000454	owl:NamedIndividual	Qatar Metabolomics Study on Diabetes	dbpedia:Qatar	All study participants were enrolled between February 2012 and June 2012 at the Dermatology Department of Hamad Medical Corporation (HMC) in Doha, Qatar.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4499109/fullTextXML
COHO:0000455	owl:NamedIndividual	Genetic Study of Atherosclerosis Risk	dbpedia:United_States	Participants came from EA and AA families identified from 1983 to 2006 from probands with a premature coronary disease event before 60 years of age who were identified at the time of hospitalization in any of 10 Baltimore area hospitals.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9086181/fullTextXML
COHO:0000456	owl:NamedIndividual	Nurses' Health Study	dbpedia:United_States	The third replication dataset was derived from two prospective cohort studies in the US: the Nurses’ Health Study and the Health Professionals Follow-up Study [13, 55].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11046907/fullTextXML
COHO:0000457	owl:NamedIndividual	Penn Medicine BioBank	dbpedia:United_States	The Penn Medicine BioBank (PMBB) is an electronic health record (EHR)-linked biobank at the University of Pennsylvania (Penn Medicine).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A36556195+AND+SRC%3AMED&format=json&resultType=core
COHO:0000458	owl:NamedIndividual	Epidemiological Investigation of Rheumatoid Arthritis	dbpedia:Sweden	EIRA, a case–control study established in 1996, currently contains >5000 incident RA cases from the middle and southern regions of Sweden [18].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11065441/fullTextXML
COHO:0000459	owl:NamedIndividual	Ludwigshafen Risk and Cardiovascular Health Study	dbpedia:Germany	We thank the LURIC study team who were either temporarily or permanently involved in patient recruitment as well as sample and data handling, in addition to the laboratory staff at the Ludwigshafen General Hospital and the Universities of Freiburg and Ulm, Germany.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10964567/fullTextXML
COHO:0000460	owl:NamedIndividual	Diabetes Heart Study	dbpedia:United_States	The Diabetes Heart Study (DHS) is a community-based study of the genetic and epidemiological contributions to diabetic heart disease in which siblings concordant for type 2 diabetes mellitus (T2DM), as well as unaffected family members, were recruited from internal medicine and endocrinology clinics in western North Carolina.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3609509/fullTextXML
COHO:0000462	owl:NamedIndividual	Genetic Risk Assessment for Chinese Eaglet-T1D	dbpedia:China	Ncontrols=427,069) and in a Chinese case–control cohort across multiple paediatric centres named Genetic Risk Assessment for Chinese Eaglet-T1D (GRACE, N=597;	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13109230/fullTextXML
COHO:0000463	owl:NamedIndividual	Academic Medical Center Amsterdam Premature Atherosclerosis Study	dbpedia:Netherlands	PAS, Premature Atherosclerosis Study—Academic Medical Center—Amsterdam;	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4889017/unicode
COHO:0000464	owl:NamedIndividual	Bogalusa Heart Study	dbpedia:United_States	Bogalusa, LA, is a biracial (black/white) rural community 70 miles north of New Orleans, comparable to many other communities in southeastern United States.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A11876192+AND+SRC%3AMED&format=json&resultType=core
COHO:0000465	owl:NamedIndividual	Cleveland Family Speech and Reading Study	dbpedia:United_States	Children with a diagnosis of SSD were referred to the study from the clinical caseloads of SLPs in Ohio.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12614917/fullTextXML
COHO:0000467	owl:NamedIndividual	Genetics of Opioid Addiction Study	dbpedia:Canada	Briefly, participants (nGENOA = 1536, nPOST = 3319) were recruited from 76 CATC sites across Ontario, Canada (GENOA, 2013–2016, POST, 2018–present).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10724251/fullTextXML
COHO:0000468	owl:NamedIndividual	deCODE Health Study	dbpedia:Iceland	Speech samples were obtained from 14,144 Icelandic participants as a part of the deCODE Health Study in Iceland, which involves comprehensive phenotyping of a general population sample.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10256171/fullTextXML
COHO:0000469	owl:NamedIndividual	Qatar Biobank	dbpedia:Qatar	Qatar Biobank will provide a powerful resource to investigate the major determinants of ill-health and well-being in Qatar, providing valuable insights into the current and future public health burden that faces the country.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A26635005+AND+SRC%3AMED&format=json&resultType=core
COHO:0000470	owl:NamedIndividual	Reykjavik Study	dbpedia:Iceland	This cohort of men and women born between 1907 and 1935 has been followed in Iceland since 1967 by the Icelandic Heart Association.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A17351290+AND+SRC%3AMED&format=json&resultType=core
COHO:0000471	owl:NamedIndividual	Human Functional Genomics Project	dbpedia:Netherlands|dbpedia:Tanzania	Using a 92-plex proteomic panel based on a proximity extension assay technology, we compared the inflammatory proteome of healthy Tanzanians of African origin residing in Tanzania with that of healthy individuals of Western-European ancestry living in the Netherlands.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10473835/fullTextXML
COHO:0000472	owl:NamedIndividual	Recipient Epidemiology and Donor Evaluation Study-III	dbpedia:United_States|dbpedia:Brazil|dbpedia:China|dbpedia:South_Africa	The international component consists of distinct programs in Brazil, China, and South Africa, which involve US and in-country investigators.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A24188564+AND+SRC%3AMED&format=json&resultType=core
COHO:0000473	owl:NamedIndividual	Research Program on Genes, Environment and Health	dbpedia:United_States	The GERA cohort is part of the Kaiser Permanente Northern California (KPNC) Research Program on Genes, Environment and Health (RPGEH).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7939422/fullTextXML
COHO:0000474	owl:NamedIndividual	Africa America Diabetes Mellitus Study	dbpedia:Ghana|dbpedia:Kenya|dbpedia:Nigeria	Data were collected in three cities in Nigeria (Ibadan, Enugu, and Lagos), two cities in Ghana (Accra, and Kumasi), and in the city of Eldoret in Kenya.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8499470/fullTextXML
COHO:0000475	owl:NamedIndividual	Danish Blood Donor Study	dbpedia:Denmark	The cohort was initiated in 2010 and by 2015 it covered all blood donation facilities in Denmark.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10244044/fullTextXML
COHO:0000476	owl:NamedIndividual	Howard University Family Study	dbpedia:United_States	The HUFS (Principal Investigator: CNR) was a study of AA from the Washington DC metropolitan area (USA) and was designed to investigate the genetic and environmental basis of common complex traits such as hypertension, obesity, and T2D [32].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8499470/fullTextXML
COHO:0000478	owl:NamedIndividual	Swedish BioFINDER Study	dbpedia:Sweden	Participants were recruited in the prospective and longitudinal BioFINDER study (NCT01208675) from 2009 to 2014, at three neurology and memory clinics in southern Sweden.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9832827/fullTextXML
COHO:0000479	owl:NamedIndividual	CROATIA-Vis Study	dbpedia:Croatia	The CROATIA-Vis study includes 1,008 Croatians, aged 18–93 years, who were recruited from the villages of Vis and Komiza on the Dalmatian island of Vis during spring of 2003 and 2004.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7337286/fullTextXML
COHO:0000480	owl:NamedIndividual	National Alzheimer's Coordinating Center	dbpedia:United_States	NACC is home to one of the largest, oldest, and most powerful Alzheimer’s disease datasets, built in collaboration with more than 42 Alzheimer’s Disease Research Centers (ADRCs) throughout the US over the past 25+ years.	https://naccdata.org/
COHO:0000481	owl:NamedIndividual	Singapore Prospective Study Program	dbpedia:Singapore	Individuals in these studies were sampled randomly from the Singapore population and a disproportionate sampling scheme was utilized to increase the sample sizes of Malays and Asian-Indians.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6389173/fullTextXML
COHO:0000482	owl:NamedIndividual	Colorado Center for Personalized Medicine Biobank	dbpedia:United_States	UCHealth serves both a highly urban population in the Denver, Colorado Springs, and Fort Collins metropolitan areas as well as numerous rural populations in the intermountain west and western great plains regions of the United States.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10806731/fullTextXML
COHO:0000483	owl:NamedIndividual	Adult Changes in Thought Study	dbpedia:United_States	Between 1994 and 1996, ACT enrolled 2581 GHC members living in the greater Seattle area who were 65 years of age or older, community dwelling, and did not have a diagnosis of dementia at baseline.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11592130/fullTextXML
COHO:0000484	owl:NamedIndividual	Hypertension Genetic Epidemiology Network	dbpedia:United_States	HyperGEN (Hypertension Genetic Epidemiology Network) included field centers in Birmingham AL, which recruited African Americans; the rest of centers in Forsyth County, NC, in Framingham, MA, in Minneapolis, MN, and in Salt Lake City, UT recruited Whites.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC1201342/fullTextXML
COHO:0000485	owl:NamedIndividual	Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial	dbpedia:United_States	Firstly, our study data derived from a large prospective cohort comprising over 100,000 participants with diverse occupational backgrounds across 10 screening centers in the United States ensuring broad representativeness of the study population, and the long-term follow-up ensured the reliability of the study findings.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12520953/fullTextXML
COHO:0000486	owl:NamedIndividual	Korean Cancer Prevention Study-II Biobank	dbpedia:South_Korea	Approximately 90% of participants were recruited from the Seoul and Gyeonggi regions, where about 40% of the South Korean population resides (around 19 million people).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12120081/fullTextXML
COHO:0000487	owl:NamedIndividual	Leipzig Research Center for Civilization Diseases-Heart Study	dbpedia:Germany	Patients were recruited at the Heart Center Leipzig, Germany, and all underwent coronary angiography.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8624973/fullTextXML
COHO:0000488	owl:NamedIndividual	Bandim Health Project	dbpedia:Guinea-Bissau	Bandim Health Project (BHP) monitors health and survival of women and children in a nationally representative rural Health and Demographic Surveillance System (HDSS) in Guinea-Bissau.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6575866/fullTextXML
COHO:0000489	owl:NamedIndividual	Center for Applied Genomics Biobank	dbpedia:United_States	Subjects were recruited at Children’s Hospital of Philadelphia starting in 2006 and continuing to the present; genotyping of subjects has occurred across the same timeline.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11958703/fullTextXML
COHO:0000490	owl:NamedIndividual	Danish Twin Registry	dbpedia:Denmark	More than 85,000 twin pairs born 1870-2008 in Denmark.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A21775358+AND+SRC%3AMED&format=json&resultType=core
COHO:0000491	owl:NamedIndividual	Electronic Medical Records and Genomics Network	dbpedia:United_States	The goal of Electronic Medical Records and Genomics (eMERGE) Phase III Network was to return actionable sequence variants to 25,084 consenting participants from 10 different health care institutions across the United States.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A35216901+AND+SRC%3AMED&format=json&resultType=core
COHO:0000492	owl:NamedIndividual	Sorbs Study	dbpedia:Germany	We attempted to identify further variants associated with adult height in a self-contained population (the Sorbs in Eastern Germany) as discovery set.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A19729412+AND+SRC%3AMED&format=json&resultType=core
COHO:0000493	owl:NamedIndividual	Dose-Responses to Exercise Training	dbpedia:Finland	in a population-based random sample (n 1140 women and men, age 57-78 years) as secondary analyses of the Finnish Dose-Responses to Exercise Training study.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:26104270%20AND%20SRC:MED&resultType=core&format=json
COHO:0000494	owl:NamedIndividual	Genetics of Lipid-Lowering Drugs and Diet Network	dbpedia:United_States	GOLDN participants were identified through 3-generation families previously screened in the NHLBI Family Heart Study Minnesota or Utah centers [33].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8617762/fullTextXML
COHO:0000495	owl:NamedIndividual	Study of Women's Health Across the Nation	dbpedia:United_States	The Study of Women’s Health Across the Nation interviewed women in their 40s and 50s from seven U.S. cities approximately yearly to collect information on their physical, biological, psychological, and social health.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13153493/fullTextXML
COHO:0000496	owl:NamedIndividual	Finnish Diabetic Nephropathy Study	dbpedia:Finland	In this study, we performed genome-wide association study (GWAS) meta-analyses in a total of 8011 individuals to investigate single nucleotide variants (SNVs) associated with 54 urinary metabolites measured by NMR in one Finnish cohort of individuals with type 1 diabetes (T1D) and two Scottish cohorts from a general population setting.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11696681/fullTextXML
COHO:0000497	owl:NamedIndividual	IMAGEN study	dbpedia:Germany|dbpedia:United_Kingdom|dbpedia:Republic_of_Ireland|dbpedia:France	Participants were recruited from a diverse range of high schools across eight European sites (Dresden, Berlin, Mannheim, and Hamburg in Germany; London and Nottingham in the U.K.; Dublin in Ireland; and Paris in France).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9815590/fullTextXML
COHO:0000498	owl:NamedIndividual	Munich Antidepressant Response Signature	dbpedia:Germany|dbpedia:Switzerland	Patients with a moderate to severe depressive episode were recruited from the hospital of the Max Planck Institute of Psychiatry and collaborating hospitals of Southern Bavaria and Switzerland.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6387218/fullTextXML
COHO:0000499	owl:NamedIndividual	Minority Aging Research Study	dbpedia:United_States	both MARS and AA Core recruited older African Americans from churches, senior buildings, and social clubs and organizations that serve diverse populations in the Chicago metropolitan area.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11350028/fullTextXML
COHO:0000500	owl:NamedIndividual	Older Australian Twins Study	dbpedia:Australia		
COHO:0000501	owl:NamedIndividual	LymeProspect	dbpedia:Netherlands	The LymeProspect study has been designed to investigate the prevalence, severity, and a wide range of hypotheses on the etiology of persistent symptoms among patients treated for Lyme borreliosis in the Netherlands.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6466793/fullTextXML
COHO:0000502	owl:NamedIndividual	300-Tanzania-FG	dbpedia:Tanzania	Briefly, the 300TZFG cohort consists of 323 healthy Tanzanian individuals aged between 18 and 65 years residing in the Kilimanjaro region in Northern Tanzania.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10473835/fullTextXML
COHO:0000503	owl:NamedIndividual	UCLA ATLAS Community Health Initiative	dbpedia:United_States	The UCLA Health system serves Los Angeles County, leading to a study population of great demographic, genetic, and phenotypic diversity.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9461263/fullTextXML
COHO:0000504	owl:NamedIndividual	Insulin Resistance Atherosclerosis Family Study	dbpedia:United_States	Specific to this study, Mexican American families were recruited from two clinical centers including San Antonio, TX, and San Luis Valley, CO, and African Americans were recruited from one clinical center in Los Angeles, CA.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8640864/fullTextXML
COHO:0000505	owl:NamedIndividual	WHI Genomics and Randomized Trials Network	dbpedia:United_States	A total of 161,838 women aged 50–79 years old were recruited from 40 clinical centers in the US between 1993 and 1998.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41398-025-03418-z/MediaObjects/41398_2025_3418_MOESM1_ESM.pdf
COHO:0000506	owl:NamedIndividual	ALS Utrecht	dbpedia:Netherlands	Department of Neurology, University Medical Center Utrecht Brain Center, Utrecht University, Utrecht, The Netherlands.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10040206/fullTextXML
