ID	TYPE	label	participants	participants evidence	participants source	participants note	cases	cases evidence	cases source	cases note	controls	controls evidence	controls source	controls note
COHO:0000324	owl:NamedIndividual	Prevention and Incidence of Asthma and Mite Allergy	3963	The study started with 3,963 newborns.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-41180-2/MediaObjects/41467_2023_41180_MOESM1_ESM.pdf	newborns at the start of the birth cohort (recruited 1996-1997)								
COHO:0000325	owl:NamedIndividual	Princess Margaret Cancer Centre acute myeloid leukemia patient cohort	81	The PMCC AML RNAseq dataset consists of 81 AML patient samples (clinical data in Supplemental Table 11 of manuscript), processed in two batches.	https://ega-archive.org/studies/EGAS00001004792	AML patient samples RNA-sequenced (analysed subset of the Leukemia Tissue Bank)								
COHO:0000326	owl:NamedIndividual	Radar cohort	110	We recruited 110 offspring of former German radar operators, who were likely to have been exposed to IR (Radar cohort, exposure = 0-353 mGy), and reanalyzed sequencing data of 130 offspring of Chernobyl cleanup workers (CRU, exposure = 0-4080 mGy) from Yeager, et al.	PMID:40550869	offspring of former German radar operators (children, not counting parents)								
COHO:0000327	owl:NamedIndividual	Research on Obesity and Diabetes among African Migrants	5114	Participants All the participants in the RODAM cross-sectional study that completed the baseline assessment (n=5114) were eligible for the follow-up of which 2165 participants (n=638 from rural-Ghana, n=608 from urban-Ghana, and n=919 Ghanaian migrants in Amsterdam, the Netherlands) were included in the RODAM-Pros cohort study.	PMID:36521887	Ghanaian participants who completed the RODAM baseline assessment (2012-2015)								
COHO:0000328	owl:NamedIndividual	ROBUST trial	570	Results A total of 570 patients with ABC-DLBCL (n = 285 per arm) were stratified by International Prognostic Index score, age, and bulky disease, and randomly assigned to R2-CHOP or placebo/R-CHOP.	PMID:33621109	patients with ABC-DLBCL randomised (285 per arm), 2017								
COHO:0000329	owl:NamedIndividual	SARS-CoV-2 Vaccine Response in Cancer trial	77	Results Hematological patients show severe impairment of anti-SARS-CoV-2 antibodies after COVID-19 vaccination The CORSA trial ( NCT04345315 ) enrolled 77 hematological patients from April to June 2021 who received at least one dose of vaccine (73 patients received Comirnaty and 4 received Spikevax).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13230124/fullTextXML	patients with haematological malignancies enrolled April-June 2021 (healthy controls not counted)								
COHO:0000330	owl:NamedIndividual	Schizophrenia Exome Sequencing Meta-analysis consortium					24248	Here, we generated, aggregated, harmonized variant identification, and meta-analyzed the exome sequences of 24,248 individuals with schizophrenia and 97,322 controls from seven continental populations.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9805802/	schizophrenia cases and controls in the 2022 exome meta-analysis (no total stated)	97322	Here, we generated, aggregated, harmonized variant identification, and meta-analyzed the exome sequences of 24,248 individuals with schizophrenia and 97,322 controls from seven continental populations.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9805802/	schizophrenia cases and controls in the 2022 exome meta-analysis (no total stated)
COHO:0000331	owl:NamedIndividual	Severe Childhood Onset Obesity Project	4800	The Severe Childhood Onset Obesity Project (SCOOP) cohort (Wheeler et al., 2013), includes ∼4800 British individuals of European ancestry with childhood onset obesity (BMI standard deviation score (SDS) > 3; onset of obesity before the age of 10 years).	https://pmc.ncbi.nlm.nih.gov/articles/PMC7267775/	British individuals of European ancestry with severe childhood-onset obesity (approximate)								
COHO:0000332	owl:NamedIndividual	SG10K Pilot	4810	By whole-genome sequencing of 4,810 Singapore Chinese, Malays, and Indians, we found 98.3 million SNPs and small insertions or deletions, over half of which are novel.	PMID:31626772	Singapore Chinese, Malays and Indians whole-genome sequenced (2019)								
COHO:0000333	owl:NamedIndividual	STRAT-PARK	252	By March 2023, 252 participants were included, comprising 204 cases and 48 controls.	PMID:38604582	participants included by March 2023 (recruitment ongoing)	204	By March 2023, 252 participants were included, comprising 204 cases and 48 controls.	PMID:38604582	participants included by March 2023 (recruitment ongoing)	48	By March 2023, 252 participants were included, comprising 204 cases and 48 controls.	PMID:38604582	participants included by March 2023 (recruitment ongoing)
COHO:0000334	owl:NamedIndividual	STREP GENE	43	Results and Discussion After quality control, we included 43 cases of European ancestry aged less than 65 years without comorbidity ( Supplementary Table 1 ).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7039814/fullTextXML	invasive GAS cases genotyped and analysed after quality control (2019)								
COHO:0000335	owl:NamedIndividual	Stroke Investigative Research and Education Network	7368	To ensure accurate comparisons and minimize confounding, stroke cases were matched with stroke-free controls at a 1:1 ratio on key demographic factors known to confound stroke epidemiology, including age (± 5 years), sex, and ethnicity, for a total of 7368 participants (3684 cases and 3684 controls) in this study.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13169920/fullTextXML	1:1 matched stroke cases and stroke-free controls analysed in a 2026 SIREN report	3684	To ensure accurate comparisons and minimize confounding, stroke cases were matched with stroke-free controls at a 1:1 ratio on key demographic factors known to confound stroke epidemiology, including age (± 5 years), sex, and ethnicity, for a total of 7368 participants (3684 cases and 3684 controls) in this study.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13169920/fullTextXML	1:1 matched stroke cases and stroke-free controls analysed in a 2026 SIREN report	3684	To ensure accurate comparisons and minimize confounding, stroke cases were matched with stroke-free controls at a 1:1 ratio on key demographic factors known to confound stroke epidemiology, including age (± 5 years), sex, and ethnicity, for a total of 7368 participants (3684 cases and 3684 controls) in this study.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13169920/fullTextXML	1:1 matched stroke cases and stroke-free controls analysed in a 2026 SIREN report
COHO:0000336	owl:NamedIndividual	Study Into Lean and Thin Subjects	2000	We were able to take advantage of the UK National Health Service (NHS) research infrastructure to recruit from primary care ( Methods ) using body mass index (BMI: weight in kg/height in metres 2 ) criteria and personal review of individual case files to identify a cohort of approximately 2000 UK European descent thin adults (Study Into Lean and Thin Subjects, STILTS cohort; mean BMI = 17.6 kg/m 2 ) who are well, without medical conditions or eating disorders ( Methods ).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6345421/fullTextXML	UK thin healthy adults in the cohort (approximate), 2019								
COHO:0000337	owl:NamedIndividual	SweGen	1000	A total of 1000 individuals, reflecting a cross-section of the population and capturing the main genetic structure, were selected for whole-genome sequencing.	PMID:28832569	Swedish individuals selected for whole-genome sequencing (2017)								
COHO:0000338	owl:NamedIndividual	Sys4MS cohort	322	Results The Sys4MS cohort We recruited 322 consecutive MS patients (age 41 ± 10 years, 71% female), of which 271 (82%) had Relapsing–Remitting MS (RRMS), and 57 (18%) had Progressive MS (PMS; 28 had SPMS and 29 had PPMS), as well as 98 healthy controls matched by sex and age with the RRMS group (Table 1 ).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10896787/fullTextXML	consecutive MS patients recruited at four centres (98 healthy controls not counted)								
COHO:0000339	owl:NamedIndividual	Therapeutically Applicable Research to Generate Effective Treatments	1699	Here we present a pan-cancer study of somatic alterations, including single nucleotide variants, small insertions or deletions, structural variations, copy number alterations, gene fusions and internal tandem duplications in 1,699 paediatric leukaemias and solid tumours across six histotypes, with whole-genome, whole-exome and transcriptome sequencing data processed under a uniform analytical framework.	PMID:29489755	paediatric leukaemia and solid tumour cases in the 2018 TARGET pan-cancer analysis								
COHO:0000340	owl:NamedIndividual	TRACERx	814	"""enrollmentInfo"":{""count"":814,""type"":""ACTUAL""}"	https://clinicaltrials.gov/api/v2/studies/NCT01888601	patients enrolled (actual enrolment in the trial registry record), 2026								
COHO:0000341	owl:NamedIndividual	TransplantLines	5143	TransplantLines, initiated in 2015, consists of 5143 participants as of October 2024, among 2312 (45%) females.	PMID:40601244	participants (transplant recipients, candidates and donors) as of October 2024								
COHO:0000342	owl:NamedIndividual	TrypanoGEN	3813	We have undertaken a genome wide association study (GWAS) using 3813 samples from T. b. gambiense and T.b. rhodesiense HAT foci in Guinea, Côte d’Ivoire, Cameroon, DRC, Malawi and Uganda.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22Genome-Wide+Association+Study+Reveals+Novel+Genetic+Markers+Associated+with+Human+African+Trypanosomiasis%22&format=json&resultType=core	samples (one per individual) used in the 2024 TrypanoGEN GWAS, discovery plus validation								
COHO:0000344	owl:NamedIndividual	Type 2 Diabetes Genetic Exploration by Next-generation sequencing in multi-Ethnic Samples	12940	This created a joint data set (after all QC) comprised of 12,940 individuals (6,504 cases; 6,436 controls) drawn from five ancestry groups: 4,541 of European origin, and ~2,000 [range: 1,943-2,217] each of South Asian, East Asian, Hispanic, and African American origin (Extended Data Fig. 1; Extended Data Table 2; Supplementary 4).	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5034897/unicode	T2D cases and controls in the joint T2D-GENES/GoT2D exome data set after QC (2016)	6504	This created a joint data set (after all QC) comprised of 12,940 individuals (6,504 cases; 6,436 controls) drawn from five ancestry groups: 4,541 of European origin, and ~2,000 [range: 1,943-2,217] each of South Asian, East Asian, Hispanic, and African American origin (Extended Data Fig. 1; Extended Data Table 2; Supplementary 4).	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5034897/unicode	T2D cases and controls in the joint T2D-GENES/GoT2D exome data set after QC (2016)	6436	This created a joint data set (after all QC) comprised of 12,940 individuals (6,504 cases; 6,436 controls) drawn from five ancestry groups: 4,541 of European origin, and ~2,000 [range: 1,943-2,217] each of South Asian, East Asian, Hispanic, and African American origin (Extended Data Fig. 1; Extended Data Table 2; Supplementary 4).	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5034897/unicode	T2D cases and controls in the joint T2D-GENES/GoT2D exome data set after QC (2016)
COHO:0000345	owl:NamedIndividual	Uganda General Population Cohort	22000	The General Population Cohort (GPC) is an open population-based cohort of over 22,000 individuals living in rural south-western Uganda [ 29 ].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10543268/fullTextXML	individuals in the open population cohort (stated as 'over 22,000', a lower bound)								
COHO:0000346	owl:NamedIndividual	British Heart Foundation Family Heart Study	6285	In total, we collected 6,285 subjects.	https://europepmc.org/api/getPdf?pmcid=PMC1285159	subjects collected (affected and unaffected siblings), 1998-2003								
COHO:0000347	owl:NamedIndividual	UK Blood Service Control Group	3622	The latter collection was established specifically for this study and is a UK national repository of anonymized DNA samples from 3,622 consenting blood donors.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	consenting blood donors in the UK Blood Services repository set up for the WTCCC								
COHO:0000348	owl:NamedIndividual	UK10K	10000	Here we describe insights from sequencing whole genomes (low read depth, 7×) or exomes (high read depth, 80×) of nearly 10,000 individuals from population-based and disease collections.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4773891/fullTextXML	individuals whole-genome or exome sequenced, stated as 'nearly 10,000' (2015)								
COHO:0000349	owl:NamedIndividual	UK10K Rare Neuromuscular Disorders cohort	140	EGAD00001000418 UK10K_RARE_NEUROMUSCULAR REL-2013-04-20 Illumina HiSeq 2000 140	https://ega-archive.org/studies/EGAS00001000101	samples in the latest EGA release of the dataset (REL-2013-04-20)								
COHO:0000350	owl:NamedIndividual	University of Washington ovarian carcinoma cohort	56	RNAseq data relative to 56 primary and treatment-naive ovarian carcinomas, from independent donors.	https://ega-archive.org/studies/EGAS00001006012	patients (independent donors) with primary treatment-naive ovarian carcinoma, RNA sequenced								
COHO:0000351	owl:NamedIndividual	UPTIDER	45	In this regard, as of May 2025, the UPTIDER OSE helped facilitate the acquisition and annotation of >15000 samples from 39/45 enroled patients.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12592526/fullTextXML	patients enrolled in UPTIDER as of May 2025 (39 with samples acquired)								
COHO:0000352	owl:NamedIndividual	VIVO Biobank	600	The VIVO biobank currently stores pathological samples from over 600 patients with RMS.	https://ega-archive.org/studies/EGAS00001008019	patients with rhabdomyosarcoma whose samples the biobank stores, stated as 'over 600' (lower bound; RMS only)								
COHO:0000353	owl:NamedIndividual	West Coast Prostate Cancer Dream Team	202		https://europepmc.org/api/getPdf?pmcid=PMC6366813	patients with mCRPC enrolled December 2012 to April 2016 in the prospective biopsy study (NCT02432001)								
COHO:0000354	owl:NamedIndividual	WTCCC case-control study for Ankylosing Spondylitis	1000	Here we report several new replicated associations in our scan of nsSNPs in 1500 shared controls and 1000 individuals from each of 4 different diseases: Ankylosing Spondylitis (AS), Autoimmune Thyroid Disease/Graves’ Disease (AITD), Breast Cancer (BC) and Multiple Sclerosis (MS).	https://europepmc.org/api/getPdf?pmcid=PMC2680141	ankylosing spondylitis cases in the WTCCC nsSNP scan (design number per disease), 2007	1000	Here we report several new replicated associations in our scan of nsSNPs in 1500 shared controls and 1000 individuals from each of 4 different diseases: Ankylosing Spondylitis (AS), Autoimmune Thyroid Disease/Graves’ Disease (AITD), Breast Cancer (BC) and Multiple Sclerosis (MS).	https://europepmc.org/api/getPdf?pmcid=PMC2680141	ankylosing spondylitis cases in the WTCCC nsSNP scan (design number per disease), 2007				
COHO:0000355	owl:NamedIndividual	WTCCC case-control study for Autoimmune Thyroid Disease	1000	Here we report several new replicated associations in our scan of nsSNPs in 1500 shared controls and 1000 individuals from each of 4 different diseases: Ankylosing Spondylitis (AS), Autoimmune Thyroid Disease/Graves’ Disease (AITD), Breast Cancer (BC) and Multiple Sclerosis (MS).	https://europepmc.org/api/getPdf?pmcid=PMC2680141	autoimmune thyroid disease cases in the WTCCC nsSNP scan (design number per disease), 2007	1000	Here we report several new replicated associations in our scan of nsSNPs in 1500 shared controls and 1000 individuals from each of 4 different diseases: Ankylosing Spondylitis (AS), Autoimmune Thyroid Disease/Graves’ Disease (AITD), Breast Cancer (BC) and Multiple Sclerosis (MS).	https://europepmc.org/api/getPdf?pmcid=PMC2680141	autoimmune thyroid disease cases in the WTCCC nsSNP scan (design number per disease), 2007				
COHO:0000356	owl:NamedIndividual	WTCCC case-control study for Bipolar Disorder	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	bipolar disorder cases genotyped for WTCCC1 (before quality control), 2007	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	bipolar disorder cases genotyped for WTCCC1 (before quality control), 2007				
COHO:0000357	owl:NamedIndividual	WTCCC case-control study for Breast cancer	1000	Here we report several new replicated associations in our scan of nsSNPs in 1500 shared controls and 1000 individuals from each of 4 different diseases: Ankylosing Spondylitis (AS), Autoimmune Thyroid Disease/Graves’ Disease (AITD), Breast Cancer (BC) and Multiple Sclerosis (MS).	https://europepmc.org/api/getPdf?pmcid=PMC2680141	breast cancer cases in the WTCCC nsSNP scan (design number per disease), 2007	1000	Here we report several new replicated associations in our scan of nsSNPs in 1500 shared controls and 1000 individuals from each of 4 different diseases: Ankylosing Spondylitis (AS), Autoimmune Thyroid Disease/Graves’ Disease (AITD), Breast Cancer (BC) and Multiple Sclerosis (MS).	https://europepmc.org/api/getPdf?pmcid=PMC2680141	breast cancer cases in the WTCCC nsSNP scan (design number per disease), 2007				
COHO:0000358	owl:NamedIndividual	WTCCC case-control study for Coronary Artery Disease	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	coronary artery disease cases genotyped for WTCCC1 (before quality control), 2007	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	coronary artery disease cases genotyped for WTCCC1 (before quality control), 2007				
COHO:0000359	owl:NamedIndividual	WTCCC case-control study for Hypertension	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	hypertension cases genotyped for WTCCC1 (before quality control), 2007	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	hypertension cases genotyped for WTCCC1 (before quality control), 2007				
COHO:0000360	owl:NamedIndividual	WTCCC case-control study for Inflammatory Bowel Disease	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	inflammatory bowel disease (the WTCCC1 collection was Crohn's disease cases) cases genotyped for WTCCC1 (before quality control), 2007	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	inflammatory bowel disease (the WTCCC1 collection was Crohn's disease cases) cases genotyped for WTCCC1 (before quality control), 2007				
COHO:0000361	owl:NamedIndividual	WTCCC case-control study for Multiple Sclerosis	1000	Here we report several new replicated associations in our scan of nsSNPs in 1500 shared controls and 1000 individuals from each of 4 different diseases: Ankylosing Spondylitis (AS), Autoimmune Thyroid Disease/Graves’ Disease (AITD), Breast Cancer (BC) and Multiple Sclerosis (MS).	https://europepmc.org/api/getPdf?pmcid=PMC2680141	multiple sclerosis cases in the WTCCC nsSNP scan (design number per disease), 2007	1000	Here we report several new replicated associations in our scan of nsSNPs in 1500 shared controls and 1000 individuals from each of 4 different diseases: Ankylosing Spondylitis (AS), Autoimmune Thyroid Disease/Graves’ Disease (AITD), Breast Cancer (BC) and Multiple Sclerosis (MS).	https://europepmc.org/api/getPdf?pmcid=PMC2680141	multiple sclerosis cases in the WTCCC nsSNP scan (design number per disease), 2007				
COHO:0000362	owl:NamedIndividual	WTCCC case-control study for Rheumatoid Arthritis	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	rheumatoid arthritis cases genotyped for WTCCC1 (before quality control), 2007	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	rheumatoid arthritis cases genotyped for WTCCC1 (before quality control), 2007				
COHO:0000363	owl:NamedIndividual	WTCCC case-control study for Tuberculosis					1316	The Gambian WTCCC GWA study included 1,316 cases and 1,382 controls who were genotyped using the Affymetrix GeneChip 500K array with 354,607 autosomal SNPs ( Supplementary Methods ) (WTCCC, unpublished).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4975513/fullTextXML	Gambian tuberculosis cases and controls in the WTCCC GWA study (total not stated), 2010	1382	The Gambian WTCCC GWA study included 1,316 cases and 1,382 controls who were genotyped using the Affymetrix GeneChip 500K array with 354,607 autosomal SNPs ( Supplementary Methods ) (WTCCC, unpublished).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4975513/fullTextXML	Gambian tuberculosis cases and controls in the WTCCC GWA study (total not stated), 2010
COHO:0000364	owl:NamedIndividual	WTCCC case-control study for Type 1 Diabetes	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	type 1 diabetes cases genotyped for WTCCC1 (before quality control), 2007	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	type 1 diabetes cases genotyped for WTCCC1 (before quality control), 2007				
COHO:0000365	owl:NamedIndividual	WTCCC case-control study for Type 2 Diabetes	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	type 2 diabetes cases genotyped for WTCCC1 (before quality control), 2007	2000	Case series came from previously established collections with nationally representative recruitment: 2,000 samples were genotyped for each.	https://europepmc.org/api/getPdf?pmcid=PMC2719288	type 2 diabetes cases genotyped for WTCCC1 (before quality control), 2007				
COHO:0000366	owl:NamedIndividual	Charles F. and Joanne Knight Alzheimer Disease Research Center	6625	Out of the 6,625 Knight-ADRC participants (Table 1) recruited during the last 30 years, 2,746 of them are classified at the last assessment as AD (with 29 of them being Autosomal Dominant AD), 2,369 are considered cognitively unimpaired, and 1,510 are considered to suffer from other dementias (1,285 AD Related Dementias (ADRD), 153 FTD, and 72 DLB - Table 1.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11245521/fullTextXML	Knight-ADRC participants recruited during the last 30 years (2024)								
COHO:0000367	owl:NamedIndividual	Alzheimer's Disease Neuroimaging Initiative	819	A total of 819 subjects (229 cognitively normal, 398 with MCI, and 192 with AD) were enrolled at baseline and followed for 12 months using standard cognitive and functional measures typical of clinical trials.	PMID:20042704	subjects enrolled at baseline in ADNI-1 (229 cognitively normal, 398 MCI, 192 AD)								
COHO:0000368	owl:NamedIndividual	Dominantly Inherited Alzheimer Network	255	255 DIAN participants were enrolled as of May 15, 2012, the largest international cohort of ADAD individuals in the world.	PMID:23139856	participants enrolled as of 15 May 2012								
COHO:0000369	owl:NamedIndividual	Barcelona-1	300	Barcelona -1 is a longitudinal observational study consisting of ~300 subjects at baseline carried out in the Memory and Disorder unit at the University Hospital Mutua de Terrassa, Terrassa, Barcelona, Spain.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9562128/	subjects at baseline (approximate)								
COHO:0000370	owl:NamedIndividual	Stockholm-Tartu Atherosclerosis Reverse Networks Engineering Task	600	We genotyped and RNA-sequenced vascular and metabolic tissues from 600 coronary artery disease patients in the Stockholm-Tartu Atherosclerosis Reverse Networks Engineering Task study (STARNET).	PMID:27540175	coronary artery disease patients genotyped and RNA-sequenced	600	We genotyped and RNA-sequenced vascular and metabolic tissues from 600 coronary artery disease patients in the Stockholm-Tartu Atherosclerosis Reverse Networks Engineering Task study (STARNET).	PMID:27540175	coronary artery disease patients genotyped and RNA-sequenced				
COHO:0000371	owl:NamedIndividual	Million Veteran Program	1000000	Since launching in 2011, 1 million Veterans have joined MVP.	https://www.research.va.gov/mvp/	Veterans who have joined since 2011								
COHO:0000372	owl:NamedIndividual	Chinese Imaging Genetics study	7000	To date, we have recruited more than 7000 participants, becoming the largest and most integrative Chinese neuroimaging genetics cohort.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7042768/fullTextXML	participants recruited to date (more than 7000)								
COHO:0000373	owl:NamedIndividual	African American Study of Kidney Disease and Hypertension	1094	Of 1,094 persons enrolled in the AASK Trial (June 1995 to September 2001; mean age, 55 years; 61% men), 691 enrolled in the AASK Cohort Study (April 2002 to present), 299 died or reached dialysis therapy or transplantation, and 104 declined to participate in the AASK Cohort Study.	PMID:17591527	African American adults randomized in the AASK Trial								
COHO:0000374	owl:NamedIndividual	Amsterdam Dementia Cohort	7000	This patients population comprises the Amsterdam Dementia Cohort, which currently consists of almost 7000 individuals.	https://www.alzheimercentrum.nl/wetenschap/amsterdam-dementia-cohort/	memory-clinic patients in the cohort (almost 7000), 2019								
COHO:0000377	owl:NamedIndividual	BioBank Japan	267000	4th Phase (FY 2018 to 2022) – Growth to 267,000 collaborators and 51 diseases; converting samples into dataWe promoted utilization of the DNA, serum, and clinical information of a total of 267,000 collaborators with 51 diseases (440,000 cases) in the first and second cohorts, as well as the conversion of biological samples into data to entrench the BBJ as a much-used biobank.	https://biobankjp.org/en/about/1990	patients (collaborators) with 51 diseases in the first and second cohorts								
COHO:0000378	owl:NamedIndividual	Age, Gene/Environment Susceptibility-Reykjavik Study	5764	Between 2002 and 2006, 5,764 individuals randomly selected from survivors of the Reykjavik Study were included.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10463542/fullTextXML	Reykjavik Study survivors examined at the AGES-Reykjavik baseline, 2002-2006								
COHO:0000380	owl:NamedIndividual	Canadian Longitudinal Study on Aging	51338	The CLSA cohort is a national stratified sample of 51 338 women and men aged 45–85 years at the time of recruitment.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6929533/fullTextXML	women and men aged 45-85 recruited at baseline, 2011-2015								
COHO:0000381	owl:NamedIndividual	Jackson Heart Study	5302	Data and biologic materials have been collected from 5302 adult African Americans, including 1499 members of 291 families.	PMID:16320381	adult African Americans enrolled at baseline, including 1499 family members								
COHO:0000382	owl:NamedIndividual	UK Biobank Pharma Proteomics Project	54219	The Pharma Proteomics Project is a precompetitive biopharmaceutical consortium characterizing the plasma proteomic profiles of 54,219 UK Biobank participants.	PMID:37794186	UK Biobank participants with plasma proteomic profiles								
COHO:0000383	owl:NamedIndividual	Mass General Brigham Biobank	142238	Since 2010, 142,238 individuals within the Mass General Brigham (MGB) network, the largest healthcare system in Massachusetts, have consented to participate in the MGBB as of May 11, 2023 (Fig. 1a, Supplementary Table 1).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12749686/fullTextXML	individuals consented since 2010, as of 11 May 2023								
COHO:0000384	owl:NamedIndividual	Cardiovascular Health Study	5888	Between 1992 and 1993, an additional 687 mostly Black participants were recruited for a total cohort of 5888.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9673628/fullTextXML	total cohort: original 5201 (1989-1990 recruitment) plus 687 mostly Black participants (1992-1993)								
COHO:0000385	owl:NamedIndividual	Framingham Heart Study	5209	The Original Cohort of the Framingham Heart Study consisted of 5,209 respondents of a random sample of 2/3 of the adult population of Framingham, Massachusetts, 30 to 62 years of age by household, in 1948.	https://www.framinghamheartstudy.org/fhs-about/	Original Cohort only (1948); not the whole multi-generation study								
COHO:0000386	owl:NamedIndividual	Rhineland Study	8318	We included Rhineland Study participants who enrolled before the 26th of November 2021 (n = 8318), and who had complete lipidomic and genetic data available (n = 6096).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13135507/fullTextXML	participants enrolled before 26 November 2021 (interim; recruitment ongoing)								
COHO:0000387	owl:NamedIndividual	European Prospective Investigation into Cancer and Nutrition-Potsdam	27548	The European Prospective Investigation into Cancer and Nutrition (EPIC)-Potsdam is part of the ongoing multicenter EPIC study and comprises 27,548 participants from the general population in the area of Potsdam in eastern Germany who were mainly 35–65 years of age at time of recruitment between 1994 and 1998 (17).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3554384/fullTextXML	adults from the general population recruited 1994-1998								
COHO:0000388	owl:NamedIndividual	Hispanic Community Health Study/Study of Latinos	16415	A total of 16,415 participants of Mexican, Puerto Rican, Dominican, Cuban, and Central and South American background aged 18–74 years were recruited from four U.S. cities between 2008 and 2011: Bronx, NY; Chicago, IL; Miami, FL; and San Diego, CA.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11751521/fullTextXML	adults aged 18-74 recruited 2008-2011								
COHO:0000389	owl:NamedIndividual	Busselton Health Study	20000	Since its inception in 1966, more than 20,000 Busselton residents have participated in surveys and clinical assessments, contributing to over 600 scientific publications and major medical breakthroughs, including early genetic insights into asthma and hereditary haemochromatosis.	https://bpmri.org.au/about-us.html	Busselton residents who took part in surveys and clinical assessments since 1966 (stated as 'more than 20,000', a lower bound)								
COHO:0000390	owl:NamedIndividual	Swedish Infrastructure for Medical Population-Based Life-Course and Environmental Research	107000	In total, the two cohorts consist of approximately 107,000 participants, and at the assessment in 2019, approximately 38,000 participants responded.	https://www.simpler4health.se/w/sh/en/about-us	participants of the two member cohorts (SMC and COSM) combined (approximately)								
COHO:0000391	owl:NamedIndividual	Swedish CArdioPulmonary bioImage Study	30154	Between 2013 and 2018, 30,154 subjects aged 50–64 were randomly recruited from the national population register in six areas adjacent to six Swedish university hospitals.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11958696/fullTextXML	men and women aged 50-64 recruited 2013-2018								
COHO:0000392	owl:NamedIndividual	Malmö Offspring Study	4721	Data collection in MOS began in 2013 and included 4,721 participants by 2020.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12987725/fullTextXML	participants examined 2013-2020								
